index,date,LOST_MESSAGE,BUS_OFF,CAN_STATE,1,2,3,4,5
0,1765902278776,0,0,2,0,0,0,0,0
1,1765902278776,0,0,2,0,0,0,0,0
2,1765902280185,0,0,2,0,0,0,0,0
3,1765902280719,0,0,2,0,0,0,0,0
4,1765902281775,0,0,2,0,0,0,0,0
5,1765902282415,0,0,2,0,0,0,0,0
6,1765902282511,0,0,2,0,0,0,0,0
7,1765902283332,0,0,2,0,0,0,0,0
8,1765902285713,0,0,2,0,0,0,0,0
9,1765902285813,0,0,2,0,0,0,0,0
10,1765902286013,0,0,2,0,0,0,0,0
11,1765902286313,0,0,2,0,0,0,0,0
12,1765902286562,0,0,2,0,0,0,0,0
13,1765902286646,0,0,2,0,0,0,0,0
14,1765902288761,0,0,2,0,0,0,0,0
15,1765902290010,0,0,2,0,0,0,0,0
16,1765902290827,0,0,2,0,0,0,0,0
17,1765902290926,0,0,2,0,0,0,0,0
18,1765902292425,0,0,2,0,0,0,0,0
19,1765902292625,0,0,2,0,0,0,0,0
20,1765902292907,0,0,2,0,0,0,0,0
21,1765902293208,0,0,2,0,0,0,0,0
22,1765902293407,0,0,2,0,0,0,0,0
23,1765902293657,0,0,2,0,0,0,0,0
24,1765902294189,0,0,2,0,0,0,0,0
25,1765902294440,0,0,2,0,0,0,0,0
26,1765902294657,0,0,2,0,0,0,0,0
27,1765902294806,0,0,2,0,0,0,0,0
28,1765902296322,0,0,2,0,0,0,0,0
29,1765902296438,0,0,2,0,0,0,0,0
30,1765902298820,0,0,2,0,0,0,0,0
31,1765902298969,0,0,2,0,0,0,0,0
32,1765902300451,0,0,2,0,0,0,0,0
33,1765902303100,0,0,2,0,0,0,0,0
34,1765902303133,0,0,2,0,0,0,0,0
35,1765902303350,0,0,2,0,0,0,0,0
36,1765902303915,0,0,2,0,0,0,0,0
37,1765902304266,0,0,2,0,0,0,0,0
38,1765902304465,0,0,2,0,0,0,0,0
39,1765902305580,0,0,2,0,0,0,0,0
40,1765902305697,0,0,2,0,0,0,0,0
41,1765902305980,0,0,2,0,0,0,0,0
42,1765902306263,0,0,2,0,0,0,0,0
43,1765902306497,0,0,2,0,0,0,0,0
44,1765902306747,0,0,2,0,0,0,0,0
45,1765902307112,0,0,2,0,0,0,0,0
46,1765902307262,0,0,2,0,0,0,0,0
47,1765902307813,0,0,2,0,0,0,0,0
48,1765902308311,0,0,2,0,0,0,0,0
49,1765902308844,0,0,2,0,0,0,0,0
50,1765902309527,0,0,2,0,0,0,0,0
51,1765902309678,0,0,2,0,0,0,0,0
52,1765902310327,0,0,2,0,0,0,0,0
53,1765902311576,0,0,2,0,0,0,0,0
54,1765902311743,0,0,2,0,0,0,0,0
55,1765902312226,0,0,2,0,0,0,0,0
56,1765902312342,0,0,2,0,0,0,0,0
57,1765902312991,0,0,2,0,0,0,0,0
58,1765902313773,0,0,2,0,0,0,0,0
59,1765902314140,0,0,2,0,0,0,0,0
60,1765902314840,0,0,2,0,0,0,0,0
61,1765902314973,0,0,2,0,0,0,0,0
62,1765902315106,0,0,2,0,0,0,0,0
63,1765902315788,0,0,2,0,0,0,0,0
64,1765902316455,0,0,2,0,0,0,0,0
65,1765902318353,0,0,2,0,0,0,0,0
66,1765902318437,0,0,2,0,0,0,0,0
67,1765902320201,0,0,2,0,0,0,0,0
68,1765902320751,0,0,2,0,0,0,0,0
69,1765902321300,0,0,2,0,0,0,0,0
70,1765902321551,0,0,2,0,0,0,0,0
71,1765902322150,0,0,2,0,0,0,0,0
72,1765902324066,0,0,2,0,0,0,0,0
73,1765902324815,0,0,2,0,0,0,0,0
74,1765902326280,0,0,2,0,0,0,0,0
75,1765902327079,0,0,2,0,0,0,0,0
76,1765902327629,0,0,2,0,0,0,0,0
77,1765902327729,0,0,2,0,0,0,0,0
78,1765902328395,0,0,2,0,0,0,0,0
79,1765902328529,0,0,2,0,0,0,0,0
80,1765902329378,0,0,2,0,0,0,0,0
81,1765902329494,0,0,2,0,0,0,0,0
82,1765902330326,0,0,2,0,0,0,0,0
83,1765902330444,0,0,2,0,0,0,0,0
84,1765902330709,0,0,2,0,0,0,0,0
85,1765902331027,0,0,2,0,0,0,0,0
86,1765902331293,0,0,2,0,0,0,0,0
87,1765902331542,0,0,2,0,0,0,0,0
88,1765902332060,0,0,2,0,0,0,0,0
89,1765902332592,0,0,2,0,0,0,0,0
90,1765902333341,0,0,2,0,0,0,0,0
91,1765902333424,0,0,2,0,0,0,0,0
92,1765902333724,0,0,2,0,0,0,0,0
93,1765902334491,0,0,2,0,0,0,0,0
94,1765902335089,0,0,2,0,0,0,0,0
95,1765902335706,0,0,2,0,0,0,0,0
96,1765902337039,0,0,2,0,0,0,0,0
97,1765902339253,0,0,2,0,0,0,0,0
98,1765902339386,0,0,2,0,0,0,0,0
99,1765902339537,0,0,2,0,0,0,0,0
100,1765902340236,0,0,2,0,0,0,0,0
101,1765902340385,0,0,2,0,0,0,0,0
102,1765902342983,0,0,2,0,0,0,0,0
103,1765902345116,0,0,2,0,0,0,0,0
104,1765902345247,0,0,2,0,0,0,0,0
105,1765902346746,0,0,2,0,0,0,0,0
106,1765902347997,0,0,2,0,0,0,0,0
107,1765902348795,0,0,2,0,0,0,0,0
108,1765902348928,0,0,2,0,0,0,0,0
109,1765902349578,0,0,2,0,0,0,0,0
110,1765902349787,0,0,2,0,0,0,0,0
111,1765902351444,0,0,2,0,0,0,0,0
112,1765902351609,0,0,2,0,0,0,0,0
113,1765902351877,0,0,2,0,0,0,0,0
114,1765902352107,0,0,2,0,0,0,0,0
115,1765902352242,0,0,2,0,0,0,0,0
116,1765902353208,0,0,2,0,0,0,0,0
117,1765902353907,0,0,2,0,0,0,0,0
118,1765902354024,0,0,2,0,0,0,0,0
119,1765902354707,0,0,2,0,0,0,0,0
120,1765902358087,0,0,2,0,0,0,0,0
121,1765902358854,0,0,2,0,0,0,0,0
122,1765902359403,0,0,2,0,0,0,0,0
123,1765902359503,0,0,2,0,0,0,0,0
124,1765902361901,0,0,2,0,0,0,0,0
125,1765902363017,0,0,2,0,0,0,0,0
126,1765902363134,0,0,2,0,0,0,0,0
127,1765902363949,0,0,2,0,0,0,0,0
128,1765902364199,0,0,2,0,0,0,0,0
129,1765902364482,0,0,2,0,0,0,0,0
130,1765902365481,0,0,2,0,0,0,0,0
131,1765902365498,0,0,2,0,0,0,0,0
132,1765902365797,0,0,2,0,0,0,0,0
133,1765902366048,0,0,206,0,0,0,0,0
134,1765902366164,0,0,2,0,0,0,0,0
135,1765902367695,0,0,2,0,0,0,0,0
136,1765902368314,0,0,2,0,0,0,0,0
137,1765902368465,0,0,2,0,0,0,0,0
138,1765902369462,0,0,2,0,0,0,0,0
139,1765902370163,0,0,2,0,0,0,0,0
140,1765902370311,0,0,2,0,0,0,0,0
141,1765902373276,0,0,2,0,0,0,0,0
142,1765902374492,0,0,2,0,0,0,0,0
143,1765902375140,0,0,2,0,0,0,0,0
144,1765902376006,0,0,2,0,0,0,0,0
145,1765902377472,0,0,2,0,0,0,0,0
146,1765902377606,0,0,2,0,0,0,0,0
147,1765902378753,0,0,2,0,0,0,0,0
148,1765902379153,0,0,2,0,0,0,0,0
149,1765902379737,0,0,2,0,0,0,0,0
150,1765902379953,0,0,2,0,0,0,0,0
151,1765902381751,0,0,2,0,0,0,0,0
152,1765902382968,0,32768,9346,0,0,0,0,0
153,1765902383866,0,0,2,0,0,0,0,0
154,1765902384416,0,0,2,0,0,0,0,0
155,1765902385099,0,0,2,0,0,0,0,0
156,1765902386100,0,0,2,0,0,0,0,0
157,1765902386947,0,0,2,0,0,0,0,0
158,1765902387096,0,0,2,0,0,0,0,0
159,1765902387928,0,0,2,0,0,0,0,0
160,1765902388730,0,0,2,0,0,0,0,0
161,1765902389047,0,0,2,0,0,0,0,0
162,1765902389214,0,0,2,0,0,0,0,0
163,1765902389396,0,0,2,0,0,0,0,0
164,1765902389712,0,0,2,0,0,0,0,0
165,1765902390777,34816,8704,2,0,0,0,0,0
166,1765902390960,0,0,2,0,0,0,0,0
167,1765902391227,0,0,2,0,0,0,0,0
168,1765902392476,0,0,2,0,0,0,0,0
169,1765902395541,0,0,2,0,0,0,0,0
170,1765902396074,0,0,2,0,0,0,0,0
171,1765902398254,0,0,2,0,0,0,0,0
172,1765902399037,0,0,2,0,0,0,0,0
173,1765902399154,0,0,2,0,0,0,0,0
174,1765902401318,0,0,2,0,0,0,0,0
175,1765902401885,0,0,2,0,0,0,0,0
176,1765902402600,0,0,2,0,0,0,0,0
177,1765902402750,0,0,2,0,0,0,0,0
178,1765902403434,0,0,2,0,0,0,0,0
179,1765902404815,0,0,2,0,0,0,0,0
180,1765902404933,0,0,2,0,0,0,0,0
181,1765902405714,0,0,2,0,0,0,0,0
182,1765902406496,0,0,2,0,0,0,0,0
183,1765902409195,0,0,2,0,0,0,0,0
184,1765902409328,0,0,2,0,0,0,0,0
185,1765902411609,0,0,2,0,0,0,0,0
186,1765902411709,0,0,2,0,0,0,0,0
187,1765902412492,0,0,2,0,0,0,0,0
188,1765902412691,0,0,2,0,0,0,0,0
189,1765902413641,0,0,2,0,0,0,0,0
190,1765902413758,0,0,2,0,0,0,0,0
191,1765902414574,0,0,2,0,0,0,0,0
192,1765902414723,0,0,2,0,0,0,0,0
193,1765902414990,0,0,2,0,0,0,0,0
194,1765902415240,0,0,2,0,0,0,0,0
195,1765902415706,0,0,2,0,0,0,0,0
196,1765902416128,0,0,2,0,0,0,0,0
197,1765902416721,0,0,2,0,0,0,0,0
198,1765902417005,0,0,2,0,0,0,0,0
199,1765902417371,0,0,2,0,0,0,0,0
200,1765902420203,0,0,2,0,0,0,0,0
201,1765902420318,0,0,2,0,0,0,0,0
202,1765902422700,0,0,2,0,0,0,0,0
203,1765902423267,0,0,2,0,0,0,0,0
204,1765902423549,0,0,2,0,0,0,0,0
205,1765902423949,0,0,2,0,0,0,0,0
206,1765902424831,0,0,2,0,0,0,0,0
207,1765902424949,0,0,2,0,0,0,0,0
208,1765902425647,0,0,2,0,0,0,0,0
209,1765902425747,0,0,2,0,0,0,0,0
210,1765902429311,0,0,2,0,0,0,0,0
211,1765902429427,0,0,2,0,0,0,0,0
212,1765902430126,0,0,2,0,0,0,0,0
213,1765902430260,0,0,2,0,0,0,0,0
214,1765902431109,0,0,2,0,0,0,0,0
215,1765902431243,0,0,2,0,0,0,0,0
216,1765902432075,0,0,2,0,0,0,0,0
217,1765902432375,0,0,2,0,0,0,0,0
218,1765902434558,0,0,2,0,0,0,0,0
219,1765902437104,0,0,2,0,0,0,0,0
220,1765902439469,0,0,2,0,0,0,0,0
221,1765902440218,0,0,2,0,0,0,0,0
222,1765902442617,0,0,2,0,0,0,0,0
223,1765902442717,0,0,2,0,0,0,0,0
224,1765902444048,0,0,2,0,0,0,0,0
225,1765902444915,0,0,2,0,0,0,0,0
226,1765902445032,3072,0,2,0,0,0,0,0
227,1765902445648,0,0,2,0,0,0,0,0
228,1765902447062,0,0,2,0,0,0,0,0
229,1765902447879,0,0,2,0,0,0,0,0
230,1765902448045,0,0,2,0,0,0,0,0
231,1765902449494,0,0,2,0,0,0,0,0
232,1765902450094,0,0,2,0,0,0,0,0
233,1765902450676,0,0,2,0,0,0,0,0
234,1765902451759,0,0,2,0,0,0,0,0
235,1765902452026,0,0,2,0,0,0,0,0
236,1765902452292,0,0,2,0,0,0,0,0
237,1765902453074,0,0,2,0,0,0,0,0
238,1765902453566,0,0,2,0,0,0,0,0
239,1765902453624,0,0,2,0,0,0,0,0
240,1765902453740,0,0,2,0,0,0,0,0
241,1765902454425,0,0,2,0,0,0,0,0
242,1765902454641,0,0,2,0,0,0,0,0
243,1765902454889,0,0,2,0,0,0,0,0
244,1765902455023,0,0,2,0,0,0,0,0
245,1765902455157,0,0,2,0,0,0,0,0
246,1765902455807,0,0,2,0,0,0,0,0
247,1765902456604,0,0,2,0,0,0,0,0
248,1765902456722,0,0,2,0,0,0,0,0
249,1765902458037,0,0,2,0,0,0,0,0
250,1765902458188,0,0,2,0,0,0,0,0
251,1765902459652,0,0,2,0,0,0,0,0
252,1765902460185,0,0,2,0,0,0,0,0
253,1765902463882,0,0,2,0,0,0,0,0
254,1765902464415,0,0,2,0,0,0,0,0
255,1765902464981,0,0,2,0,0,0,0,0
256,1765902466030,0,0,2,0,0,0,0,0
257,1765902467297,0,0,2,0,0,0,0,0
258,1765902467896,0,0,2,0,0,0,0,0
259,1765902468794,0,0,2,0,0,0,0,0
260,1765902469344,0,0,2,0,0,0,0,0
261,1765902469444,0,0,2,0,0,0,0,0
262,1765902470826,0,0,2,0,0,0,0,0
263,1765902472375,0,0,2,0,0,0,0,0
264,1765902472558,0,0,2,0,0,0,0,0
265,1765902472858,0,0,2,0,0,0,0,0
266,1765902473173,0,0,2,0,0,0,0,0
267,1765902473974,0,0,2,0,0,0,0,0
268,1765902474539,0,0,2,0,0,0,0,0
269,1765902476105,0,0,2,0,0,0,0,0
270,1765902476387,0,0,2,0,0,0,0,0
271,1765902479868,0,0,2,0,0,0,0,0
272,1765902482200,0,0,2,0,0,0,0,0
273,1765902483298,0,0,2,0,0,0,0,0
274,1765902484182,0,0,2,0,0,0,0,0
275,1765902484798,0,0,2,0,0,0,0,0
276,1765902486664,0,0,2,0,0,0,0,0
277,1765902488062,0,0,2,0,0,0,0,0
278,1765902489377,0,0,2,0,0,0,0,0
279,1765902490043,0,0,2,0,0,0,0,0
280,1765902490176,0,1280,2,0,0,0,0,0
281,1765902491176,0,0,2,0,0,0,0,0
282,1765902492008,0,0,2,0,0,0,0,0
283,1765902492640,0,0,2,0,0,0,0,0
