index,date,ERROR_ID,STACk_ERROR_OVER,CELL_ERROR_OVER,MAX_CELL_VOLTAGE,1,2,3,4
0,1765902348262,0,0,0,0,0,0,0,0
1,1765902663762,16384,256,0,0,0,0,0,0
2,1765903379093,0,0,0,0,0,0,0,0
