index,date,SPEED,TORQUE,POWER,CURRENT,1,2,3,4
127,1765902358803,3033,448,17,1154,0,0,0,0
128,1765902359336,0,0,0,0,0,0,0,0
129,1765902360802,2221,2097,1711,14193,0,0,0,0
130,1765902361885,2920,489,19,1149,0,0,0,0
131,1765902362935,1374,182,3,10,0,0,0,0
132,1765902363116,921,119,1,3,0,0,0,0
133,1765902363750,312,43,0,1,0,0,0,0
134,1765902363916,186,22,0,0,0,0,0,0
135,1765902364182,125,12,0,1,0,0,0,0
136,1765902364465,77,6,0,1,0,0,0,0
137,1765902365464,2407,215,7,1053,0,0,0,0
138,1765902365781,2596,282,9,1132,0,0,0,0
139,1765902365964,0,0,0,0,0,0,0,0
140,1765902368246,1754,17669,4181,22109,0,0,0,0
141,1765902370278,0,0,0,0,0,0,0,0
142,1765902370945,0,0,0,0,0,0,0,0
143,1765902374474,0,0,0,0,0,0,0,0
144,1765902375075,299,46,0,4,0,0,0,0
145,1765902375739,102,-2,0,3,0,0,0,0
146,1765902375957,2046,-30,0,877,0,0,0,0
147,1765902377306,1638,750,16,1294,0,0,0,0
148,1765902377405,1682,790,18,1301,0,0,0,0
149,1765902378720,1987,845,22,1245,0,0,0,0
150,1765902378954,2028,735,20,1162,0,0,0,0
151,1765902379021,2062,666,18,1139,0,0,0,0
152,1765902379720,582,144,1,7,0,0,0,0
153,1765902379904,391,87,0,7,0,0,0,0
154,1765902381652,2275,907,28,1271,0,0,0,0
155,1765902382186,2427,906,29,1403,0,0,0,0
156,1765902384350,3304,930,39,1512,0,0,0,0
157,1765902385066,3473,779,36,1220,0,0,0,0
158,1765902385798,3673,590,29,1208,0,0,0,0
159,1765902386100,3735,533,27,-25179,0,0,0,0
160,1765902386914,0,0,0,0,0,0,0,0
161,1765902387047,0,0,0,0,0,0,0,0
162,1765902388679,0,0,0,0,0,0,0,0
163,1765902389013,0,0,0,0,0,0,0,0
164,1765902389178,0,0,0,0,0,0,0,0
165,1765902389695,5,-7,0,3,0,0,0,0
166,1765902391210,2432,565,18,1455,0,0,0,0
167,1765902395091,3930,17080,5152,1193,0,0,0,0
168,1765902395524,4033,546,30,1183,0,0,0,0
169,1765902395740,4079,417,23,1122,0,0,0,0
170,1765902398072,53,-11,0,8,0,0,0,0
171,1765902398887,1380,-21,0,-462,0,0,0,0
172,1765902399004,2243,-47,0,-940,0,0,0,0
173,1765902399703,2656,387,8,1073,0,0,0,0
174,1765902399970,2692,210,7,1046,0,0,0,0
175,1765902401234,2878,384,15,1110,0,0,0,0
176,1765902401785,2880,366,14,1099,0,0,0,0
177,1765902402418,2883,381,15,1133,0,0,0,0
178,1765902402534,2892,403,15,1129,0,0,0,0
179,1765902402667,2912,381,15,1115,0,0,0,0
180,1765902403184,2934,313,12,1071,0,0,0,0
181,1765902403334,2945,317,12,1082,0,0,0,0
182,1765902404915,3040,270,11,1061,0,0,0,0
183,1765902405681,2966,161,6,1031,0,0,0,0
184,1765902406480,676,37,0,4,0,0,0,0
185,1765902407697,2215,90,2,-976,0,0,0,0
186,1765902409029,2588,470,16,1135,0,0,0,0
187,1765902409128,2651,466,16,1135,0,0,0,0
188,1765902409262,2719,476,17,1139,0,0,0,0
189,1765902410810,3039,8622,1649,1063,0,0,0,0
190,1765902411559,0,0,0,0,0,0,0,0
191,1765902412458,0,0,0,0,0,0,0,0
192,1765902413608,35,-1,0,5,0,0,0,0
193,1765902413723,259,-14,0,171,0,0,0,0
194,1765902414391,2244,160,4,1054,0,0,0,0
195,1765902414506,2346,308,9,1077,0,0,0,0
196,1765902414707,2402,276,9,1099,0,0,0,0
197,1765902414956,2450,316,10,1098,0,0,0,0
198,1765902415190,2480,362,12,1095,0,0,0,0
199,1765902415323,2507,394,13,1099,0,0,0,0
200,1765902415689,2545,425,14,1095,0,0,0,0
201,1765902416128,2547,418,14,1100,0,0,0,0
202,1765902416555,2485,330,11,1042,0,0,0,0
203,1765902416689,0,0,0,0,0,0,0,0
204,1765902416971,0,0,0,0,0,0,0,0
205,1765902417322,783,80,0,4,0,0,0,0
206,1765902420002,1950,-16,0,580,0,0,0,0
207,1765902420119,1939,143,3,4,0,0,0,0
208,1765902421834,1663,825,18,981,0,0,0,0
209,1765902422117,1666,824,18,954,0,0,0,0
210,1765902422650,1679,850,19,896,0,0,0,0
211,1765902423249,1712,845,19,-968,0,0,0,0
212,1765902423750,1746,856,20,-1103,0,0,0,0
213,1765902424765,1854,873,22,-1124,0,0,0,0
214,1765902425582,1975,872,23,-1151,0,0,0,0
215,1765902426929,2183,916,27,1064,0,0,0,0
216,1765902428444,2372,908,29,1062,0,0,0,0
217,1765902429095,2423,791,26,-878,0,0,0,0
218,1765902429260,2443,791,25,866,0,0,0,0
219,1765902429394,2460,797,26,937,0,0,0,0
220,1765902430093,2514,833,28,1017,0,0,0,0
221,1765902430244,2535,853,29,1061,0,0,0,0
222,1765902431077,2619,882,31,-1041,0,0,0,0
223,1765902431175,2640,893,32,1068,0,0,0,0
224,1765902432025,2721,856,31,1011,0,0,0,0
225,1765902432176,2743,868,32,1018,0,0,0,0
226,1765902434391,2855,511,19,-282,0,0,0,0
227,1765902436938,2869,818,32,1146,0,0,0,0
228,1765902442583,2901,898,35,-998,0,0,0,0
229,1765902443216,2936,613,166,-1313,0,0,0,0
230,1765902443349,2948,895,35,-1038,0,0,0,0
231,1765902444782,2996,698,26,666,0,0,0,0
232,1765902445514,0,0,0,0,0,0,0,0
233,1765902447030,40,5,0,5,0,0,0,0
234,1765902447646,1213,-2,0,385,0,0,0,0
235,1765902447812,2028,-11,0,918,0,0,0,0
236,1765902449162,2440,910,28,1183,0,0,0,0
237,1765902449311,2479,786,26,1130,0,0,0,0
238,1765902449477,2520,729,25,1123,0,0,0,0
239,1765902449944,2648,574,20,1157,0,0,0,0
240,1765902450661,2817,597,22,1181,0,0,0,0
241,1765902451510,2904,531,21,1169,0,0,0,0
242,1765902451743,2933,526,20,1170,0,0,0,0
243,1765902452009,2964,491,19,1163,0,0,0,0
244,1765902453008,3076,425,17,1139,0,0,0,0
245,1765902453566,3124,420,17,1134,0,0,0,0
246,1765902453575,3124,360,15,1089,0,0,0,0
247,1765902454407,3131,277,11,1076,0,0,0,0
248,1765902454625,3087,261,10,1058,0,0,0,0
249,1765902454872,0,0,0,0,0,0,0,0
250,1765902454973,0,0,0,0,0,0,0,0
251,1765902455739,287,19,0,7,0,0,0,0
252,1765902456189,158,8,0,7,0,0,0,0
253,1765902456438,1599,2,0,496,0,0,0,0
254,1765902456538,2177,71,2,-942,0,0,0,0
255,1765902457371,2690,588,21,1284,0,0,0,0
256,1765902457953,2982,619,25,1190,0,0,0,0
257,1765902458104,3073,607,25,1192,0,0,0,0
258,1765902459619,0,24320,1594,-20442,0,0,0,0
259,1765902460168,0,0,0,0,0,0,0,0
260,1765902461451,58,8,0,9,0,0,0,0
261,1765902463765,214,205,0,1031,0,0,0,0
262,1765902463865,132,195,0,1040,0,0,0,0
263,1765902464381,42,261,0,1045,0,0,0,0
264,1765902464915,0,0,0,0,0,0,0,0
265,1765902466013,5,32,0,5,0,0,0,0
266,1765902467263,1984,623,17,1249,0,0,0,0
267,1765902467528,2002,701,19,1254,0,0,0,0
268,1765902467745,2024,683,18,1209,0,0,0,0
269,1765902470127,2580,907,31,1296,0,0,0,0
270,1765902472225,3371,983,43,1340,0,0,0,0
271,1765902472541,3545,900,43,1370,0,0,0,0
272,1765902472824,3651,1035,51,1355,0,0,0,0
273,1765902473740,4037,909,50,1289,0,0,0,0
274,1765902475821,4579,595,37,1056,0,0,0,0
275,1765902476355,0,0,0,0,0,0,0,0
276,1765902476605,0,0,0,0,0,0,0,0
277,1765902476838,0,0,0,0,0,0,0,0
278,1765902477387,419,29,0,2,0,0,0,0
279,1765902477637,281,16,0,5,0,0,0,0
280,1765902478053,112,1,0,5,0,0,0,0
281,1765902479835,1969,838,22,1281,0,0,0,0
282,1765902480019,2017,864,23,1311,0,0,0,0
283,1765902481053,2365,901,29,5134,0,0,0,0
284,1765902481633,2567,858,29,1314,0,0,0,0
285,1765902482182,2780,898,33,1335,0,0,0,0
286,1765902482567,2943,856,34,1330,0,0,0,0
287,1765902483848,19612,1649,-32632,1057,0,0,0,0
288,1765902484099,3466,943,44,1333,0,0,0,0
289,1765902484715,3664,881,43,1328,0,0,0,0
290,1765902486628,0,0,0,0,0,0,0,0
291,1765902488045,0,0,0,0,0,0,0,0
292,1765902489345,0,0,0,0,0,0,0,0
293,1765902489626,0,0,0,0,0,0,0,0
294,1765902489860,0,0,0,0,0,0,0,0
295,1765902490010,0,0,0,0,0,0,0,0
296,1765902490143,0,0,0,0,0,0,0,0
297,1765902491009,0,0,0,0,0,0,0,0
298,1765902491141,0,0,0,0,0,0,0,0
299,1765902491975,1,-1,0,3,0,0,0,0
300,1765902492524,0,0,0,0,0,0,0,0
301,1765902492558,0,0,0,0,0,0,0,0
302,1765902493258,1,-4,0,2,0,0,0,0
303,1765902493390,0,-2,0,2,0,0,0,0
304,1765902494026,0,-2,0,2,0,0,0,0
305,1765902494273,1502,-17,0,454,0,0,0,0
306,1765902494404,1994,-69,1,-996,0,0,0,0
307,1765902495622,0,0,0,0,0,0,0,0
308,1765902496439,0,0,0,0,0,0,0,0
309,1765902497237,0,0,0,0,0,0,0,0
310,1765902497787,0,0,0,0,0,0,0,0
311,1765902497919,0,0,0,0,0,0,0,0
312,1765902498037,0,0,0,0,0,0,0,0
313,1765902499036,0,0,0,0,0,0,0,0
314,1765902499385,0,0,0,0,0,0,0,0
315,1765902499502,0,0,0,0,0,0,0,0
316,1765902500185,0,0,0,0,0,0,0,0
317,1765902500318,0,0,0,0,0,0,0,0
318,1765902500933,0,0,0,0,0,0,0,0
319,1765902501201,0,0,0,0,0,0,0,0
320,1765902501467,0,0,0,0,0,0,0,0
321,1765902501751,0,0,0,0,0,0,0,0
322,1765902502034,0,0,0,0,0,0,0,0
323,1765902502116,0,0,0,0,0,0,0,0
324,1765902502549,0,0,0,0,0,0,0,0
325,1765902502849,0,0,0,0,0,0,0,0
326,1765902502948,0,0,0,0,0,0,0,0
327,1765902504531,0,0,0,0,0,0,0,0
328,1765902504648,0,0,0,0,0,0,0,0
329,1765902505830,0,0,0,0,0,0,0,0
330,1765902507195,0,0,0,0,0,0,0,0
331,1765902507295,0,0,0,0,0,0,0,0
332,1765902507895,0,0,0,0,0,0,0,0
333,1765902508161,0,0,0,0,0,0,0,0
334,1765902508344,0,0,0,0,0,0,0,0
335,1765902508561,0,0,0,0,0,0,0,0
336,1765902508844,0,0,0,0,0,0,0,0
337,1765902509310,0,0,0,0,0,0,0,0
338,1765902509361,0,0,0,0,0,0,0,0
339,1765902510061,0,0,0,0,0,0,0,0
340,1765902510176,0,0,0,0,0,0,0,0
341,1765902510392,0,0,0,0,0,0,0,0
342,1765902511325,0,0,0,0,0,0,0,0
343,1765902511442,0,0,0,0,0,0,0,0
344,1765902513772,0,0,0,0,0,0,0,0
345,1765902513890,0,0,0,0,0,0,0,0
346,1765902514630,0,0,0,0,0,0,0,0
347,1765902515222,0,0,0,0,0,0,0,0
348,1765902515390,0,0,0,0,0,0,0,0
349,1765902516206,0,0,0,0,0,0,0,0
350,1765902517737,0,0,0,0,0,0,0,0
351,1765902517869,0,0,0,0,0,0,0,0
352,1765902519002,0,0,0,0,0,0,0,0
353,1765902519135,0,0,0,0,0,0,0,0
354,1765902520634,0,0,0,0,0,0,0,0
355,1765902520751,0,0,0,0,0,0,0,0
356,1765902521183,0,0,0,0,0,0,0,0
357,1765902521434,0,0,0,0,0,0,0,0
358,1765902523132,0,0,0,0,0,0,0,0
359,1765902523281,0,0,0,0,0,0,0,0
360,1765902525729,0,0,0,0,0,0,0,0
361,1765902525863,0,0,0,0,0,0,0,0
362,1765902526030,0,0,0,0,0,0,0,0
363,1765902527544,0,0,0,0,0,0,0,0
364,1765902527694,0,0,0,0,0,0,0,0
365,1765902528080,0,0,0,0,0,0,0,0
366,1765902528310,0,0,0,0,0,0,0,0
367,1765902528544,0,0,0,0,0,0,0,0
368,1765902530109,0,0,0,0,0,0,0,0
369,1765902530260,0,0,0,0,0,0,0,0
370,1765902530376,0,0,0,0,0,0,0,0
371,1765902532623,0,0,0,0,0,0,0,0
372,1765902534072,0,0,0,0,0,0,0,0
373,1765902534172,0,0,0,0,0,0,0,0
374,1765902536621,0,0,0,0,0,0,0,0
375,1765902537203,0,0,0,0,0,0,0,0
376,1765902537620,0,0,0,0,0,0,0,0
377,1765902537704,0,0,0,0,0,0,0,0
378,1765902540318,0,0,0,0,0,0,0,0
379,1765902540418,0,0,0,0,0,0,0,0
380,1765902541216,0,0,0,0,0,0,0,0
381,1765902541783,0,0,0,0,0,0,0,0
382,1765902543183,0,0,0,0,0,0,0,0
383,1765902543265,0,0,0,0,0,0,0,0
384,1765902546729,0,0,0,0,0,0,0,0
385,1765902546862,0,0,0,0,0,0,0,0
386,1765902546995,0,0,0,0,0,0,0,0
387,1765902547811,0,0,0,0,0,0,0,0
388,1765902548344,0,0,0,0,0,0,0,0
389,1765902548443,0,0,0,0,0,0,0,0
390,1765902549310,0,0,0,0,0,0,0,0
391,1765902550692,0,0,0,0,0,0,0,0
392,1765902550809,0,0,0,0,0,0,0,0
393,1765902550959,0,0,0,0,0,0,0,0
394,1765902553389,0,0,0,0,0,0,0,0
395,1765902554172,0,0,0,0,0,0,0,0
396,1765902556038,0,0,0,0,0,0,0,0
397,1765902556253,0,0,0,0,0,0,0,0
398,1765902556570,0,0,0,0,0,0,0,0
399,1765902557387,0,0,0,0,0,0,0,0
400,1765902557685,0,0,0,0,0,0,0,0
401,1765902557785,0,0,0,0,0,0,0,0
402,1765902558618,0,0,0,0,0,0,0,0
403,1765902559384,0,0,0,0,0,0,0,0
404,1765902560898,0,0,0,0,0,0,0,0
405,1765902561017,0,0,0,0,0,0,0,0
406,1765902561849,0,0,0,0,0,0,0,0
407,1765902562532,0,0,0,0,0,0,0,0
408,1765902562664,0,0,0,0,0,0,0,0
409,1765902562948,0,0,0,0,0,0,0,0
410,1765902563297,0,0,0,0,0,0,0,0
411,1765902563482,0,0,0,0,0,0,0,0
412,1765902564081,0,0,0,0,0,0,0,0
413,1765902564596,0,0,0,0,0,0,0,0
414,1765902564963,0,0,0,0,0,0,0,0
415,1765902565396,0,0,0,0,0,0,0,0
416,1765902565630,0,0,0,0,0,0,0,0
417,1765902566295,0,0,0,0,0,0,0,0
418,1765902566429,0,0,0,0,0,0,0,0
419,1765902566695,0,0,0,0,0,0,0,0
420,1765902567247,0,0,0,0,0,0,0,0
421,1765902567877,0,0,0,0,0,0,0,0
422,1765902568393,0,0,0,0,0,0,0,0
423,1765902568910,7,0,0,2,0,0,0,0
424,1765902569010,4,0,0,2,0,0,0,0
425,1765902570543,990,96,2,928,0,0,0,0
426,1765902571208,136,622,1,1151,0,0,0,0
427,1765902572024,344,800,3,1248,0,0,0,0
428,1765902572258,466,813,5,1266,0,0,0,0
429,1765902572540,564,821,6,1296,0,0,0,0
430,1765902572739,661,827,7,1312,0,0,0,0
431,1765902572873,792,845,9,1332,0,0,0,0
432,1765902573390,943,919,11,1291,0,0,0,0
433,1765902574022,1361,993,18,1310,0,0,0,0
434,1765902574289,1518,916,18,1279,0,0,0,0
435,1765902574771,1723,867,20,1288,0,0,0,0
436,1765902575570,2042,829,22,1244,0,0,0,0
437,1765902576053,2177,743,22,1195,0,0,0,0
438,1765902576171,2258,698,21,1186,0,0,0,0
439,1765902576820,2409,597,19,1151,0,0,0,0
440,1765902577470,2563,498,17,1124,0,0,0,0
441,1765902577603,2602,451,15,1107,0,0,0,0
442,1765902577802,0,0,0,0,0,0,0,0
443,1765902578085,0,0,0,0,0,0,0,0
444,1765902578302,0,0,0,0,0,0,0,0
445,1765902579018,0,0,0,0,0,0,0,0
446,1765902579801,0,0,-30455,12288,0,0,0,0
447,1765902580599,0,0,0,0,0,0,0,0
448,1765902580616,8,0,0,5,0,0,0,0
449,1765902581017,4,0,0,5,0,0,0,0
450,1765902581316,3,-1,0,5,0,0,0,0
451,1765902582481,2130,407,11,1135,0,0,0,0
452,1765902583400,2323,640,20,1177,0,0,0,0
453,1765902584880,2424,305,10,1029,0,0,0,0
454,1765902584996,2476,284,9,1029,0,0,0,0
455,1765902585646,2469,299,10,1065,0,0,0,0
456,1765902586378,2249,257,7,1058,0,0,0,0
457,1765902586695,2216,268,8,1050,0,0,0,0
458,1765902587227,2163,329,9,1069,0,0,0,0
459,1765902587295,2132,330,9,1069,0,0,0,0
460,1765902588445,2170,625,18,1220,0,0,0,0
461,1765902588576,2198,632,18,1232,0,0,0,0
462,1765902588711,2236,649,19,1206,0,0,0,0
463,1765902590042,2517,836,28,1352,0,0,0,0
464,1765902590158,2594,913,32,1306,0,0,0,0
465,1765902590425,2692,875,31,1303,0,0,0,0
466,1765902590724,2769,845,31,1303,0,0,0,0
467,1765902590875,2847,859,33,1298,0,0,0,0
468,1765902591024,2949,918,36,1299,0,0,0,0
469,1765902592390,3449,912,42,1314,0,0,0,0
470,1765902593489,3845,663,34,1278,0,0,0,0
471,1765902595987,0,0,0,3072,0,0,0,0
472,1765902596753,0,0,0,0,0,0,0,0
473,1765902596986,0,0,0,0,0,0,0,0
474,1765902597785,35,5,0,1,0,0,0,0
475,1765902598635,5,4,0,5,0,0,0,0
476,1765902600200,2627,848,30,1349,0,0,0,0
477,1765902600301,2741,837,31,1312,0,0,0,0
478,1765902601832,3339,862,39,1308,0,0,0,0
479,1765902602665,3574,863,41,1312,0,0,0,0
480,1765902603631,3888,833,44,1280,0,0,0,0
481,1765902605212,0,0,0,0,0,0,0,0
482,1765902605329,0,0,0,0,0,0,0,0
483,1765902605545,0,0,0,0,0,0,0,0
484,1765902605812,0,0,0,0,0,0,0,0
485,1765902606078,0,0,0,0,0,0,0,0
486,1765902606211,0,0,0,0,0,0,0,0
487,1765902607094,0,0,0,0,0,0,0,0
