index,date,ENERGY_L_MOTOR,OVERLOAD_L_MOTOR,TEMPERATURE1_L,TEMPERATURE2_L,1,2,3,4
0,1762969984576,0,0,240,0,0,0,0,0
1,1762969984709,0,0,246,0,0,0,0,0
2,1762969984859,0,0,246,0,0,0,0,0
3,1762969984942,0,0,246,0,0,0,0,0
4,1762969985176,0,0,246,0,0,0,0,0
5,1762969985225,0,0,246,0,0,0,0,0
6,1762969985325,0,0,246,0,0,0,0,0
7,1762969985558,0,0,246,0,0,0,0,0
8,1762969985792,0,0,246,0,0,0,0,0
9,1762969985924,0,0,246,0,0,0,0,0
10,1762969986025,0,0,246,0,0,0,0,0
11,1762969986108,0,0,246,0,0,0,0,0
12,1762969986207,0,0,246,0,0,0,0,0
13,1762969986324,0,0,246,0,0,0,0,0
14,1762969986442,0,0,246,0,0,0,0,0
15,1762969986541,0,0,246,0,0,0,0,0
16,1762969986641,0,0,251,0,0,0,0,0
17,1762969986757,0,0,251,0,0,0,0,0
18,1762969987057,0,0,251,0,0,0,0,0
19,1762969987141,0,0,251,0,0,0,0,0
20,1762969987224,0,0,251,0,0,0,0,0
21,1762969987308,0,0,251,0,0,0,0,0
22,1762969987473,0,0,251,0,0,0,0,0
23,1762969987591,0,0,251,0,0,0,0,0
24,1762969987641,0,0,251,0,0,0,0,0
25,1762969987790,0,0,251,0,0,0,0,0
26,1762969987974,0,0,251,0,0,0,0,0
27,1762969988123,0,0,251,0,0,0,0,0
28,1762969988306,0,0,251,0,0,0,0,0
29,1762969988406,0,0,251,0,0,0,0,0
30,1762969988522,0,0,251,0,0,0,0,0
31,1762969988773,0,0,255,0,0,0,0,0
32,1762969988990,0,0,255,0,0,0,0,0
33,1762969989155,0,0,255,0,0,0,0,0
34,1762969989190,0,0,255,0,0,0,0,0
35,1762969989289,0,0,255,0,0,0,0,0
36,1762969989388,0,0,255,0,0,0,0,0
37,1762969989621,0,0,255,0,0,0,0,0
38,1762969989822,0,0,255,0,0,0,0,0
39,1762969989954,0,0,255,0,0,0,0,0
40,1762969990055,0,0,255,0,0,0,0,0
41,1762969990122,0,0,255,0,0,0,0,0
42,1762969990171,0,0,255,0,0,0,0,0
43,1762969990272,0,0,255,0,0,0,0,0
44,1762969990390,0,0,255,0,0,0,0,0
45,1762969990537,0,0,255,0,0,0,0,0
46,1762969990654,0,0,255,0,0,0,0,0
47,1762969990821,0,0,259,0,0,0,0,0
48,1762969990987,0,0,259,0,0,0,0,0
49,1762969991387,0,0,259,0,0,0,0,0
50,1762969991488,0,0,259,0,0,0,0,0
51,1762969991604,0,0,259,0,0,0,0,0
52,1762969991704,0,0,259,0,0,0,0,0
53,1762969991872,0,0,259,0,0,0,0,0
54,1762969992105,0,0,259,0,0,0,0,0
55,1762969992155,0,0,259,0,0,0,0,0
56,1762969992254,0,0,259,0,0,0,0,0
57,1762969992370,0,0,259,0,0,0,0,0
58,1762969992471,0,0,259,0,0,0,0,0
59,1762969992603,0,0,259,0,0,0,0,0
60,1762969992703,0,0,261,0,0,0,0,0
61,1762969992837,0,0,261,0,0,0,0,0
62,1762969992970,0,0,261,0,0,0,0,0
63,1762969993085,0,0,261,0,0,0,0,0
64,1762969993169,0,0,261,0,0,0,0,0
65,1762969993269,0,0,261,0,0,0,0,0
66,1762969993419,0,0,261,0,0,0,0,0
67,1762969993702,0,0,261,0,0,0,0,0
68,1762969993818,0,0,261,0,0,0,0,0
69,1762969994035,0,0,261,0,0,0,0,0
70,1762969994151,0,0,261,0,0,0,0,0
71,1762969994353,0,0,261,0,0,0,0,0
72,1762969994452,0,0,261,0,0,0,0,0
73,1762969994687,0,0,263,0,0,0,0,0
74,1762969994852,0,0,263,0,0,0,0,0
75,1762969994985,0,0,263,0,0,0,0,0
76,1762969995119,0,0,263,0,0,0,0,0
77,1762969995203,0,0,263,0,0,0,0,0
78,1762969995335,0,0,263,0,0,0,0,0
79,1762969995451,0,0,263,0,0,0,0,0
80,1762969995569,0,0,263,0,0,0,0,0
81,1762969995668,0,0,263,0,0,0,0,0
82,1762969995834,0,0,263,0,0,0,0,0
83,1762969995950,0,0,263,0,0,0,0,0
84,1762969996234,0,0,263,0,0,0,0,0
85,1762969996318,0,0,263,0,0,0,0,0
86,1762969996449,0,0,263,0,0,0,0,0
87,1762969996551,0,0,263,0,0,0,0,0
88,1762969996666,0,0,265,0,0,0,0,0
89,1762969996766,0,0,265,0,0,0,0,0
90,1762969996983,0,0,265,0,0,0,0,0
91,1762969997133,0,0,265,0,0,0,0,0
92,1762969997433,0,0,265,0,0,0,0,0
93,1762969997548,0,0,265,0,0,0,0,0
94,1762969997649,0,0,265,0,0,0,0,0
95,1762969997834,0,0,265,0,0,0,0,0
96,1762969998017,0,0,265,0,0,0,0,0
97,1762969998199,0,0,265,0,0,0,0,0
98,1762969998315,0,0,265,0,0,0,0,0
99,1762969998414,0,0,265,0,0,0,0,0
100,1762969998531,0,0,265,0,0,0,0,0
101,1762969998648,0,0,267,0,0,0,0,0
102,1762969998750,0,0,267,0,0,0,0,0
103,1762969998882,0,0,267,0,0,0,0,0
104,1762969999033,0,0,267,0,0,0,0,0
105,1762969999115,0,0,267,0,0,0,0,0
106,1762969999365,0,0,267,0,0,0,0,0
107,1762969999498,0,0,267,0,0,0,0,0
108,1762969999531,0,0,267,0,0,0,0,0
109,1762969999632,0,0,267,0,0,0,0,0
110,1762969999748,0,0,267,0,0,0,0,0
111,1762969999982,0,0,267,0,0,0,0,0
112,1762970000064,0,0,267,0,0,0,0,0
113,1762970000132,0,0,267,0,0,0,0,0
114,1762970000215,0,0,267,0,0,0,0,0
115,1762970000397,0,0,267,0,0,0,0,0
116,1762970000614,0,0,267,0,0,0,0,0
117,1762970000934,0,0,268,0,0,0,0,0
118,1762970001080,0,0,268,0,0,0,0,0
119,1762970001280,0,0,268,0,0,0,0,0
120,1762970001514,0,0,268,0,0,0,0,0
121,1762970001613,0,0,268,0,0,0,0,0
122,1762970001748,0,0,268,0,0,0,0,0
123,1762970001931,0,0,268,0,0,0,0,0
124,1762970002063,0,0,268,0,0,0,0,0
125,1762970002379,0,0,268,0,0,0,0,0
126,1762970002480,0,0,268,0,0,0,0,0
127,1762970002613,0,0,268,0,0,0,0,0
128,1762970002697,0,0,268,0,0,0,0,0
129,1762970002896,0,0,268,0,0,0,0,0
130,1762970003082,0,0,268,0,0,0,0,0
131,1762970003197,0,0,268,0,0,0,0,0
132,1762970003263,0,0,268,0,0,0,0,0
133,1762970003365,0,0,268,0,0,0,0,0
134,1762970003596,0,0,268,0,0,0,0,0
135,1762970003697,0,0,268,0,0,0,0,0
136,1762970003862,0,0,268,0,0,0,0,0
137,1762970003996,0,0,268,0,0,0,0,0
138,1762970004095,0,0,268,0,0,0,0,0
139,1762970004261,0,0,268,0,0,0,0,0
140,1762970004395,0,0,268,0,0,0,0,0
141,1762970004477,0,0,268,0,0,0,0,0
142,1762970004596,0,0,268,0,0,0,0,0
143,1762970004911,0,0,268,0,0,0,0,0
144,1762970005029,0,0,268,0,0,0,0,0
145,1762970005145,0,0,268,0,0,0,0,0
146,1762970005230,0,0,268,0,0,0,0,0
147,1762970005294,0,0,268,0,0,0,0,0
148,1762970005360,0,0,268,0,0,0,0,0
149,1762970005459,0,0,268,0,0,0,0,0
150,1762970005576,0,0,268,0,0,0,0,0
151,1762970005710,0,0,268,0,0,0,0,0
152,1762970005846,0,0,268,0,0,0,0,0
153,1762970005994,0,0,268,0,0,0,0,0
154,1762970006078,0,0,268,0,0,0,0,0
155,1762970006162,0,0,268,0,0,0,0,0
156,1762970006244,0,0,268,0,0,0,0,0
157,1762970006343,0,0,268,0,0,0,0,0
158,1762970006462,0,0,268,0,0,0,0,0
159,1762970006559,0,0,268,0,0,0,0,0
160,1762970006675,0,0,268,0,0,0,0,0
161,1762970006826,0,0,268,0,0,0,0,0
162,1762970007025,0,0,268,0,0,0,0,0
163,1762970007158,0,0,268,0,0,0,0,0
164,1762970007342,0,0,268,0,0,0,0,0
165,1762970007443,0,0,268,0,0,0,0,0
166,1762970007575,0,0,268,0,0,0,0,0
167,1762970007842,0,0,268,0,0,0,0,0
168,1762970008424,0,0,268,0,0,0,0,0
169,1762970008540,0,0,268,0,0,0,0,0
170,1762970008641,0,0,268,0,0,0,0,0
171,1762970008941,0,0,268,0,0,0,0,0
172,1762970009074,0,0,268,0,0,0,0,0
173,1762970009225,0,0,268,0,0,0,0,0
174,1762970009275,0,0,268,0,0,0,0,0
175,1762970009425,0,0,268,0,0,0,0,0
176,1762970009524,0,0,268,0,0,0,0,0
177,1762970009791,0,0,268,0,0,0,0,0
178,1762970009957,0,0,268,0,0,0,0,0
179,1762970010124,0,0,268,0,0,0,0,0
180,1762970010290,0,0,268,0,0,0,0,0
181,1762970010406,0,0,268,0,0,0,0,0
182,1762970010758,0,0,268,0,0,0,0,0
183,1762970010923,0,0,268,0,0,0,0,0
184,1762970011089,0,0,268,0,0,0,0,0
185,1762970011238,0,0,268,0,0,0,0,0
186,1762970011288,0,0,268,0,0,0,0,0
187,1762970011372,0,0,268,0,0,0,0,0
188,1762970011472,0,0,268,0,0,0,0,0
189,1762970011522,0,0,268,0,0,0,0,0
190,1762970011623,0,0,268,0,0,0,0,0
191,1762970011754,0,0,268,0,0,0,0,0
192,1762970011921,0,0,268,0,0,0,0,0
193,1762970012070,0,0,268,0,0,0,0,0
194,1762970012104,0,0,268,0,0,0,0,0
195,1762970012222,0,0,268,0,0,0,0,0
196,1762970012287,0,0,268,0,0,0,0,0
197,1762970012387,0,0,268,0,0,0,0,0
198,1762970012506,0,0,268,0,0,0,0,0
199,1762970012604,0,0,268,0,0,0,0,0
200,1762970012720,0,0,268,0,0,0,0,0
201,1762970012903,0,0,268,0,0,0,0,0
202,1762970013070,0,0,268,0,0,0,0,0
203,1762970013304,0,0,268,0,0,0,0,0
204,1762970013404,0,0,268,0,0,0,0,0
205,1762970013537,0,0,268,0,0,0,0,0
206,1762970013887,0,0,268,0,0,0,0,0
207,1762970014002,0,0,268,0,0,0,0,0
208,1762970014136,0,0,268,0,0,0,0,0
209,1762970014303,0,0,268,0,0,0,0,0
