index,date,INV_STATE_L_MOTOR,FAILURE_L_MOTOR,ALARM_L_MOTOR,1,2,3,4,5
0,1762969984726,0,0,0,0,0,0,0,0
1,1762969984875,0,0,0,0,0,0,0,0
2,1762969984976,0,0,0,0,0,0,0,0
3,1762969985125,0,0,0,3.32,0,0,0,0
4,1762969985325,0,0,0,0,0,0,0,0
5,1762969985458,0,0,0,3.31,0,0,0,0
6,1762969985558,0,0,0,0,0,0,0,0
7,1762969985675,0,0,0,0,0,0,0,0
8,1762969985825,0,0,0,0,0,0,0,0
9,1762969985941,0,0,0,3.32,0,0,0,0
10,1762969986025,0,0,0,0,0,0,0,0
11,1762969986109,0,0,0,0,0,0,0,0
12,1762969986207,0,0,0,0,0,0,0,0
13,1762969986324,0,0,0,0,0,0,0,0
14,1762969986442,0,0,0,0,0,0,0,0
15,1762969986557,0,0,0,0,0,0,0,0
16,1762969986658,0,0,0,0,0,0,0,0
17,1762969986775,0,0,0,0,0,0,0,0
18,1762969986874,0,0,0,0,0,0,0,0
19,1762969987057,0,0,0,0,0,0,0,0
20,1762969987325,0,0,0,0,0,0,0,0
21,1762969987657,0,0,0,0,0,0,0,0
22,1762969987974,0,0,0,0,0,0,0,0
23,1762969988156,0,0,0,0,0,0,0,0
24,1762969988207,0,0,0,0,0,0,0,0
25,1762969988223,0,0,0,0,0,0,0,0
26,1762969988306,0,0,0,0,0,0,0,0
27,1762969988422,0,0,0,0,0,0,0,0
28,1762969988542,0,0,0,0,0,0,0,0
29,1762969988656,0,0,0,3.26,0,0,0,0
30,1762969988789,0,0,0,0,0,0,0,0
31,1762969988990,0,0,0,0,0,0,0,0
32,1762969989205,0,0,0,0,0,0,0,0
33,1762969989289,0,0,0,0,0,0,0,0
34,1762969989405,0,0,0,0,0,0,0,0
35,1762969989522,0,0,0,0,0,0,0,0
36,1762969989639,0,0,0,0,0,0,0,0
37,1762969989838,0,0,0,0,0,0,0,0
38,1762969989973,0,0,0,0,0,0,0,0
39,1762969990122,0,0,0,0,0,0,0,0
40,1762969990171,0,0,0,0,0,0,0,0
41,1762969990287,0,0,0,0,0,0,0,0
42,1762969990405,0,0,0,0,0,0,0,0
43,1762969990554,0,0,0,0,0,0,0,0
44,1762969990654,0,0,0,0,0,0,0,0
45,1762969990854,0,0,0,0,0,0,0,0
46,1762969990987,0,0,0,0,0,0,0,0
47,1762969991070,0,0,0,3.32,0,0,0,0
48,1762969991171,0,0,0,0,0,0,0,0
49,1762969991238,0,0,0,0,0,0,0,0
50,1762969991407,0,0,0,0,0,0,0,0
51,1762969991505,0,0,0,0,0,0,0,0
52,1762969991720,0,0,0,0,0,0,0,0
53,1762969991888,0,0,0,3.31,0,0,0,0
54,1762969992171,0,0,0,0,0,0,0,0
55,1762969992272,0,0,0,3.31,0,0,0,0
56,1762969992370,0,0,0,0,0,0,0,0
57,1762969992487,0,0,0,0,0,0,0,0
58,1762969992603,0,0,0,0,0,0,0,0
59,1762969992703,0,0,0,0,0,0,0,0
60,1762969992837,0,0,0,0,0,0,0,0
61,1762969992986,0,0,0,0,0,0,0,0
62,1762969993103,0,0,0,0,0,0,0,0
63,1762969993187,0,0,0,0,0,0,0,0
64,1762969993302,0,0,0,0,0,0,0,0
65,1762969993419,0,0,0,0,0,0,0,0
66,1762969993585,0,0,0,0,0,0,0,0
67,1762969993702,0,0,0,0,0,0,0,0
68,1762969993836,0,0,0,0,0,0,0,0
69,1762969994035,0,0,0,0,0,0,0,0
70,1762969994251,0,0,0,0,0,0,0,0
71,1762969994370,0,0,0,0,0,0,0,0
72,1762969994469,0,0,0,0,0,0,0,0
73,1762969994569,0,0,0,3.26,0,0,0,0
74,1762969994687,0,0,0,0,0,0,0,0
75,1762969994869,0,0,0,1,0,0,0,0
76,1762969994985,0,0,0,0,0,0,0,0
77,1762969995136,0,0,0,3.26,0,0,0,0
78,1762969995220,0,0,0,0,0,0,0,0
79,1762969995253,0,0,0,0,0,0,0,0
80,1762969995352,0,0,0,0,0,0,0,0
81,1762969995451,0,0,0,3.31,0,0,0,0
82,1762969995569,0,0,0,0,0,0,0,0
83,1762969995850,0,0,0,0,0,0,0,0
84,1762969995967,0,0,0,0,0,0,0,0
85,1762969996101,0,0,0,0,0,0,0,0
86,1762969996184,0,0,0,0,0,0,0,0
87,1762969996234,0,0,0,0,0,0,0,0
88,1762969996334,0,0,0,0,0,0,0,0
89,1762969996449,0,0,0,0,0,0,0,0
90,1762969996551,0,0,0,0,0,0,0,0
91,1762969996684,0,0,0,0,0,0,0,0
92,1762969996799,0,0,0,0,0,0,0,0
93,1762969997000,0,0,0,0,0,0,0,0
94,1762969997033,0,0,0,0,0,0,0,0
95,1762969997332,0,0,0,0,0,0,0,0
96,1762969997433,0,0,0,0,0,0,0,0
97,1762969997649,0,0,0,0,0,0,0,0
98,1762969997851,0,0,0,0,0,0,0,0
99,1762969998033,0,0,0,0,0,0,0,0
100,1762969998199,0,0,0,0,0,0,0,0
101,1762969998234,0,0,0,3.26,0,0,0,0
102,1762969998315,0,0,0,0,0,0,0,0
103,1762969998432,0,0,0,0,0,0,0,0
104,1762969998548,0,0,0,0,0,0,0,0
105,1762969998648,0,0,0,3.32,0,0,0,0
106,1762969998766,0,0,0,0,0,0,0,0
107,1762969998915,0,0,0,0,0,0,0,0
108,1762969999049,0,0,0,0,0,0,0,0
109,1762969999132,0,0,0,0,0,0,0,0
110,1762969999365,0,0,0,0,0,0,0,0
111,1762969999648,0,0,0,0,0,0,0,0
112,1762969999782,0,0,0,0,0,0,0,0
113,1762969999982,0,0,0,0,0,0,0,0
114,1762970000231,0,0,0,0,0,0,0,0
115,1762970000298,0,0,0,0,0,0,0,0
116,1762970000630,0,0,0,0,0,0,0,0
117,1762970000798,0,0,0,0,0,0,0,0
118,1762970000947,0,0,0,0,0,0,0,0
119,1762970001097,0,0,0,0,0,0,0,0
120,1762970001297,0,0,0,0,0,0,0,0
121,1762970001413,0,0,0,3.26,0,0,0,0
122,1762970001531,0,0,0,0,0,0,0,0
123,1762970001613,0,0,0,0,0,0,0,0
124,1762970001946,0,0,0,3.31,0,0,0,0
125,1762970002081,0,0,0,0,0,0,0,0
126,1762970002264,0,0,0,0,0,0,0,0
127,1762970002379,0,0,0,0,0,0,0,0
128,1762970002496,0,0,0,0,0,0,0,0
129,1762970002613,0,0,0,0,0,0,0,0
130,1762970002981,0,0,0,0,0,0,0,0
131,1762970003197,0,0,0,0,0,0,0,0
132,1762970003381,0,0,0,0,0,0,0,0
