index,date,ID_MODE,ID_TORQUE_GAIN,ID_DISTANCE_P_ODOM,ID_DISTANCE_T_ODOM,5,6,7,8
0,1762969984544,1,10,0,0,0,0,0,0
1,1762969984676,1,10,0,0,0,0,0,0
2,1762969984808,1,10,0,0,0,0,0,0
3,1762969985075,1,10,0,0,0,0,0,0
4,1762969985142,1,10,0,0,0,0,0,0
5,1762969985209,1,10,0,0,0,0,0,0
6,1762969985293,1,10,0,0,0,0,0,0
7,1762969985408,1,10,0,0,0,0,0,0
8,1762969985541,1,10,0,0,0,0,0,0
9,1762969985642,1,10,0,0,0,0,0,0
10,1762969985742,1,10,0,0,0,0,0,0
11,1762969985892,1,10,0,0,0,0,0,0
12,1762969985992,1,10,0,0,0,0,0,0
13,1762969986075,1,10,0,0,0,0,0,0
14,1762969986175,1,10,0,0,0,0,0,0
15,1762969986291,1,10,0,0,0,0,0,0
16,1762969986408,1,10,0,0,0,0,0,0
17,1762969986508,1,10,0,0,0,0,0,0
18,1762969986624,1,10,0,0,0,0,0,0
19,1762969986740,1,10,0,0,0,0,0,0
20,1762969986874,1,10,0,0,0,0,0,0
21,1762969987024,1,10,0,0,0,0,0,0
22,1762969987291,1,10,0,0,0,0,0,0
23,1762969987440,1,10,0,0,0,0,0,0
24,1762969987557,1,10,0,0,0,0,0,0
25,1762969987757,1,10,0,0,0,0,0,0
26,1762969987924,1,10,0,0,0,0,0,0
27,1762969988073,1,10,0,0,0,0,0,0
28,1762969988273,1,10,0,0,0,0,0,0
29,1762969988389,1,10,0,0,0,0,0,0
30,1762969988506,1,10,0,0,0,0,0,0
31,1762969988606,1,10,0,0,0,0,0,0
32,1762969988722,1,10,0,0,0,0,0,0
33,1762969988906,1,10,0,0,0,0,0,0
34,1762969989122,1,10,0,0,0,0,0,0
35,1762969989172,1,10,0,0,0,0,0,0
36,1762969989258,1,10,0,0,0,0,0,0
37,1762969989372,1,10,0,0,0,0,0,0
38,1762969989488,1,10,0,0,0,0,0,0
39,1762969989589,1,10,0,0,0,0,0,0
40,1762969989721,1,10,0,0,0,0,0,0
41,1762969990022,1,10,0,0,0,0,0,0
42,1762969990255,1,10,0,0,0,0,0,0
43,1762969990372,1,10,0,0,0,0,0,0
44,1762969990504,1,10,0,0,0,0,0,0
45,1762969990620,1,10,0,0,0,0,0,0
46,1762969990754,1,10,0,0,0,0,0,0
47,1762969990970,1,10,0,0,0,0,0,0
48,1762969991154,1,10,0,0,0,0,0,0
49,1762969991304,1,10,0,0,0,0,0,0
50,1762969991353,1,10,0,0,0,0,0,0
51,1762969991471,1,10,0,0,0,0,0,0
52,1762969991572,1,10,0,0,0,0,0,0
53,1762969991687,1,10,0,0,0,0,0,0
54,1762969991823,1,10,0,0,0,0,0,0
55,1762969991988,1,10,0,0,0,0,0,0
56,1762969992071,1,10,0,0,0,0,0,0
57,1762969992238,1,10,0,0,0,0,0,0
58,1762969992337,1,10,0,0,0,0,0,0
59,1762969992453,1,10,0,0,0,0,0,0
60,1762969992570,1,10,0,0,0,0,0,0
61,1762969992686,1,10,0,0,0,0,0,0
62,1762969992804,1,10,0,0,0,0,0,0
63,1762969992954,1,10,0,0,0,0,0,0
64,1762969993053,1,10,0,0,0,0,0,0
65,1762969993137,1,10,0,0,0,0,0,0
66,1762969993235,1,10,0,0,0,0,0,0
67,1762969993386,1,10,0,0,0,0,0,0
68,1762969993568,1,10,0,0,0,0,0,0
69,1762969993669,1,10,0,0,0,0,0,0
70,1762969993786,1,10,0,0,0,0,0,0
71,1762969993920,1,10,0,0,0,0,0,0
72,1762969993985,1,10,0,0,0,0,0,0
73,1762969994118,1,10,0,0,0,0,0,0
74,1762969994235,1,10,0,0,0,0,0,0
75,1762969994318,1,10,0,0,0,0,0,0
76,1762969994436,1,10,0,0,0,0,0,0
77,1762969994552,1,10,0,0,0,0,0,0
78,1762969994653,1,10,0,0,0,0,0,0
79,1762969994769,1,10,0,0,0,0,0,0
80,1762969994968,1,10,0,0,0,0,0,0
81,1762969995070,1,10,0,0,0,0,0,0
82,1762969995319,1,10,0,0,0,0,0,0
83,1762969995417,1,10,0,0,0,0,0,0
84,1762969995533,1,10,0,0,0,0,0,0
85,1762969995636,1,10,0,0,0,0,0,0
86,1762969995767,1,10,0,0,0,0,0,0
87,1762969996084,1,10,0,0,0,0,0,0
88,1762969996168,1,10,0,0,0,0,0,0
89,1762969996302,1,10,0,0,0,0,0,0
90,1762969996434,1,10,0,0,0,0,0,0
91,1762969996516,1,10,0,0,0,0,0,0
92,1762969996634,1,10,0,0,0,0,0,0
93,1762969996735,1,10,0,0,0,0,0,0
94,1762969996949,1,10,0,0,0,0,0,0
95,1762969997033,1,10,0,0,0,0,0,0
96,1762969997117,1,10,0,0,0,0,0,0
97,1762969997232,1,10,0,0,0,0,0,0
98,1762969997316,1,10,0,0,0,0,0,0
99,1762969997415,1,10,0,0,0,0,0,0
100,1762969997517,1,10,0,0,0,0,0,0
101,1762969997615,1,10,0,0,0,0,0,0
102,1762969997800,1,10,0,0,0,0,0,0
103,1762969997983,1,10,0,0,0,0,0,0
104,1762969998116,1,10,0,0,0,0,0,0
105,1762969998183,1,10,0,0,0,0,0,0
106,1762969998217,1,10,0,0,0,0,0,0
107,1762969998283,1,10,0,0,0,0,0,0
108,1762969998382,1,10,0,0,0,0,0,0
109,1762969998498,1,10,0,0,0,0,0,0
110,1762969998614,1,10,0,0,0,0,0,0
111,1762969998716,1,10,0,0,0,0,0,0
112,1762969998848,1,10,0,0,0,0,0,0
113,1762969998999,1,10,0,0,0,0,0,0
114,1762969999198,1,10,0,0,0,0,0,0
115,1762969999331,1,10,0,0,0,0,0,0
116,1762969999516,1,10,0,0,0,0,0,0
117,1762969999616,1,10,0,0,0,0,0,0
118,1762969999917,1,10,0,0,0,0,0,0
119,1762970000032,1,10,0,0,0,0,0,0
120,1762970000116,1,10,0,0,0,0,0,0
121,1762970000264,1,10,0,0,0,0,0,0
122,1762970000380,1,10,0,0,0,0,0,0
123,1762970000499,1,10,0,0,0,0,0,0
124,1762970000598,1,10,0,0,0,0,0,0
125,1762970000698,1,10,0,0,0,0,0,0
126,1762970000880,1,10,0,0,0,0,0,0
127,1762970001014,1,10,0,0,0,0,0,0
128,1762970001263,1,10,0,0,0,0,0,0
129,1762970001363,1,10,0,0,0,0,0,0
130,1762970001481,1,10,0,0,0,0,0,0
131,1762970001580,1,10,0,0,0,0,0,0
132,1762970001914,1,10,0,0,0,0,0,0
133,1762970002180,1,10,0,0,0,0,0,0
134,1762970002345,1,10,0,0,0,0,0,0
135,1762970002463,1,10,0,0,0,0,0,0
136,1762970002564,1,10,0,0,0,0,0,0
137,1762970002680,1,10,0,0,0,0,0,0
138,1762970002880,1,10,0,0,0,0,0,0
139,1762970003163,1,10,0,0,0,0,0,0
140,1762970003246,1,10,0,0,0,0,0,0
141,1762970003345,1,10,0,0,0,0,0,0
142,1762970003462,1,10,0,0,0,0,0,0
143,1762970003562,1,10,0,0,0,0,0,0
144,1762970003778,1,10,0,0,0,0,0,0
145,1762970004214,1,10,0,0,0,0,0,0
146,1762970004245,1,10,0,0,0,0,0,0
147,1762970004328,1,10,0,0,0,0,0,0
148,1762970004445,1,10,0,0,0,0,0,0
149,1762970004561,1,10,0,0,0,0,0,0
150,1762970004661,1,10,0,0,0,0,0,0
151,1762970004863,1,10,0,0,0,0,0,0
152,1762970004995,1,10,0,0,0,0,0,0
153,1762970005128,1,10,0,0,0,0,0,0
154,1762970005210,1,10,0,0,0,0,0,0
155,1762970005444,1,10,0,0,0,0,0,0
156,1762970005543,1,10,0,0,0,0,0,0
157,1762970005676,1,10,0,0,0,0,0,0
158,1762970005811,1,10,0,0,0,0,0,0
