index,date,SPEED_R_MOTOR,TORQUE_R_MOTOR,POWER_R_MOTOR,CURRENT_R_MOTOR,1,2,3,4
991,1762970134720,280,65527,0,562,0,0,0,0
992,1762970134955,280,65527,0,562,0,0,0,0
993,1762970135069,280,65527,0,562,0,0,0,0
994,1762970135172,280,65527,0,562,0,0,0,0
995,1762970135286,280,65527,0,562,0,0,0,0
996,1762970135386,280,65527,0,562,0,0,0,0
997,1762970135519,280,65527,0,562,0,0,0,0
998,1762970135635,280,65527,0,562,0,0,0,0
999,1762970135803,280,65527,0,562,0,0,0,0
1000,1762970135936,280,65527,0,562,0,0,0,0
1001,1762970136269,280,65527,0,562,0,0,0,0
1002,1762970136385,280,65527,0,562,0,0,0,0
1003,1762970136785,280,65527,0,562,0,0,0,0
1004,1762970136902,280,65527,0,562,0,0,0,0
1005,1762970137051,280,65527,0,562,0,0,0,0
1006,1762970137152,280,65527,0,562,0,0,0,0
1007,1762970137401,280,65527,0,562,0,0,0,0
1008,1762970137519,280,65527,0,562,0,0,0,0
1009,1762970137701,280,65527,0,562,0,0,0,0
1010,1762970137818,280,65527,0,562,0,0,0,0
1011,1762970137933,280,65527,0,562,0,0,0,0
1012,1762970138034,280,65527,0,562,0,0,0,0
1013,1762970138134,280,65527,0,562,0,0,0,0
1014,1762970138234,280,65527,0,562,0,0,0,0
1015,1762970138350,280,65527,0,562,0,0,0,0
1016,1762970138468,280,65527,0,562,0,0,0,0
1017,1762970138570,280,65527,0,562,0,0,0,0
1018,1762970138683,280,65527,0,562,0,0,0,0
1019,1762970138799,280,65527,0,562,0,0,0,0
1020,1762970138985,280,65527,0,562,0,0,0,0
1021,1762970139050,280,65527,0,562,0,0,0,0
1022,1762970139132,280,65527,0,562,0,0,0,0
1023,1762970139248,280,65527,0,562,0,0,0,0
1024,1762970139348,280,65527,0,562,0,0,0,0
1025,1762970139465,280,65527,0,562,0,0,0,0
1026,1762970139681,280,65527,0,562,0,0,0,0
1027,1762970139782,280,65527,0,562,0,0,0,0
1028,1762970139933,280,65527,0,562,0,0,0,0
1029,1762970140114,280,65527,0,562,0,0,0,0
1030,1762970140232,280,65527,0,562,0,0,0,0
1031,1762970140330,280,65527,0,562,0,0,0,0
1032,1762970140550,280,65527,0,562,0,0,0,0
1033,1762970140698,280,65527,0,562,0,0,0,0
1034,1762970140847,280,65527,0,562,0,0,0,0
1035,1762970140916,280,65527,0,562,0,0,0,0
1036,1762970141014,280,65527,0,562,0,0,0,0
1037,1762970141113,280,65527,0,562,0,0,0,0
1038,1762970141214,280,65527,0,562,0,0,0,0
1039,1762970141313,280,65527,0,562,0,0,0,0
1040,1762970141431,280,65527,0,562,0,0,0,0
1041,1762970141563,280,65527,0,562,0,0,0,0
1042,1762970141714,280,65527,0,562,0,0,0,0
1043,1762970141847,280,65527,0,562,0,0,0,0
1044,1762970142029,280,65527,0,562,0,0,0,0
1045,1762970142113,280,65527,0,562,0,0,0,0
1046,1762970142213,280,65527,0,562,0,0,0,0
1047,1762970142330,280,65527,0,562,0,0,0,0
1048,1762970142431,280,65527,0,562,0,0,0,0
1049,1762970142614,280,65527,0,562,0,0,0,0
1050,1762970142765,280,65527,0,562,0,0,0,0
1051,1762970142830,280,65527,0,562,0,0,0,0
1052,1762970142929,280,65527,0,562,0,0,0,0
1053,1762970143045,280,65527,0,562,0,0,0,0
1054,1762970143580,280,65527,0,562,0,0,0,0
1055,1762970143694,280,65527,0,562,0,0,0,0
1056,1762970143845,280,65527,0,562,0,0,0,0
1057,1762970143961,280,65527,0,562,0,0,0,0
1058,1762970144411,280,65527,0,562,0,0,0,0
1059,1762970144527,280,65527,0,562,0,0,0,0
1060,1762970144627,280,65527,0,562,0,0,0,0
1061,1762970144744,280,65527,0,562,0,0,0,0
1062,1762970147909,0,0,0,0,0,0,0,0
1063,1762970148010,0,0,0,0,0,0,0,0
1064,1762970148092,0,0,0,0,0,0,0,0
1065,1762970148192,0,0,0,0,0,0,0,0
1066,1762970148292,0,0,0,0,0,0,0,0
1067,1762970148408,0,0,0,0,0,0,0,0
1068,1762970148558,0,0,0,0,0,0,0,0
1069,1762970148625,0,0,0,0,0,0,0,0
1070,1762970148775,0,0,0,0,0,0,0,0
1071,1762970148925,0,0,0,0,0,0,0,0
1072,1762970148975,0,0,0,0,0,0,0,0
1073,1762970149091,0,0,0,0,0,0,0,0
1074,1762970149175,0,0,0,0,0,0,0,0
1075,1762970149291,0,0,0,0,0,0,0,0
1076,1762970149508,0,0,0,0,0,0,0,0
1077,1762970149608,0,0,0,0,0,0,0,0
1078,1762970149726,0,0,0,0,0,0,0,0
1079,1762970149857,0,0,0,0,0,0,0,0
1080,1762970150041,0,0,0,0,0,0,0,0
1081,1762970150207,0,0,0,0,0,0,0,0
1082,1762970150290,0,0,0,0,0,0,0,0
1083,1762970150391,0,0,0,0,0,0,0,0
1084,1762970150507,0,0,0,0,0,0,0,0
1085,1762970150640,0,0,0,0,0,0,0,0
1086,1762970150740,0,0,0,0,0,0,0,0
1087,1762970150873,0,0,0,0,0,0,0,0
1088,1762970151040,0,0,0,0,0,0,0,0
1089,1762970151257,0,0,0,0,0,0,0,0
1090,1762970151373,0,0,0,0,0,0,0,0
1091,1762970151505,0,0,0,0,0,0,0,0
1092,1762970151622,0,0,0,0,0,0,0,0
1093,1762970151723,0,0,0,0,0,0,0,0
1094,1762970151939,0,0,0,0,0,0,0,0
1095,1762970152255,0,0,0,0,0,0,0,0
1096,1762970152372,0,0,0,0,0,0,0,0
1097,1762970152473,0,0,0,0,0,0,0,0
1098,1762970152592,0,0,0,0,0,0,0,0
1099,1762970152689,0,0,0,0,0,0,0,0
1100,1762970152805,0,0,0,0,0,0,0,0
1101,1762970152938,0,0,0,0,0,0,0,0
1102,1762970153139,0,0,0,0,0,0,0,0
1103,1762970153239,0,0,0,0,0,0,0,0
1104,1762970153355,0,0,0,0,0,0,0,0
1105,1762970153471,0,0,0,0,0,0,0,0
1106,1762970153570,0,0,0,0,0,0,0,0
1107,1762970153671,0,0,0,0,0,0,0,0
1108,1762970153788,0,0,0,0,0,0,0,0
1109,1762970153904,0,0,0,0,0,0,0,0
1110,1762970154087,0,0,0,0,0,0,0,0
1111,1762970154121,0,0,0,0,0,0,0,0
1112,1762970154237,0,0,0,0,0,0,0,0
1113,1762970154353,0,0,0,0,0,0,0,0
1114,1762970154602,0,0,0,0,0,0,0,0
1115,1762970154703,0,0,0,0,0,0,0,0
1116,1762970154820,0,0,0,0,0,0,0,0
