index,date,ENERGY_R_MOTOR,OVERLOAD_R_MOTOR,TEMPERATURE1_R_MOTOR,TEMPERATURE2_R_MOTOR,1,2,3,4
0,1762969984576,0,0,241,0,0,0,0,0
1,1762969984742,0,0,241,0,0,0,0,0
2,1762969984893,0,0,247,0,0,0,0,0
3,1762969984992,0,0,247,0,0,0,0,0
4,1762969985242,0,0,247,0,0,0,0,0
5,1762969985341,0,0,247,0,0,0,0,0
6,1762969985458,0,0,247,0,0,0,0,0
7,1762969985575,0,0,247,0,0,0,0,0
8,1762969985675,0,0,247,0,0,0,0,0
9,1762969985841,0,0,247,0,0,0,0,0
10,1762969985958,0,0,247,0,0,0,0,0
11,1762969986042,0,0,247,0,0,0,0,0
12,1762969986125,0,0,247,0,0,0,0,0
13,1762969986224,0,0,247,0,0,0,0,0
14,1762969986457,0,0,247,0,0,0,0,0
15,1762969986558,0,0,247,0,0,0,0,0
16,1762969986673,0,0,247,0,0,0,0,0
17,1762969986775,0,0,252,0,0,0,0,0
18,1762969986957,0,0,252,0,0,0,0,0
19,1762969987074,0,0,252,0,0,0,0,0
20,1762969987141,0,0,252,0,0,0,0,0
21,1762969987340,0,0,252,0,0,0,0,0
22,1762969987473,0,0,252,0,0,0,0,0
23,1762969987674,0,0,252,0,0,0,0,0
24,1762969987823,0,0,252,0,0,0,0,0
25,1762969987991,0,0,252,0,0,0,0,0
26,1762969988323,0,0,252,0,0,0,0,0
27,1762969988542,0,0,252,0,0,0,0,0
28,1762969988656,0,0,252,0,0,0,0,0
29,1762969988823,0,0,256,0,0,0,0,0
30,1762969989006,0,0,256,0,0,0,0,0
31,1762969989205,0,0,256,0,0,0,0,0
32,1762969989307,0,0,256,0,0,0,0,0
33,1762969989422,0,0,256,0,0,0,0,0
34,1762969989538,0,0,256,0,0,0,0,0
35,1762969989872,0,0,256,0,0,0,0,0
36,1762969989973,0,0,256,0,0,0,0,0
37,1762969990138,0,0,256,0,0,0,0,0
38,1762969990287,0,0,256,0,0,0,0,0
39,1762969990405,0,0,256,0,0,0,0,0
40,1762969990554,0,0,256,0,0,0,0,0
41,1762969990671,0,0,256,0,0,0,0,0
42,1762969990854,0,0,260,0,0,0,0,0
43,1762969991004,0,0,260,0,0,0,0,0
44,1762969991188,0,0,260,0,0,0,0,0
45,1762969991255,0,0,260,0,0,0,0,0
46,1762969991407,0,0,260,0,0,0,0,0
47,1762969991505,0,0,260,0,0,0,0,0
48,1762969991755,0,0,260,0,0,0,0,0
49,1762969991904,0,0,260,0,0,0,0,0
50,1762969992004,0,0,260,0,0,0,0,0
51,1762969992188,0,0,260,0,0,0,0,0
52,1762969992387,0,0,260,0,0,0,0,0
53,1762969992504,0,0,260,0,0,0,0,0
54,1762969992619,0,0,260,0,0,0,0,0
55,1762969992719,0,0,262,0,0,0,0,0
56,1762969992870,0,0,262,0,0,0,0,0
57,1762969993003,0,0,262,0,0,0,0,0
58,1762969993103,0,0,262,0,0,0,0,0
59,1762969993187,0,0,262,0,0,0,0,0
60,1762969993302,0,0,262,0,0,0,0,0
61,1762969993518,0,0,262,0,0,0,0,0
62,1762969993602,0,0,262,0,0,0,0,0
63,1762969993718,0,0,262,0,0,0,0,0
64,1762969993836,0,0,262,0,0,0,0,0
65,1762969993953,0,0,262,0,0,0,0,0
66,1762969994052,0,0,262,0,0,0,0,0
67,1762969994151,0,0,262,0,0,0,0,0
68,1762969994251,0,0,262,0,0,0,0,0
69,1762969994487,0,0,262,0,0,0,0,0
70,1762969994586,0,0,262,0,0,0,0,0
71,1762969994687,0,0,264,0,0,0,0,0
72,1762969994885,0,0,264,0,0,0,0,0
73,1762969994985,0,0,264,0,0,0,0,0
74,1762969995169,0,0,264,0,0,0,0,0
75,1762969995235,0,0,264,0,0,0,0,0
76,1762969995270,0,0,264,0,0,0,0,0
77,1762969995352,0,0,264,0,0,0,0,0
78,1762969995585,0,0,264,0,0,0,0,0
79,1762969995685,0,0,264,0,0,0,0,0
80,1762969995850,0,0,264,0,0,0,0,0
81,1762969995983,0,0,264,0,0,0,0,0
82,1762969996252,0,0,264,0,0,0,0,0
83,1762969996351,0,0,264,0,0,0,0,0
84,1762969996466,0,0,264,0,0,0,0,0
85,1762969996567,0,0,264,0,0,0,0,0
86,1762969996684,0,0,264,0,0,0,0,0
87,1762969996817,0,0,266,0,0,0,0,0
88,1762969997016,0,0,266,0,0,0,0,0
89,1762969997050,0,0,266,0,0,0,0,0
90,1762969997332,0,0,266,0,0,0,0,0
91,1762969997450,0,0,266,0,0,0,0,0
92,1762969997566,0,0,266,0,0,0,0,0
93,1762969997665,0,0,266,0,0,0,0,0
94,1762969998052,0,0,266,0,0,0,0,0
95,1762969998134,0,0,266,0,0,0,0,0
96,1762969998332,0,0,266,0,0,0,0,0
97,1762969998766,0,0,268,0,0,0,0,0
98,1762969998932,0,0,268,0,0,0,0,0
99,1762969999148,0,0,268,0,0,0,0,0
100,1762969999215,0,0,268,0,0,0,0,0
101,1762969999432,0,0,268,0,0,0,0,0
102,1762969999531,0,0,268,0,0,0,0,0
103,1762969999648,0,0,268,0,0,0,0,0
104,1762969999799,0,0,268,0,0,0,0,0
105,1762970000231,0,0,268,0,0,0,0,0
106,1762970000414,0,0,268,0,0,0,0,0
107,1762970000630,0,0,268,0,0,0,0,0
108,1762970000815,0,0,270,0,0,0,0,0
109,1762970000947,0,0,270,0,0,0,0,0
110,1762970001114,0,0,270,0,0,0,0,0
111,1762970001297,0,0,270,0,0,0,0,0
112,1762970001531,0,0,270,0,0,0,0,0
113,1762970001796,0,0,270,0,0,0,0,0
114,1762970002281,0,0,270,0,0,0,0,0
115,1762970002396,0,0,270,0,0,0,0,0
116,1762970002496,0,0,270,0,0,0,0,0
117,1762970002630,0,0,270,0,0,0,0,0
118,1762970003013,0,0,270,0,0,0,0,0
119,1762970003213,0,0,270,0,0,0,0,0
120,1762970003280,0,0,270,0,0,0,0,0
121,1762970003397,0,0,270,0,0,0,0,0
122,1762970003496,0,0,270,0,0,0,0,0
123,1762970003611,0,0,270,0,0,0,0,0
124,1762970003712,0,0,270,0,0,0,0,0
125,1762970003897,0,0,270,0,0,0,0,0
126,1762970004012,0,0,270,0,0,0,0,0
127,1762970004114,0,0,270,0,0,0,0,0
128,1762970004413,0,0,270,0,0,0,0,0
129,1762970004494,0,0,270,0,0,0,0,0
130,1762970004711,0,0,270,0,0,0,0,0
131,1762970004928,0,0,270,0,0,0,0,0
132,1762970005077,0,0,270,0,0,0,0,0
133,1762970005177,0,0,270,0,0,0,0,0
134,1762970005377,0,0,270,0,0,0,0,0
135,1762970005476,0,0,270,0,0,0,0,0
136,1762970005593,0,0,270,0,0,0,0,0
137,1762970005727,0,0,270,0,0,0,0,0
138,1762970005895,0,0,270,0,0,0,0,0
139,1762970006010,0,0,270,0,0,0,0,0
140,1762970006094,0,0,270,0,0,0,0,0
141,1762970006194,0,0,270,0,0,0,0,0
142,1762970006244,0,0,270,0,0,0,0,0
143,1762970006361,0,0,270,0,0,0,0,0
144,1762970006576,0,0,270,0,0,0,0,0
145,1762970006691,0,0,270,0,0,0,0,0
146,1762970006875,0,0,270,0,0,0,0,0
147,1762970007042,0,0,270,0,0,0,0,0
148,1762970007158,0,0,270,0,0,0,0,0
149,1762970007241,0,0,270,0,0,0,0,0
150,1762970007458,0,0,270,0,0,0,0,0
151,1762970007892,0,0,270,0,0,0,0,0
152,1762970007975,0,0,270,0,0,0,0,0
153,1762970008075,0,0,270,0,0,0,0,0
154,1762970008191,0,0,270,0,0,0,0,0
155,1762970008241,0,0,270,0,0,0,0,0
156,1762970008340,0,0,270,0,0,0,0,0
157,1762970008457,0,0,270,0,0,0,0,0
158,1762970008557,0,0,270,0,0,0,0,0
159,1762970008674,0,0,270,0,0,0,0,0
160,1762970008824,0,0,270,0,0,0,0,0
161,1762970008957,0,0,270,0,0,0,0,0
162,1762970009092,0,0,270,0,0,0,0,0
163,1762970009326,0,0,270,0,0,0,0,0
164,1762970009441,0,0,270,0,0,0,0,0
165,1762970009541,0,0,270,0,0,0,0,0
166,1762970009657,0,0,270,0,0,0,0,0
167,1762970009857,0,0,270,0,0,0,0,0
168,1762970009991,0,0,270,0,0,0,0,0
169,1762970010142,0,0,270,0,0,0,0,0
170,1762970010223,0,0,270,0,0,0,0,0
171,1762970010307,0,0,270,0,0,0,0,0
172,1762970010539,0,0,270,0,0,0,0,0
173,1762970010659,0,0,270,0,0,0,0,0
174,1762970010758,0,0,270,0,0,0,0,0
175,1762970010941,0,0,270,0,0,0,0,0
176,1762970011140,0,0,270,0,0,0,0,0
177,1762970011321,0,0,270,0,0,0,0,0
178,1762970011439,0,0,270,0,0,0,0,0
179,1762970011639,0,0,270,0,0,0,0,0
180,1762970011772,0,0,270,0,0,0,0,0
181,1762970011937,0,0,270,0,0,0,0,0
182,1762970012138,0,0,270,0,0,0,0,0
183,1762970012238,0,0,270,0,0,0,0,0
184,1762970012304,0,0,270,0,0,0,0,0
185,1762970012421,0,0,270,0,0,0,0,0
186,1762970012520,0,0,270,0,0,0,0,0
187,1762970012637,0,0,270,0,0,0,0,0
188,1762970012754,0,0,270,0,0,0,0,0
189,1762970012954,0,0,270,0,0,0,0,0
190,1762970013087,0,0,270,0,0,0,0,0
191,1762970013222,0,0,270,0,0,0,0,0
192,1762970013337,0,0,270,0,0,0,0,0
193,1762970013439,0,0,270,0,0,0,0,0
194,1762970013553,0,0,270,0,0,0,0,0
195,1762970013640,0,0,270,0,0,0,0,0
196,1762970013738,0,0,270,0,0,0,0,0
197,1762970013903,0,0,270,0,0,0,0,0
198,1762970014039,0,0,270,0,0,0,0,0
199,1762970014186,0,0,270,0,0,0,0,0
200,1762970014420,0,0,270,0,0,0,0,0
201,1762970014502,0,0,270,0,0,0,0,0
202,1762970014719,0,0,270,0,0,0,0,0
203,1762970014903,0,0,270,0,0,0,0,0
204,1762970015003,0,0,270,0,0,0,0,0
205,1762970015136,0,0,270,0,0,0,0,0
206,1762970015285,0,0,270,0,0,0,0,0
207,1762970015385,0,0,270,0,0,0,0,0
208,1762970015485,0,0,270,0,0,0,0,0
209,1762970015718,0,0,270,0,0,0,0,0
210,1762970015835,0,0,270,0,0,0,0,0
211,1762970016069,0,0,270,0,0,0,0,0
212,1762970016167,0,0,270,0,0,0,0,0
213,1762970016585,0,0,270,0,0,0,0,0
214,1762970016851,0,0,270,0,0,0,0,0
215,1762970017018,0,0,270,0,0,0,0,0
216,1762970017135,0,0,270,0,0,0,0,0
217,1762970017383,0,0,270,0,0,0,0,0
218,1762970017483,0,0,270,0,0,0,0,0
219,1762970017584,0,0,270,0,0,0,0,0
220,1762970017867,0,0,270,0,0,0,0,0
221,1762970017982,0,0,270,0,0,0,0,0
222,1762970018099,0,0,270,0,0,0,0,0
223,1762970018217,0,0,270,0,0,0,0,0
224,1762970018350,0,0,270,0,0,0,0,0
225,1762970018450,0,0,270,0,0,0,0,0
226,1762970018567,0,0,270,0,0,0,0,0
227,1762970018683,0,0,270,0,0,0,0,0
228,1762970018784,0,0,270,0,0,0,0,0
229,1762970019001,0,0,270,0,0,0,0,0
230,1762970019118,0,0,270,0,0,0,0,0
231,1762970019182,0,0,270,0,0,0,0,0
232,1762970019333,0,0,270,0,0,0,0,0
233,1762970019465,0,0,270,0,0,0,0,0
234,1762970019568,0,0,270,0,0,0,0,0
235,1762970019666,0,0,270,0,0,0,0,0
236,1762970019817,0,0,270,0,0,0,0,0
237,1762970020016,0,0,270,0,0,0,0,0
238,1762970020150,0,0,270,0,0,0,0,0
239,1762970020283,0,0,270,0,0,0,0,0
240,1762970020333,0,0,270,0,0,0,0,0
241,1762970020448,0,0,270,0,0,0,0,0
242,1762970020580,0,0,270,0,0,0,0,0
243,1762970020647,0,0,270,0,0,0,0,0
244,1762970020780,0,0,270,0,0,0,0,0
245,1762970020914,0,0,270,0,0,0,0,0
246,1762970021083,0,0,270,0,0,0,0,0
247,1762970021132,0,0,270,0,0,0,0,0
248,1762970021232,0,0,270,0,0,0,0,0
249,1762970021519,0,0,270,0,0,0,0,0
250,1762970021648,0,0,270,0,0,0,0,0
251,1762970021780,0,0,270,0,0,0,0,0
252,1762970022099,0,0,270,0,0,0,0,0
253,1762970022181,0,0,270,0,0,0,0,0
254,1762970022281,0,0,270,0,0,0,0,0
255,1762970022464,0,0,270,0,0,0,0,0
256,1762970024345,0,0,270,0,0,0,0,0
257,1762970024712,0,0,270,0,0,0,0,0
258,1762970024945,0,0,270,0,0,0,0,0
259,1762970025063,0,0,270,0,0,0,0,0
260,1762970025229,0,0,270,0,0,0,0,0
261,1762970025327,0,0,270,0,0,0,0,0
262,1762970025445,0,0,270,0,0,0,0,0
263,1762970025495,0,0,270,0,0,0,0,0
264,1762970025627,0,0,270,0,0,0,0,0
265,1762970025761,0,0,270,0,0,0,0,0
266,1762970025977,0,0,270,0,0,0,0,0
267,1762970026161,0,0,270,0,0,0,0,0
268,1762970026228,0,0,270,0,0,0,0,0
269,1762970026328,0,0,270,0,0,0,0,0
270,1762970026494,0,0,270,0,0,0,0,0
271,1762970026593,0,0,270,0,0,0,0,0
272,1762970026826,0,0,270,0,0,0,0,0
273,1762970026928,0,0,270,0,0,0,0,0
274,1762970027043,0,0,270,0,0,0,0,0
275,1762970027143,0,0,270,0,0,0,0,0
276,1762970027260,0,0,270,0,0,0,0,0
277,1762970027376,0,0,270,0,0,0,0,0
278,1762970027476,0,0,270,0,0,0,0,0
279,1762970027692,0,0,270,0,0,0,0,0
280,1762970027842,0,0,270,0,0,0,0,0
281,1762970027959,0,0,270,0,0,0,0,0
282,1762970028227,0,0,270,0,0,0,0,0
283,1762970028492,0,0,270,0,0,0,0,0
284,1762970028592,0,0,270,0,0,0,0,0
285,1762970028875,0,0,270,0,0,0,0,0
286,1762970029059,0,0,270,0,0,0,0,0
287,1762970029141,0,0,270,0,0,0,0,0
288,1762970029195,0,0,270,0,0,0,0,0
289,1762970029357,0,0,270,0,0,0,0,0
290,1762970029458,0,0,270,0,0,0,0,0
291,1762970029811,0,0,270,0,0,0,0,0
292,1762970029910,0,0,270,0,0,0,0,0
293,1762970030041,0,0,270,0,0,0,0,0
294,1762970030124,0,0,270,0,0,0,0,0
295,1762970030224,0,0,270,0,0,0,0,0
296,1762970030357,0,0,270,0,0,0,0,0
297,1762970030573,0,0,270,0,0,0,0,0
298,1762970030690,0,0,270,0,0,0,0,0
299,1762970030807,0,0,270,0,0,0,0,0
300,1762970031023,0,0,270,0,0,0,0,0
301,1762970031206,0,0,270,0,0,0,0,0
302,1762970031323,0,0,270,0,0,0,0,0
303,1762970031689,0,0,270,0,0,0,0,0
304,1762970031774,0,0,270,0,0,0,0,0
305,1762970031906,0,0,270,0,0,0,0,0
306,1762970032023,0,0,270,0,0,0,0,0
307,1762970032239,0,0,270,0,0,0,0,0
308,1762970032373,0,0,270,0,0,0,0,0
309,1762970032422,0,0,270,0,0,0,0,0
310,1762970032755,0,0,270,0,0,0,0,0
311,1762970033005,0,0,270,0,0,0,0,0
312,1762970033089,0,0,270,0,0,0,0,0
313,1762970033256,0,0,270,0,0,0,0,0
314,1762970033421,0,0,270,0,0,0,0,0
315,1762970033638,0,0,270,0,0,0,0,0
316,1762970033888,0,0,270,0,0,0,0,0
317,1762970033972,0,0,270,0,0,0,0,0
318,1762970034304,0,0,270,0,0,0,0,0
319,1762970034521,0,0,270,0,0,0,0,0
320,1762970034637,0,0,270,0,0,0,0,0
321,1762970034737,0,0,270,0,0,0,0,0
322,1762970034887,0,0,270,0,0,0,0,0
323,1762970035153,0,0,270,0,0,0,0,0
324,1762970035254,0,0,270,0,0,0,0,0
325,1762970035339,0,0,270,0,0,0,0,0
326,1762970035403,0,0,270,0,0,0,0,0
327,1762970035503,0,0,270,0,0,0,0,0
328,1762970035653,0,0,270,0,0,0,0,0
329,1762970035753,0,0,270,0,0,0,0,0
330,1762970035869,0,0,270,0,0,0,0,0
331,1762970035970,0,0,270,0,0,0,0,0
332,1762970036055,0,0,270,0,0,0,0,0
333,1762970036186,0,0,270,0,0,0,0,0
334,1762970036319,0,0,270,0,0,0,0,0
335,1762970036603,0,0,270,0,0,0,0,0
336,1762970036735,0,0,270,0,0,0,0,0
337,1762970037051,0,0,270,0,0,0,0,0
338,1762970037268,0,0,270,0,0,0,0,0
339,1762970037369,0,0,270,0,0,0,0,0
340,1762970037600,0,0,270,0,0,0,0,0
341,1762970037817,0,0,270,0,0,0,0,0
342,1762970037935,0,0,270,0,0,0,0,0
343,1762970038051,0,0,270,0,0,0,0,0
344,1762970038485,0,0,270,0,0,0,0,0
345,1762970038584,0,0,270,0,0,0,0,0
346,1762970038919,0,0,270,0,0,0,0,0
347,1762970039050,0,0,270,0,0,0,0,0
348,1762970039134,0,0,270,0,0,0,0,0
349,1762970039252,0,0,270,0,0,0,0,0
350,1762970039350,0,0,270,0,0,0,0,0
351,1762970039467,0,0,270,0,0,0,0,0
352,1762970039585,0,0,270,0,0,0,0,0
353,1762970039815,0,0,270,0,0,0,0,0
354,1762970039933,0,0,270,0,0,0,0,0
355,1762970040016,0,0,270,0,0,0,0,0
356,1762970040249,0,0,270,0,0,0,0,0
357,1762970040683,0,0,270,0,0,0,0,0
358,1762970040832,0,0,270,0,0,0,0,0
359,1762970040915,0,0,270,0,0,0,0,0
360,1762970041049,0,0,270,0,0,0,0,0
361,1762970041465,0,0,270,0,0,0,0,0
362,1762970041548,0,0,270,0,0,0,0,0
363,1762970041799,0,0,270,0,0,0,0,0
364,1762970041999,0,0,270,0,0,0,0,0
365,1762970042114,0,0,270,0,0,0,0,0
366,1762970042214,0,0,270,0,0,0,0,0
367,1762970042398,0,0,270,0,0,0,0,0
368,1762970042664,0,0,270,0,0,0,0,0
369,1762970042764,0,0,270,0,0,0,0,0
370,1762970042897,0,0,270,0,0,0,0,0
371,1762970042997,0,0,270,0,0,0,0,0
372,1762970043130,0,0,270,0,0,0,0,0
373,1762970043264,0,0,270,0,0,0,0,0
374,1762970043414,0,0,270,0,0,0,0,0
375,1762970043534,0,0,270,0,0,0,0,0
376,1762970043913,0,0,270,0,0,0,0,0
377,1762970044147,0,0,270,0,0,0,0,0
378,1762970044280,0,0,270,0,0,0,0,0
379,1762970045029,0,0,270,0,0,0,0,0
380,1762970045096,0,0,270,0,0,0,0,0
