index,date,SPEED_L_MOTOR,TORQUE_L_MOTOR,POWER_L_MOTOR,CURRENT_L_MOTOR,1,2,3,4
0,1762969984559,0,0,0,0,0,0,0,0
1,1762969984693,0,0,0,0,0,0,0,0
2,1762969984844,0,0,0,0,0,0,0,0
3,1762969984942,0,0,0,0,0,0,0,0
4,1762969985108,0,0,0,0,0,0,0,0
5,1762969985158,0,0,0,0,0,0,0,0
6,1762969985225,0,0,0,0,0,0,0,0
7,1762969985325,0,0,0,0,0,0,0,0
8,1762969985659,0,0,0,0,0,0,0,0
9,1762969985792,0,0,0,0,0,0,0,0
10,1762969985909,0,0,0,0,0,0,0,0
11,1762969986007,0,0,0,0,0,0,0,0
12,1762969986091,0,0,0,0,0,0,0,0
13,1762969986207,0,0,0,0,0,0,0,0
14,1762969986308,0,0,0,0,0,0,0,0
15,1762969986424,0,0,0,0,0,0,0,0
16,1762969986540,0,0,0,0,0,0,0,0
17,1762969986641,0,0,0,0,0,0,0,0
18,1762969986757,0,0,0,0,0,0,0,0
19,1762969987057,0,0,0,0,0,0,0,0
20,1762969987124,0,0,0,0,0,0,0,0
21,1762969987208,0,0,0,0,0,0,0,0
22,1762969987308,0,0,0,0,0,0,0,0
23,1762969987457,0,0,0,0,0,0,0,0
24,1762969987591,0,0,0,0,0,0,0,0
25,1762969987790,0,0,0,0,0,0,0,0
26,1762969987957,0,0,0,0,0,0,0,0
27,1762969988123,0,0,0,0,0,0,0,0
28,1762969988291,0,0,0,0,0,0,0,0
29,1762969988406,0,0,0,0,0,0,0,0
30,1762969988522,0,0,0,0,0,0,0,0
31,1762969988641,0,0,0,0,0,0,0,0
32,1762969988756,0,0,0,0,0,0,0,0
33,1762969988972,0,0,0,0,0,0,0,0
34,1762969989155,0,0,0,0,0,0,0,0
35,1762969989190,0,0,0,0,0,0,0,0
36,1762969989273,0,0,0,0,0,0,0,0
37,1762969989388,0,0,0,0,0,0,0,0
38,1762969989505,0,0,0,0,0,0,0,0
39,1762969989621,0,0,0,0,0,0,0,0
40,1762969989822,0,0,0,0,0,0,0,0
41,1762969989954,0,0,0,0,0,0,0,0
42,1762969990055,0,0,0,0,0,0,0,0
43,1762969990105,0,0,0,0,0,0,0,0
44,1762969990171,0,0,0,0,0,0,0,0
45,1762969990390,0,0,0,0,0,0,0,0
46,1762969990522,0,0,0,0,0,0,0,0
47,1762969990638,0,0,0,0,0,0,0,0
48,1762969990787,0,0,0,0,0,0,0,0
49,1762969991488,0,0,0,0,0,0,0,0
50,1762969991604,0,0,0,0,0,0,0,0
51,1762969991704,0,0,0,0,0,0,0,0
52,1762969991872,0,0,0,0,0,0,0,0
53,1762969992088,0,0,0,0,0,0,0,0
54,1762969992254,0,0,0,0,0,0,0,0
55,1762969992354,0,0,0,0,0,0,0,0
56,1762969992471,0,0,0,0,0,0,0,0
57,1762969992586,0,0,0,0,0,0,0,0
58,1762969992686,0,0,0,0,0,0,0,0
59,1762969992819,0,0,0,0,0,0,0,0
60,1762969993085,0,0,0,0,0,0,0,0
61,1762969993169,0,0,0,0,0,0,0,0
62,1762969993269,0,0,0,0,0,0,0,0
63,1762969993402,0,0,0,0,0,0,0,0
64,1762969993585,0,0,0,0,0,0,0,0
65,1762969993803,0,0,0,0,0,0,0,0
66,1762969994018,0,0,0,0,0,0,0,0
67,1762969994135,0,0,0,0,0,0,0,0
68,1762969994235,0,0,0,0,0,0,0,0
69,1762969994353,0,0,0,0,0,0,0,0
70,1762969994452,0,0,0,0,0,0,0,0
71,1762969994669,0,0,0,0,0,0,0,0
72,1762969994852,0,0,0,0,0,0,0,0
73,1762969995103,0,0,0,0,0,0,0,0
74,1762969995335,0,0,0,0,0,0,0,0
75,1762969995451,0,0,0,0,0,0,0,0
76,1762969995553,0,0,0,0,0,0,0,0
77,1762969995668,0,0,0,0,0,0,0,0
78,1762969995817,0,0,0,0,0,0,0,0
79,1762969995933,0,0,0,0,0,0,0,0
80,1762969996218,0,0,0,0,0,0,0,0
81,1762969996318,0,0,0,0,0,0,0,0
82,1762969996551,0,0,0,0,0,0,0,0
83,1762969996649,0,0,0,0,0,0,0,0
84,1762969996766,0,0,0,0,0,0,0,0
85,1762969996983,0,0,0,0,0,0,0,0
86,1762969997133,0,0,0,0,0,0,0,0
87,1762969997433,0,0,0,0,0,0,0,0
88,1762969997532,0,0,0,0,0,0,0,0
89,1762969997649,0,0,0,0,0,0,0,0
90,1762969997834,0,0,0,0,0,0,0,0
91,1762969997999,0,0,0,0,0,0,0,0
92,1762969998134,0,0,0,0,0,0,0,0
93,1762969998183,0,0,0,0,0,0,0,0
94,1762969998217,0,0,0,0,0,0,0,0
95,1762969998301,0,0,0,0,0,0,0,0
96,1762969998414,0,0,0,0,0,0,0,0
97,1762969998531,0,0,0,0,0,0,0,0
98,1762969998632,0,0,0,0,0,0,0,0
99,1762969998750,0,0,0,0,0,0,0,0
100,1762969998882,0,0,0,0,0,0,0,0
101,1762969999033,0,0,0,0,0,0,0,0
102,1762969999083,0,0,0,0,0,0,0,0
103,1762969999348,0,0,0,0,0,0,0,0
104,1762969999498,0,0,0,0,0,0,0,0
105,1762969999516,0,0,0,0,0,0,0,0
106,1762969999731,0,0,0,0,0,0,0,0
107,1762969999964,0,0,0,0,0,0,0,0
108,1762970000048,0,0,0,0,0,0,0,0
109,1762970000132,0,0,0,0,0,0,0,0
110,1762970000298,0,0,0,0,0,0,0,0
