index,date,INV_STATE_R_MOTOR,FAILURE_R_MOTOR,ALARM_R_MOTOR,1,2,3,4,5
130,1762970005593,0,0,0,0,0,0,0,0
131,1762970005895,0,0,0,0,0,0,0,0
132,1762970006027,0,0,0,0,0,0,0,0
133,1762970006110,0,0,0,0,0,0,0,0
134,1762970006211,0,0,0,0,0,0,0,0
135,1762970006278,0,0,0,0,0,0,0,0
136,1762970006477,0,0,0,0,0,0,0,0
137,1762970006692,0,0,0,0,0,0,0,0
138,1762970006891,0,0,0,0,0,0,0,0
139,1762970007241,0,0,0,0,0,0,0,0
140,1762970007908,0,0,0,0,0,0,0,0
141,1762970007991,0,0,0,0,0,0,0,0
142,1762970008107,0,0,0,0,0,0,0,0
143,1762970008357,0,0,0,0,0,0,0,0
144,1762970008573,0,0,0,0,0,0,0,0
145,1762970008690,0,0,0,3.27,0,0,0,0
146,1762970008858,0,0,0,0,0,0,0,0
147,1762970008974,0,0,0,0,0,0,0,0
148,1762970009241,0,0,0,0,0,0,0,0
149,1762970009307,0,0,0,0,0,0,0,0
150,1762970009341,0,0,0,0,0,0,0,0
151,1762970009441,0,0,0,0,0,0,0,0
152,1762970009557,0,0,0,0,0,0,0,0
153,1762970009674,0,0,0,0,0,0,0,0
154,1762970009874,0,0,0,0,0,0,0,0
155,1762970010008,0,0,0,0,0,0,0,0
156,1762970010142,0,0,0,0,0,0,0,0
157,1762970010323,0,0,0,0,0,0,0,0
158,1762970010441,0,0,0,0,0,0,0,0
159,1762970010558,0,0,0,0,0,0,0,0
160,1762970010659,0,0,0,0,0,0,0,0
161,1762970010941,0,0,0,0,0,0,0,0
162,1762970011157,0,0,0,0,0,0,0,0
163,1762970011455,0,0,0,0,0,0,0,0
164,1762970011539,0,0,0,0,0,0,0,0
165,1762970011656,0,0,0,0,0,0,0,0
166,1762970011970,0,0,0,3.28,0,0,0,0
167,1762970012155,0,0,0,0,0,0,0,0
168,1762970012421,0,0,0,0,0,0,0,0
169,1762970012538,0,0,0,0,0,0,0,0
170,1762970012637,0,0,0,0,0,0,0,0
171,1762970012754,0,0,0,0,0,0,0,0
172,1762970012971,0,0,0,0,0,0,0,0
173,1762970013105,0,0,0,0,0,0,0,0
174,1762970013570,0,0,0,0,0,0,0,0
175,1762970013753,0,0,0,0,0,0,0,0
176,1762970014053,0,0,0,0,0,0,0,0
177,1762970014203,0,0,0,0,0,0,0,0
178,1762970014436,0,0,0,0,0,0,0,0
179,1762970014519,0,0,0,0,0,0,0,0
180,1762970014719,0,0,0,0,0,0,0,0
181,1762970014904,0,0,0,0,0,0,0,0
182,1762970015020,0,0,0,0,0,0,0,0
183,1762970015171,0,0,0,3.27,0,0,0,0
184,1762970015318,0,0,0,0,0,0,0,0
185,1762970015618,0,0,0,0,0,0,0,0
186,1762970015718,0,0,0,0,0,0,0,0
187,1762970015852,0,0,0,0,0,0,0,0
188,1762970016167,0,0,0,0,0,0,0,0
189,1762970016384,0,0,0,0,0,0,0,0
190,1762970016501,0,0,0,0,0,0,0,0
191,1762970016704,0,0,0,0,0,0,0,0
192,1762970016868,0,0,0,0,0,0,0,0
193,1762970017051,0,0,0,0,0,0,0,0
194,1762970017135,0,0,0,0,0,0,0,0
195,1762970017301,0,0,0,0,0,0,0,0
