index,date,MODE
0,1780264175212,1
1,1780264184112,1
2,1780264184696,1
3,1780264187045,1
4,1780264193680,1
5,1780264196244,1
6,1780264197194,1
7,1780264203711,1
8,1780264207260,1
9,1780264207544,1
10,1780264211678,1
11,1780264213943,1
12,1780264218560,1
13,1780264230892,1
14,1780264250324,1
15,1780264253708,1
16,1780264255058,1
17,1780264257074,1
18,1780264257492,1
19,1780264260340,1
20,1780264273457,1
21,1780264290739,1
22,1780264294489,1
23,1780264304138,1
24,1780264305539,1
25,1780264307557,1
26,1780264308472,1
27,1780264311105,1
