index,date,MAX_VOLTAGE,MIN_VOLTAGE,MAX_TEMPERATURE,ACUMULATOR_VOLTAGE
0,1780264173885,0,6.55,0,7921
1,1780264175912,0,6.55,0,7921
2,1780264187828,0,6.55,0,7922
3,1780264197145,0,6.55,0,7338
4,1780264201028,0,6.55,0,7404
5,1780264201528,0,6.55,0,7404
6,1780264201929,0,6.55,0,7433
7,1780264208694,0,6.55,0,7842
8,1780264209945,0,6.55,0,7844
9,1780264218511,0,6.55,0,7862
10,1780264226643,0,6.55,0,7874
11,1780264240042,0,6.55,0,7883
12,1780264241408,0,6.55,0,7884
13,1780264244824,0,6.55,0,7885
14,1780264256624,0,6.55,0,7889
15,1780264257040,0,6.55,0,7892
16,1780264273407,0,6.55,0,7894
17,1780264279856,0,6.55,0,7897
18,1780264281372,0,6.55,0,7897
19,1780264287689,0,6.55,0,7898
20,1780264289422,0,6.55,0,7898
21,1780264289789,0,6.55,0,7897
22,1780264293173,0,6.55,0,7896
23,1780264294455,0,6.55,0,7893
24,1780264298656,0,6.55,0,7900
25,1780264302289,0,6.55,0,7900
26,1780264302739,0,6.55,0,7900
27,1780264313254,0,6.55,0,7902
