index,date,ERROR_MASK,ERROR_LOG_1,ERROR_LOG_2,ERROR_LOG_3
0,1780264173885,0,0,0,0
1,1780264175945,0,0,0,0
2,1780264178131,0,0,0,0
3,1780264179379,0,0,0,0
4,1780264181228,0,0,0,0
5,1780264181845,0,0,0,0
6,1780264196611,0,0,0,0
7,1780264198594,0,0,0,0
8,1780264208744,0,0,0,0
9,1780264210477,0,0,0,0
10,1780264211627,0,0,0,0
11,1780264226676,0,0,0,0
12,1780264231676,0,0,0,0
13,1780264233775,0,0,0,0
14,1780264235425,0,0,0,0
15,1780264240091,0,0,0,0
16,1780264241776,0,0,0,0
17,1780264248992,0,0,0,0
18,1780264256675,0,0,0,0
19,1780264262774,0,0,0,0
20,1780264271724,0,0,0,0
21,1780264274273,0,0,0,0
22,1780264274690,0,0,0,0
23,1780264290689,0,0,0,0
24,1780264295022,0,0,0,0
25,1780264298705,0,0,0,0
26,1780264302322,0,0,0,0
27,1780264310404,0,0,0,0
28,1780264311071,0,0,0,7901
29,1780264315106,0,0,0,0
