index,date,ACCEL_FL,ACCEL_FR,ACCEL_RL,ACCEL_RR
0,1782582316646,1,0,0,0
1,1782582317114,1,0,0,0
2,1782582318678,1,0,0,0
3,1782582319712,1,0,0,0
4,1782582321293,1,0,0,0
5,1782582322242,1,0,0,0
6,1782582322592,1,0,0,0
7,1782582323158,1,0,0,0
8,1782582323790,1,0,0,0
9,1782582324240,1,0,0,0
10,1782582324823,1,0,0,0
11,1782582325789,2,0,0,0
12,1782582326406,2,0,0,0
13,1782582329403,2,0,0,0
14,1782582330219,2,0,0,0
15,1782582330318,2,0,0,0
16,1782582331118,2,0,0,0
17,1782582331934,2,0,0,0
18,1782582332100,2,0,0,0
19,1782582332383,2,0,0,0
20,1782582366721,2,0,0,0
21,1782582367537,2,0,0,0
22,1782582367621,2,0,0,0
23,1782582368437,2,0,0,0
24,1782582369253,2,0,0,0
25,1782582369419,2,0,0,0
26,1782582369702,2,0,0,0
27,1782582370085,2,0,0,0
28,1782582375913,2,0,0,0
29,1782582376313,2,0,0,0
30,1782582376596,2,0,0,0
31,1782582377429,2,0,0,0
32,1782582377812,2,0,0,0
33,1782582378162,2,0,0,0
34,1782582379877,2,0,0,0
35,1782582380193,2,12288,0,24576
36,1782582381758,2,0,0,0
37,1782582382108,2,0,0,0
38,1782582382442,2,0,0,0
39,1782582382708,2,0,0,0
40,1782582382941,2,0,0,0
41,1782582383308,2,0,0,0
42,1782582383707,2,0,0,0
43,1782582383973,2,0,0,0
44,1782582385239,2,0,0,0
45,1782582385539,2,0,0,0
46,1782582387587,2,0,0,0
47,1782582387920,2,0,0,0
48,1782582388270,2,0,0,0
49,1782582388936,2,0,0,0
50,1782582389052,2,0,0,0
51,1782582393399,2,0,0,0
52,1782582393715,2,0,0,0
53,1782582394265,2,0,0,0
54,1782582394548,2,0,0,0
55,1782582396696,2,0,0,0
56,1782582397828,2,0,0,0
57,1782582398511,2,0,0,0
58,1782582399261,2,0,0,0
59,1782582399677,2,0,0,0
60,1782582401492,2,0,0,0
61,1782582403307,2,0,0,0
62,1782582404489,2,0,0,0
63,1782582404773,2,0,0,0
64,1782582405122,2,0,0,0
65,1782582405389,2,0,0,0
66,1782582406022,2,0,0,0
67,1782582406455,2,0,0,0
68,1782582406788,2,0,0,0
69,1782582407005,2,0,0,0
70,1782582407370,2,0,0,0
71,1782582407687,2,0,0,0
72,1782582407986,2,0,0,0
73,1782582408337,2,0,0,0
74,1782582409685,2,0,0,0
75,1782582410035,2,0,0,0
76,1782582410301,2,0,0,0
77,1782582410684,2,0,0,0
78,1782582411667,2,0,0,0
79,1782582412933,2,0,0,0
80,1782582413216,2,0,0,0
81,1782582413799,2,0,0,0
82,1782582414165,2,0,0,0
83,1782582414448,2,0,0,0
84,1782582414764,2,0,0,0
85,1782582415863,2,0,0,0
86,1782582416230,2,0,0,0
87,1782582416513,2,0,0,0
88,1782582422341,2,0,0,0
89,1782582422641,2,0,0,0
90,1782582424673,2,0,0,0
91,1782582424957,2,0,0,0
92,1782582425323,2,0,0,0
93,1782582426155,2,0,0,0
94,1782582426421,2,0,0,0
95,1782582426788,2,0,0,0
96,1782582427054,2,0,0,0
97,1782582427453,2,0,0,0
98,1782582427786,2,0,0,0
99,1782582427970,2,0,0,0
100,1782582428171,2,0,0,0
101,1782582428569,2,0,0,0
102,1782582428852,2,0,0,0
103,1782582429503,2,0,0,0
104,1782582430417,2,0,0,0
105,1782582430601,2,0,0,0
106,1782582430934,2,0,0,0
107,1782582431217,2,0,0,0
108,1782582431500,2,0,0,0
109,1782582431883,2,0,0,0
110,1782582433631,2,0,0,0
111,1782582435346,2,0,0,0
112,1782582435581,2,0,0,0
113,1782582435913,2,0,0,0
114,1782582436180,2,0,0,0
115,1782582436497,2,0,0,0
116,1782582437695,2,0,0,0
117,1782582437863,2,0,0,0
118,1782582438461,2,0,0,0
119,1782582439110,2,0,0,0
120,1782582439327,2,0,0,0
121,1782582439643,2,0,0,0
122,1782582439976,2,0,0,0
123,1782582441358,2,0,0,0
124,1782582441742,2,0,0,0
125,1782582441991,2,0,0,0
126,1782582442341,2,0,0,0
127,1782582442474,2,0,0,0
128,1782582443690,2,0,0,0
129,1782582443956,2,0,0,0
130,1782582444289,2,0,0,0
131,1782582444640,2,0,0,0
132,1782582445022,2,0,0,0
133,1782582445439,2,0,0,0
134,1782582446421,2,0,0,0
135,1782582447653,2,0,0,0
136,1782582447903,2,0,0,0
137,1782582448519,2,0,0,0
138,1782582450235,2,0,0,0
139,1782582453482,2,0,0,0
140,1782582453764,2,0,0,0
141,1782582454065,2,0,0,0
142,1782582454398,2,0,0,0
143,1782582454764,2,0,0,0
144,1782582455230,2,0,0,0
145,1782582455530,2,0,0,0
146,1782582455846,2,0,0,0
147,1782582456179,2,0,0,0
148,1782582458544,2,0,0,0
149,1782582459210,2,0,0,0
150,1782582459460,2,0,0,0
151,1782582460576,2,0,0,0
152,1782582460875,2,0,0,0
153,1782582461192,2,0,0,0
154,1782582461742,2,0,0,0
155,1782582464989,2,0,0,0
156,1782582465273,2,0,0,0
157,1782582465571,2,0,0,0
158,1782582465854,2,0,0,0
159,1782582466154,2,0,0,0
160,1782582467020,2,0,0,0
161,1782582467203,2,0,0,0
162,1782582467570,2,0,0,0
163,1782582468819,2,0,0,0
164,1782582469435,2,0,0,0
165,1782582469552,2,0,0,0
166,1782582469835,2,0,0,0
167,1782582470251,2,0,0,0
168,1782582472299,2,0,0,0
169,1782582472599,2,0,0,0
170,1782582473582,0,0,0,0
171,1782582475114,0,0,0,0
172,1782582476196,1,0,0,0
173,1782582476864,1,0,0,0
174,1782582477794,1,0,0,0
175,1782582478793,1,0,0,0
176,1782582479144,1,0,0,0
177,1782582479293,1,0,0,0
178,1782582480425,1,0,0,0
179,1782582481441,2,0,0,0
180,1782582481941,0,0,0,0
181,1782582482342,0,0,0,0
182,1782582482940,0,0,0,0
183,1782582484539,2,0,0,0
184,1782582485005,2,0,0,0
185,1782582485621,2,0,0,0
186,1782582487603,2,0,0,0
187,1782582488552,2,0,0,0
188,1782582488752,1,0,16384,0
189,1782582489401,2,0,0,0
190,1782582489784,2,0,0,0
191,1782582493797,2,0,0,0
192,1782582494614,2,0,0,0
193,1782582494714,2,0,0,0
194,1782582495530,2,0,0,0
195,1782582496329,2,0,0,0
196,1782582496495,2,0,0,0
197,1782582496778,2,0,0,0
198,1782582497112,2,0,0,0
199,1782582497461,2,0,0,0
200,1782582497728,2,0,0,0
201,1782582498044,2,0,0,0
202,1782582499210,2,0,0,0
203,1782582500925,2,0,0,0
204,1782582501241,2,0,0,0
205,1782582502224,2,0,0,0
206,1782582502490,2,0,0,0
207,1782582504073,2,0,0,0
208,1782582504273,2,0,0,0
209,1782582504905,2,0,0,0
210,1782582508202,2,0,0,0
211,1782582508469,2,0,0,0
212,1782582508702,2,0,0,0
213,1782582509834,2,0,0,0
214,1782582510500,2,0,0,0
215,1782582510717,2,0,0,0
216,1782582518044,2,0,0,0
217,1782582518427,2,0,0,0
218,1782582519543,2,0,0,0
219,1782582519843,2,0,0,0
220,1782582520525,2,0,0,0
221,1782582521075,2,0,0,0
222,1782582521274,2,0,0,0
223,1782582521624,2,0,0,0
224,1782582521924,2,0,0,0
225,1782582523739,2,0,0,0
226,1782582531932,2,0,0,0
227,1782582532248,2,0,0,0
228,1782582532632,2,0,0,0
229,1782582533497,2,0,0,0
230,1782582533797,2,0,0,0
231,1782582534080,2,0,0,0
232,1782582537877,2,0,0,0
233,1782582541507,0,0,0,0
