index,date,ADDR_CELL_VOLT_MIN,ADDR_STACK_VOLT_MIN,MIN_VOLTAGE
0,1782582857492,0,0,0
1,1782582859874,0,0,0
2,1782582862455,0,0,0
3,1782582866968,0,0,0
4,1782582869015,0,0,0
5,1782582870065,0,0,0
6,1782582871813,0,0,0
7,1782582871880,0,0,0
8,1782582873679,0,0,0
9,1782582874844,0,0,0
10,1782582876542,0,0,0
11,1782582879706,0,0,0
12,1782582881405,0,0,0
13,1782582883271,0,0,0
14,1782582884352,0,0,0
15,1782582886018,0,0,0
16,1782582887067,0,0,0
17,1782582888666,0,0,0
18,1782582891413,0,0,0
19,1782582893312,0,0,0
20,1782582894527,0,0,0
21,1782582896176,0,0,0
22,1782582896260,0,0,0
