index,date,LATITUDE
0,1780263079307,-19.8726
1,1780263079307,-19.8726
2,1780263079307,-19.8726
3,1780263079307,-19.8726
4,1780263080924,-19.8726
5,1780263083808,-19.8726
6,1780263086707,-19.8728
7,1780263088524,-19.8729
8,1780263089423,-19.8731
9,1780263089840,-19.8731
10,1780263090757,-19.8731
11,1780263092323,-19.8734
12,1780263092957,-19.8734
13,1780263096423,-19.8734
14,1780263096873,-19.8734
15,1780263100290,-19.8734
16,1780263113389,-19.8734
17,1780263114622,-19.8734
18,1780263116106,-19.8734
19,1780263125772,-19.8734
20,1780263127255,-19.8734
21,1780263127655,-19.8734
22,1780263128738,-19.8734
23,1780263130138,-19.8734
24,1780263131538,-19.8733
25,1780263139454,-19.8734
26,1780263140488,-19.8734
27,1780263147587,-19.8734
28,1780263149488,-19.8734
29,1780263154137,-19.8734
30,1780263171552,-19.8734
31,1780263175136,-19.8734
32,1780263176086,-19.8734
33,1780263176502,-19.8734
34,1780263177819,-19.8734
35,1780263179019,-19.8734
36,1780263181235,-19.8734
37,1780263181651,-19.8734
38,1780263182152,-19.8734
39,1780263184002,-19.8734
40,1780263184501,-19.8734
41,1780263186552,-19.8734
42,1780263188335,-19.8734
43,1780263189535,-19.8734
44,1780263191501,-19.8734
45,1780263192135,-19.8734
46,1780263195802,-19.8734
47,1780263197535,-19.8734
48,1780263197901,-19.8734
49,1780263198517,-19.8734
50,1780263199184,-19.8734
51,1780263206435,-19.8734
52,1780263207634,-19.8734
53,1780263209200,-19.8734
54,1780263212867,-19.8734
