index,date,ACCEL_X,ACCEL_Y,ACCEL_Z
0,1780263079307,7,-9,-2
1,1780263079307,7,-10,-1
2,1780263079307,5,-10,-1
3,1780263079307,7,-10,1
4,1780263079324,13,-11,1
5,1780263082041,-12,3,-11
6,1780263082657,40,0,-25
7,1780263082708,-128,66,-59
8,1780263084007,-42,165,-50
9,1780263084757,187,-103,-62
10,1780263084891,-43,-31,110
11,1780263085808,-280,14,89
12,1780263086143,-86,46,10
13,1780263086874,157,-81,-166
14,1780263088774,287,-366,319
15,1780263089090,68,22,-181
16,1780263089674,79,0,7072
17,1780263089957,-89,-171,7
18,1780263091175,76,40,-13
19,1780263092174,-3,-15,11
20,1780263093091,7,-11,0
21,1780263093574,7,-11,1
22,1780263093706,5,-9,-1
23,1780263095274,2,-9,-2
24,1780263096791,20,-18,1
25,1780263098689,10,-13,-1
26,1780263101456,5,-11,-2
27,1780263102006,7,-9,-1
28,1780263102572,9,-10,-1
29,1780263102772,5,-10,0
30,1780263103910,4,-10,-2
31,1780263105640,6,-8,-1
32,1780263106039,6,-11,-1
33,1780263106673,6,-10,-1
34,1780263106872,5,-11,-2
35,1780263107322,7,-9,0
36,1780263107573,4,-10,0
37,1780263107939,-1,0,0
38,1780263108159,7,-11,-1
39,1780263108939,7,-11,-1
40,1780263109222,6,-11,-1
41,1780263109306,6,-10,-2
42,1780263109390,5,-10,-1
43,1780263110206,4,-10,-2
44,1780263111123,5,-10,0
45,1780263111458,8,-10,1
46,1780263112473,5,-10,0
47,1780263113173,7,-9,0
48,1780263113724,5,-10,-2
49,1780263114122,7,-9,-2
50,1780263114789,8,-9,-1
51,1780263115072,9,-9,-1
52,1780263115322,6,-10,-1
53,1780263118289,5,-10,-1
54,1780263118372,7,-9,0
55,1780263119489,5,-12,-1
56,1780263119856,3,-9,-1
57,1780263120273,6,-10,-1
58,1780263121189,6,-10,-1
59,1780263121340,5,-10,-1
60,1780263122825,0,-10,-1
61,1780263125274,5,-10,-2
62,1780263125806,7,-10,-2
63,1780263126042,6,-9,-2
64,1780263126221,6,-9,1
65,1780263126421,8,-10,-1
66,1780263126589,5,-8,0
67,1780263127205,8,-7,0
68,1780263128238,4,-9,-1
69,1780263129388,2,-9,-2
70,1780263129555,7,-10,-1
71,1780263130788,7,-9,-1
72,1780263131122,5,-10,255
73,1780263131622,4,-11,-1
74,1780263131788,8,-10,-1
75,1780263131988,4,-11,-1
76,1780263134422,6,-9,0
77,1780263134505,6,-10,0
78,1780263135539,-1,0,6291
79,1780263136688,6,-10,-1
80,1780263136771,6,-10,-1
81,1780263137221,0,0,6292
82,1780263139871,7,-11,-2
83,1780263140604,4,-12,-1
84,1780263140938,4,-10,0
85,1780263142472,7,-10,-1
86,1780263142837,5,-10,0
87,1780263143120,6,-11,-2
88,1780263144354,4,-7,-2
89,1780263144487,6,-9,0
90,1780263147820,5,-9,-1
91,1780263148654,6,-11,-2
92,1780263149554,6,-10,-1
93,1780263150337,5,-10,-1
94,1780263150553,6,-9,-256
95,1780263153020,4,-11,-1
96,1780263154253,4,-10,-2
97,1780263154470,6,-9,-1
98,1780263154670,5,-10,0
99,1780263154837,6,-9,-1
100,1780263160120,5,-9,0
101,1780263160369,7,-9,0
102,1780263160771,7,-9,-1
103,1780263160853,5,-10,0
104,1780263160986,7,-8,-1
105,1780263161270,6,-10,-1
106,1780263162837,7,-10,0
107,1780263163870,5,-9,-2
108,1780263164620,4,-11,-1
109,1780263165019,7,-9,-2
110,1780263168170,8,-9,0
111,1780263168736,6,-10,-1
112,1780263170102,5,-8,1
113,1780263172035,6,-10,-2
114,1780263172202,6,-8,0
115,1780263172735,6,-10,0
116,1780263173436,4,-11,-2
117,1780263173569,5,-10,0
118,1780263175002,4,-10,-2
119,1780263175536,6,-11,-3
120,1780263177570,6,-9,-3
121,1780263177735,8,-12,0
122,1780263178519,6,-10,1
123,1780263179702,6,-9,-1
124,1780263180168,5,-9,-1
125,1780263180335,5,-9,-2
126,1780263180568,8,-11,0
