index,date,MAX_VOLTAGE,MIN_VOLTAGE,MAX_TEMPERATURE,ACUMULATOR_VOLTAGE
0,1780263079307,0,6.55,0,7910
1,1780263079324,0,6.55,0,7910
2,1780263081241,0,6.55,0,7909
3,1780263084374,0,6.55,0,7660
4,1780263085457,0,6.55,0,7495
5,1780263085758,0,6.55,0,7495
6,1780263085940,0,6.55,0,7382
7,1780263087773,0,6.55,0,7125
8,1780263100389,0,6.55,0,7853
9,1780263106173,0,6.55,0,7860
10,1780263107740,0,6.55,0,7859
11,1780263108524,0,6.55,0,7859
12,1780263108772,0,6.55,0,7861
13,1780263110457,0,6.55,0,7862
14,1780263111939,0,6.55,0,7862
15,1780263117139,0,6.55,0,7862
16,1780263118122,0,6.55,0,7865
17,1780263126955,0,6.55,0,7864
18,1780263127488,0,6.55,0,7864
19,1780263130056,0,6.55,0,7863
20,1780263130621,0,6.55,0,7864
21,1780263132405,0,6.55,0,7864
22,1780263136156,0,6.55,0,7866
23,1780263141771,0,6.55,0,7866
24,1780263142870,0,6.55,0,7866
25,1780263144191,0,6.55,0,7867
26,1780263149721,0,6.55,0,7869
27,1780263149939,0,6.55,0,7871
28,1780263150420,0,6.55,0,7870
29,1780263153154,0,6.55,0,7871
30,1780263154103,0,6.55,0,7870
31,1780263154304,0,6.55,0,7870
32,1780263154921,0,6.55,0,7871
33,1780263161437,0,6.55,0,7871
34,1780263174802,0,6.55,0,7873
35,1780263176202,0,0.79,132.4,0
36,1780263179469,0,6.55,0,7871
37,1780263180285,0,0.79,0,0
38,1780263182053,0,6.55,0,7872
39,1780263188569,0,6.55,0,7871
40,1780263188984,0,6.55,0,7873
41,1780263201651,0,6.55,0,7874
42,1780263205284,0,6.55,0,7875
43,1780263213935,0,6.55,0,7876
44,1780263215668,0,6.55,0,7874
45,1780263218067,0,6.55,0,7876
46,1780263218233,0,6.55,0,7877
47,1780263219434,0,6.55,0,7877
