index,date,STACK_UNDER,2,3,4,5,6,7,8
0,1765227023573,0,2,3,3.19,0,0,0,0
1,1765227027179,0,1,3,3.23,0,0,0,0
2,1765227030861,0,1,3,3.23,0,0,0,0
3,1765227032405,0,1,3,3.24,0,0,0,0
4,1765227032580,0,1,3,3.24,0,0,0,0
5,1765227034188,0,1,3,3.24,0,0,0,0
6,1765227039345,0,1,3,3.24,0,0,0,0
7,1765227046310,0,1,3,3.24,0,0,0,0
8,1765227047869,0,1,3,3.24,0,0,0,0
9,1765227049620,0,1,3,3.24,0,0,0,0
10,1765227052969,0,1,3,3.24,0,0,0,0
11,1765227054735,0,1,3,3.24,0,0,0,0
12,1765227062102,0,1,3,3.25,0,0,0,0
13,1765227062301,0,1,3,3.25,0,0,0,0
14,1765227064201,0,1,3,3.25,0,0,0,0
15,1765227067774,0,1,3,3.25,0,0,0,0
16,1765227074615,0,1,3,3.25,0,0,0,0
17,1765227146494,0,1,3,3.25,0,0,0,0
18,1765227148035,0,1,3,3.25,0,0,0,0
19,1765227149851,0,1,3,3.25,0,0,0,0
20,1765227153161,0,1,3,3.25,0,0,0,0
21,1765227155118,0,1,3,3.25,0,0,0,0
22,1765227159388,0,1,3,3.25,0,0,0,0
23,1765227161021,0,1,3,3.25,0,0,0,0
24,1765227161179,0,1,3,3.25,0,0,0,0
25,1765227166045,0,1,3,3.25,0,0,0,0
26,1765227171259,0,1,3,3.25,0,0,0,0
27,1765227172868,0,1,3,3.25,0,0,0,0
28,1765227181386,0,2,3,3.07,0,0,0,0
29,1765227182996,0,2,3,2.97,0,0,0,0
30,1765227184694,0,2,3,2.93,0,0,0,0
31,1765227186478,0,2,3,2.96,0,0,0,0
32,1765227193393,0,1,3,3.24,0,0,0,0
33,1765227193565,0,1,3,3.24,0,0,0,0
34,1765227198379,0,2,3,3.01,0,0,0,0
35,1765227201770,0,2,3,2.83,0,0,0,0
36,1765227201812,0,2,3,2.81,0,0,0,0
37,1765227203347,0,2,3,2.79,0,0,0,0
38,1765227208368,0,2,3,5.54,0,0,0,0
39,1765227211690,0,2,3,3.1,0,0,0,0
40,1765227211899,0,2,3,3.03,0,0,0,0
41,1765227215159,0,2,3,2.78,0,0,0,0
42,1765227220360,0,2,3,2.76,0,0,0,0
43,1765227222167,0,2,3,2.97,0,0,0,0
44,1765227222321,0,2,3,2.96,0,0,0,0
45,1765227225825,0,1,3,3.21,0,0,0,0
46,1765227225993,0,1,3,3.21,0,0,0,0
47,1765227229282,2,1,3,3.2,0,0,0,0
48,1765227229337,2,1,3,3.2,0,0,0,0
49,1765227231106,2,1,3,3.21,0,0,0,0
50,1765227232623,2,1,3,3.22,0,0,0,0
51,1765227232668,2,1,3,3.22,0,0,0,0
52,1765227232804,2,1,3,3.22,0,0,0,0
53,1765227234418,2,1,3,3.22,0,0,0,0
54,1765227236153,2,1,3,3.22,0,0,0,0
