index,date,LEFT_MOTOR_SPEED,RIGHT_MOTOR_SPEED,1,2,3,4,5,6
0,1764700956892,0,0,0,0,0,0,0,0
1,1764700957459,0,0,0,0,0,0,0,0
2,1764700958059,0,0,0,0,0,0,0,0
3,1764700958692,0,0,0,0,0,0,0,0
4,1764700959260,0,0,0,0,0,0,0,0
5,1764700959859,0,0,0,0,0,0,0,0
6,1764700960426,0,0,0,0,0,0,0,0
7,1764700961059,0,0,0,0,0,0,0,0
8,1764700961309,0,0,0,0,0,0,0,0
9,1764700961642,0,0,0,0,0,0,0,0
10,1764700961927,0,0,0,0,0,0,0,0
11,1764700962243,0,0,0,0,0,0,0,0
12,1764700962492,0,0,0,0,0,0,0,0
13,1764700962858,0,0,0,0,0,0,0,0
14,1764700963109,0,0,0,0,0,0,0,0
15,1764700963443,0,0,0,0,0,0,0,0
16,1764700963692,0,0,0,0,0,0,0,0
17,1764700964025,0,0,0,0,0,0,0,0
18,1764700964276,0,0,0,0,0,0,0,0
19,1764700964592,0,0,0,0,0,0,0,0
20,1764700964875,0,0,0,0,0,0,0,0
21,1764700965225,0,0,0,0,0,0,0,0
22,1764700965475,0,0,0,0,0,0,0,0
23,1764700965791,0,0,0,0,0,0,0,0
24,1764700966076,0,0,0,0,0,0,0,0
25,1764700966392,0,0,0,0,0,0,0,0
26,1764700966659,0,0,0,0,0,0,0,0
27,1764700967026,0,0,0,0,0,0,0,0
28,1764700967292,0,0,0,0,0,0,0,0
29,1764700967609,0,0,0,0,0,0,0,0
30,1764700967859,0,0,0,0,0,0,0,0
31,1764700968176,0,0,0,0,0,0,0,0
32,1764700968425,0,0,0,0,0,0,0,0
33,1764700968809,0,0,0,0,0,0,0,0
34,1764700969043,0,0,0,0,0,0,0,0
35,1764700969358,0,0,0,0,0,0,0,0
36,1764700969627,0,0,0,0,0,0,0,0
37,1764700969959,0,0,0,0,0,0,0,0
38,1764700970225,0,0,0,0,0,0,0,0
39,1764700970542,0,0,0,0,0,0,0,0
40,1764700970809,0,0,0,0,0,0,0,0
41,1764700971193,0,0,0,0,0,0,0,0
42,1764700971442,0,0,0,0,0,0,0,0
43,1764700971759,0,0,0,0,0,0,0,0
44,1764700972026,0,0,0,0,0,0,0,0
45,1764700972342,0,0,0,0,0,0,0,0
46,1764700972575,0,0,0,0,0,0,0,0
47,1764700972958,0,0,0,0,0,0,0,0
48,1764700973225,0,0,0,0,0,0,0,0
49,1764700973559,0,0,0,0,0,0,0,0
50,1764700973825,0,0,0,0,0,0,0,0
51,1764700974175,0,0,0,0,0,0,0,0
52,1764700974426,0,0,0,0,0,0,0,0
53,1764700974759,0,0,0,0,0,0,0,0
54,1764700975059,0,0,0,0,0,0,0,0
55,1764700975375,0,0,0,0,0,0,0,0
56,1764700975692,0,0,0,0,0,0,0,0
57,1764700975976,0,0,0,0,0,0,0,0
58,1764700976326,0,0,0,0,0,0,0,0
59,1764700976609,0,0,0,0,0,0,0,0
60,1764700976926,0,0,0,0,0,0,0,0
61,1764700977209,0,0,0,0,0,0,0,0
62,1764700977593,0,0,0,0,0,0,0,0
63,1764700977876,0,0,0,0,0,0,0,0
64,1764700978459,0,0,0,0,0,0,0,0
65,1764700979092,0,0,0,0,0,0,0,0
66,1764700979359,0,0,0,0,0,0,0,0
67,1764700979742,0,0,0,0,0,0,0,0
68,1764700980025,0,0,0,0,0,0,0,0
69,1764700980359,0,0,0,0,0,0,0,0
70,1764700980642,0,0,0,0,0,0,0,0
71,1764700980993,0,0,0,0,0,0,0,0
72,1764700981275,0,0,0,0,0,0,0,0
73,1764700981592,0,0,0,0,0,0,0,0
74,1764700981909,0,0,0,0,0,0,0,0
75,1764700982192,0,0,0,0,0,0,0,0
76,1764700982508,0,0,0,0,0,0,0,0
77,1764700982808,0,0,0,0,0,0,0,0
78,1764700983126,0,0,0,0,0,0,0,0
79,1764700983392,0,0,0,0,0,0,0,0
80,1764700983725,0,0,0,0,0,0,0,0
81,1764700983975,0,0,0,0,0,0,0,0
82,1764700984326,0,0,0,0,0,0,0,0
83,1764700984592,0,0,0,0,0,0,0,0
84,1764700984892,0,0,0,0,0,0,0,0
85,1764700985158,0,0,0,0,0,0,0,0
86,1764700985492,0,0,0,0,0,0,0,0
87,1764700985742,0,0,0,0,0,0,0,0
88,1764700986125,0,0,0,0,0,0,0,0
89,1764700986376,0,0,0,0,0,0,0,0
90,1764700986692,0,0,0,0,0,0,0,0
91,1764700986958,0,0,0,0,0,0,0,0
92,1764700987292,0,0,0,0,0,0,0,0
93,1764700987542,0,0,0,0,0,0,0,0
94,1764700987859,0,0,0,0,0,0,0,0
95,1764700988108,0,0,0,0,0,0,0,0
96,1764700988492,0,0,0,0,0,0,0,0
97,1764700988742,0,0,0,0,0,0,0,0
98,1764700989074,0,0,0,0,0,0,0,0
99,1764700989341,0,0,0,0,0,0,0,0
100,1764700989658,0,0,0,0,0,0,0,0
101,1764700989908,0,0,0,0,0,0,0,0
102,1764700990292,0,0,0,0,0,0,0,0
103,1764700990542,0,0,0,0,0,0,0,0
104,1764700990858,0,0,0,0,0,0,0,0
105,1764700991125,0,0,0,0,0,0,0,0
106,1764700991442,0,0,0,0,0,0,0,0
107,1764700991709,0,0,0,0,0,0,0,0
108,1764700992042,0,0,0,0,0,0,0,0
109,1764700992326,0,0,0,0,0,0,0,0
110,1764700992659,0,0,0,0,0,0,0,0
111,1764700992909,0,0,0,0,0,0,0,0
112,1764700993242,0,0,0,0,0,0,0,0
113,1764700993508,0,0,0,0,0,0,0,0
114,1764700993842,0,0,0,0,0,0,0,0
115,1764700994092,0,0,0,0,0,0,0,0
116,1764700994459,0,0,0,0,0,0,0,0
117,1764700994708,0,0,0,0,0,0,0,0
118,1764700995025,0,0,0,0,0,0,0,0
119,1764700995292,0,0,0,0,0,0,0,0
120,1764700995625,0,0,0,0,0,0,0,0
121,1764700995875,0,0,0,0,0,0,0,0
122,1764700996508,0,0,0,0,0,0,0,0
123,1764700996826,0,0,0,0,0,0,0,0
124,1764700997059,0,0,0,0,0,0,0,0
125,1764700997409,0,0,0,0,0,0,0,0
126,1764700997659,0,0,0,0,0,0,0,0
127,1764700997975,0,0,0,0,0,0,0,0
128,1764700998242,0,0,0,0,0,0,0,0
129,1764700998858,0,0,0,0,0,0,0,0
130,1764700999191,0,0,0,0,0,0,0,0
131,1764700999442,0,0,0,0,0,0,0,0
