index,date,1,2,3,4,5,6,7,8
2880,1762968441134,0,0,0,0,0,0,0,0
2881,1762968442830,0,0,0,0,0,0,0,0
2882,1762968442948,0,0,0,0,0,0,0,0
2883,1762968443080,0,0,0,0,0,0,0,0
2884,1762968443163,0,0,0,0,0,0,0,0
2885,1762968443263,0,0,0,0,0,0,0,0
2886,1762968443379,0,0,0,0,0,0,0,0
2887,1762968443496,0,0,0,0,0,0,0,0
2888,1762968443612,0,0,0,0,0,0,0,0
2889,1762968443713,0,0,0,0,0,0,0,0
2890,1762968443829,0,0,0,0,0,0,0,0
2891,1762968443929,0,0,0,0,0,0,0,0
2892,1762968444047,0,0,0,0,0,0,0,0
2893,1762968444146,0,0,0,0,0,0,0,0
2894,1762968444263,0,0,0,0,0,0,0,0
2895,1762968444495,0,0,0,0,0,0,0,0
2896,1762968444611,0,0,0,0,0,0,0,0
2897,1762968444695,0,0,0,0,0,0,0,0
2898,1762968444830,0,0,0,0,0,0,0,0
2899,1762968444929,0,0,0,0,0,0,0,0
2900,1762968445030,0,0,0,0,0,0,0,0
2901,1762968445129,0,0,0,0,0,0,0,0
2902,1762968445278,0,0,0,0,0,0,0,0
2903,1762968445362,0,0,0,0,0,0,0,0
2904,1762968445478,0,0,0,0,0,0,0,0
2905,1762968445594,0,0,0,0,0,0,0,0
2906,1762968445730,0,0,0,0,0,0,0,0
2907,1762968445795,0,0,0,0,0,0,0,0
2908,1762968445911,0,0,0,0,0,0,0,0
2909,1762968446028,0,0,0,0,0,0,0,0
2910,1762968446129,0,0,0,0,0,0,0,0
2911,1762968446244,0,0,0,0,0,0,0,0
2912,1762968446345,0,0,0,0,0,0,0,0
2913,1762968446460,0,0,0,0,0,0,0,0
2914,1762968446577,0,0,0,0,0,0,0,0
2915,1762968446677,0,0,0,0,0,0,0,0
2916,1762968446810,0,0,0,0,0,0,0,0
2917,1762968446927,0,0,0,0,0,0,0,0
2918,1762968447027,0,0,0,0,0,0,0,0
2919,1762968447228,0,0,0,0,0,0,0,0
2920,1762968447359,0,0,0,0,0,0,0,0
2921,1762968447460,0,0,0,0,0,0,0,0
2922,1762968447578,0,0,0,0,0,0,0,0
2923,1762968447677,0,0,0,0,0,0,0,0
2924,1762968447792,0,0,0,0,0,0,0,0
2925,1762968447893,0,0,0,0,0,0,0,0
2926,1762968448009,0,0,0,0,0,0,0,0
2927,1762968448109,0,0,0,0,0,0,0,0
2928,1762968448226,0,0,0,0,0,0,0,0
2929,1762968448326,0,0,0,0,0,0,0,0
2930,1762968448460,0,0,0,0,0,0,0,0
2931,1762968448577,0,0,0,0,0,0,0,0
2932,1762968448708,0,0,0,0,0,0,0,0
2933,1762968448808,0,0,0,0,0,0,0,0
2934,1762968448892,0,0,0,0,0,0,0,0
2935,1762968449009,0,0,0,0,0,0,0,0
2936,1762968449108,0,0,0,0,0,0,0,0
2937,1762968449225,0,0,0,0,0,0,0,0
2938,1762968449325,0,0,0,0,0,0,0,0
2939,1762968449475,0,0,0,0,0,0,0,0
2940,1762968449642,0,0,0,0,0,0,0,0
2941,1762968449757,0,0,0,0,0,0,0,0
2942,1762968449874,0,0,0,0,0,0,0,0
2943,1762968449992,0,0,0,0,0,0,0,0
2944,1762968450091,0,0,0,0,0,0,0,0
2945,1762968450208,0,0,0,0,0,0,0,0
2946,1762968450307,0,0,0,0,0,0,0,0
2947,1762968450424,0,0,0,0,0,0,0,0
2948,1762968450541,0,0,0,0,0,0,0,0
2949,1762968450641,0,0,0,0,0,0,0,0
2950,1762968450756,0,0,0,0,0,0,0,0
2951,1762968450857,0,0,0,0,0,0,0,0
2952,1762968451056,0,0,0,0,0,0,0,0
2953,1762968451140,0,0,0,0,0,0,0,0
2954,1762968451191,0,0,0,0,0,0,0,0
2955,1762968451290,0,0,0,0,0,0,0,0
2956,1762968451407,0,0,0,0,0,0,0,0
2957,1762968451523,0,0,0,0,0,0,0,0
2958,1762968451623,0,0,0,0,0,0,0,0
2959,1762968451756,0,0,0,0,0,0,0,0
2960,1762968451840,0,0,0,0,0,0,0,0
2961,1762968451972,0,0,0,0,0,0,0,0
2962,1762968452072,0,0,0,0,0,0,0,0
2963,1762968452206,0,0,0,0,0,0,0,0
2964,1762968452339,0,0,0,0,0,0,0,0
2965,1762968452405,0,0,0,0,0,0,0,0
2966,1762968452505,0,0,0,0,0,0,0,0
2967,1762968452622,0,0,0,0,0,0,0,0
2968,1762968452739,0,0,0,0,0,0,0,0
2969,1762968452839,0,0,0,0,0,0,0,0
2970,1762968452955,0,0,0,0,0,0,0,0
2971,1762968453072,0,0,0,0,0,0,0,0
2972,1762968453171,0,0,0,0,0,0,0,0
2973,1762968453273,0,0,0,0,0,0,0,0
2974,1762968453388,0,0,0,0,0,0,0,0
2975,1762968453504,0,0,0,0,0,0,0,0
2976,1762968453604,0,0,0,0,0,0,0,0
2977,1762968453722,0,0,0,0,0,0,0,0
2978,1762968453838,0,0,0,0,0,0,0,0
2979,1762968453938,0,0,0,0,0,0,0,0
2980,1762968454054,0,0,0,0,0,0,0,0
2981,1762968454154,0,0,0,0,0,0,0,0
2982,1762968454271,0,0,0,0,0,0,0,0
2983,1762968454387,0,0,0,0,0,0,0,0
2984,1762968454487,0,0,0,0,0,0,0,0
2985,1762968454587,0,0,0,0,0,0,0,0
2986,1762968454703,0,0,0,0,0,0,0,0
2987,1762968454820,0,0,0,0,0,0,0,0
2988,1762968454920,0,0,0,0,0,0,0,0
2989,1762968455037,0,0,0,0,0,0,0,0
2990,1762968455152,0,0,0,0,0,0,0,0
2991,1762968455304,0,0,0,0,0,0,0,0
2992,1762968455386,0,0,0,0,0,0,0,0
2993,1762968455487,0,0,0,0,0,0,0,0
2994,1762968455604,0,0,0,0,0,0,0,0
2995,1762968455719,0,0,0,0,0,0,0,0
2996,1762968455803,0,0,0,0,0,0,0,0
2997,1762968455936,0,0,0,0,0,0,0,0
2998,1762968456019,0,0,0,0,0,0,0,0
2999,1762968456253,0,0,0,0,0,0,0,0
3000,1762968456368,0,0,0,0,0,0,0,0
3001,1762968456469,0,0,0,0,0,0,0,0
3002,1762968456585,0,0,0,0,0,0,0,0
3003,1762968456685,0,0,0,0,0,0,0,0
3004,1762968456901,0,0,0,0,0,0,0,0
3005,1762968457018,0,0,0,0,0,0,0,0
3006,1762968457136,0,0,0,0,0,0,0,0
3007,1762968457253,0,0,0,0,0,0,0,0
3008,1762968457386,0,0,0,0,0,0,0,0
3009,1762968457451,0,0,0,0,0,0,0,0
3010,1762968457601,0,0,0,0,0,0,0,0
3011,1762968457701,0,0,0,0,0,0,0,0
3012,1762968457785,0,0,0,0,0,0,0,0
3013,1762968457900,0,0,0,0,0,0,0,0
3014,1762968458001,0,0,0,0,0,0,0,0
3015,1762968458350,0,0,0,0,0,0,0,0
3016,1762968458451,0,0,0,0,0,0,0,0
3017,1762968458601,0,0,0,0,0,0,0,0
3018,1762968458700,0,0,0,0,0,0,0,0
3019,1762968458784,0,0,0,0,0,0,0,0
3020,1762968458884,0,0,0,0,0,0,0,0
3021,1762968459000,0,0,0,0,0,0,0,0
3022,1762968459500,0,0,0,0,0,0,0,0
3023,1762968459666,0,0,0,0,0,0,0,0
3024,1762968459883,0,0,0,0,0,0,0,0
3025,1762968459999,0,0,0,0,0,0,0,0
3026,1762968460099,0,0,0,0,0,0,0,0
3027,1762968460349,0,0,0,0,0,0,0,0
3028,1762968460465,0,0,0,0,0,0,0,0
3029,1762968460616,0,0,0,0,0,0,0,0
3030,1762968460915,0,0,0,0,0,0,0,0
3031,1762968461082,0,0,0,0,0,0,0,0
3032,1762968461547,0,0,0,0,0,0,0,0
3033,1762968461749,0,0,0,0,0,0,0,0
3034,1762968461964,0,0,0,0,0,0,0,0
3035,1762968462081,0,0,0,0,0,0,0,0
3036,1762968462331,0,0,0,0,0,0,0,0
3037,1762968462447,0,0,0,0,0,0,0,0
3038,1762968462913,0,0,0,0,0,0,0,0
3039,1762968463514,0,0,0,0,0,0,0,0
