index,date,DEBUG_1,DEBUG_2,DEBUG_3,DEBUG_4,1,2,3,4
0,1762968053720,0,0,0,0,0,0,0,0
1,1762968053819,0,0,0,0,0,0,0,0
2,1762968053936,0,0,0,0,0,0,0,0
3,1762968054053,0,0,0,0,0,0,0,0
4,1762968054153,0,0,0,0,0,0,0,0
5,1762968054270,0,0,0,0,0,0,0,0
6,1762968054402,0,0,0,0,0,0,0,0
7,1762968054818,0,0,0,0,0,0,0,0
8,1762968055035,0,0,0,0,0,0,0,0
9,1762968055153,0,0,0,0,0,0,0,0
10,1762968055252,0,0,0,0,0,0,0,0
11,1762968055369,0,0,0,0,0,0,0,0
12,1762968055469,0,0,0,0,0,0,0,0
13,1762968055702,0,0,0,0,0,0,0,0
14,1762968055801,0,0,0,0,0,0,0,0
15,1762968055901,0,0,0,0,0,0,0,0
16,1762968056135,0,0,0,0,0,0,0,0
17,1762968056251,0,0,0,0,0,0,0,0
18,1762968056384,0,0,0,0,0,0,0,0
19,1762968056467,0,0,0,0,0,0,0,0
20,1762968056700,0,0,0,0,0,0,0,0
21,1762968056801,0,0,0,0,0,0,0,0
22,1762968056900,0,0,0,0,0,0,0,0
23,1762968057018,0,0,0,0,0,0,0,0
24,1762968057117,0,0,0,0,0,0,0,0
25,1762968057250,0,0,0,0,0,0,0,0
26,1762968057350,0,0,0,0,0,0,0,0
27,1762968057467,0,0,0,0,0,0,0,0
28,1762968057567,0,0,0,0,0,0,0,0
29,1762968057683,0,0,0,0,0,0,0,0
30,1762968057800,0,0,0,0,0,0,0,0
31,1762968057899,0,0,0,0,0,0,0,0
32,1762968058100,0,0,0,0,0,0,0,0
33,1762968058216,0,0,0,0,0,0,0,0
34,1762968058782,0,0,0,0,0,0,0,0
35,1762968058899,0,0,0,0,0,0,0,0
36,1762968059098,0,0,0,0,0,0,0,0
37,1762968059215,0,0,0,0,0,0,0,0
38,1762968059432,0,0,0,0,0,0,0,0
39,1762968059698,0,0,0,0,0,0,0,0
40,1762968059781,0,0,0,0,0,0,0,0
41,1762968060081,0,0,0,0,0,0,0,0
42,1762968060198,0,0,0,0,0,0,0,0
43,1762968060314,0,0,0,0,0,0,0,0
44,1762968060431,0,0,0,0,0,0,0,0
45,1762968060748,0,0,0,0,0,0,0,0
46,1762968060864,0,0,0,0,0,0,0,0
47,1762968060964,0,0,0,0,0,0,0,0
48,1762968061180,0,0,0,0,0,0,0,0
49,1762968061413,0,0,0,0,0,0,0,0
50,1762968061563,0,0,0,0,0,0,0,0
51,1762968061846,0,0,0,0,0,0,0,0
52,1762968061964,0,0,0,0,0,0,0,0
53,1762968062296,0,0,0,0,0,0,0,0
54,1762968062396,0,0,0,0,0,0,0,0
55,1762968062729,0,0,0,0,0,0,0,0
56,1762968062829,0,0,0,0,0,0,0,0
57,1762968062945,0,0,0,0,0,0,0,0
58,1762968063045,0,0,0,0,0,0,0,0
59,1762968063295,0,0,0,0,0,0,0,0
60,1762968063395,0,0,0,0,0,0,0,0
61,1762968063512,0,0,0,0,0,0,0,0
62,1762968063844,0,0,0,0,0,0,0,0
63,1762968063945,0,0,0,0,0,0,0,0
64,1762968064061,0,0,0,0,0,0,0,0
65,1762968064177,0,0,0,0,0,0,0,0
66,1762968064279,0,0,0,0,0,0,0,0
67,1762968064378,0,0,0,0,0,0,0,0
68,1762968064711,0,0,0,0,0,0,0,0
69,1762968064829,0,0,0,0,0,0,0,0
70,1762968065044,0,0,0,0,0,0,0,0
71,1762968065160,0,0,0,0,0,0,0,0
