index,date,1,2,3,4,5,6,7,8
0,1762968053602,0,0,0,0,0,0,0,0
1,1762968053603,0,0,0,0,0,0,0,0
2,1762968053636,0,0,187,0,0,0,0,0
3,1762968053670,0,0,0,0,0,0,0,0
4,1762968053687,0,0,0,0,0,0,0,0
5,1762968053720,0,0,0,0,0,0,0,0
6,1762968053753,0,0,2,0,0,0,0,0
7,1762968053753,0,0,0,0,0,0,0,0
8,1762968053786,0,0,201,0,0,0,0,0
9,1762968053819,0,0,0,0,0,0,0,0
10,1762968053836,0,0,0,0,0,0,0,0
11,1762968053853,0,0,65534,0,0,0,0,0
12,1762968053869,0,0,0,0,0,0,0,0
13,1762968053886,0,0,0,0,0,0,0,0
14,1762968053919,0,0,0,0,0,0,0,0
15,1762968053936,0,0,0,0,0,0,0,0
16,1762968053953,0,0,190,0,0,0,0,0
17,1762968053969,0,0,0,0,0,0,0,0
18,1762968054004,0,0,0,0,0,0,0,0
19,1762968054036,0,0,0,0,0,0,0,0
20,1762968054053,0,0,0,0,0,0,0,0
21,1762968054071,0,0,65534,0,0,0,0,0
22,1762968054086,0,0,0,0,0,0,0,0
23,1762968054120,0,0,215,0,0,0,0,0
24,1762968054136,0,0,0,0,0,0,0,0
25,1762968054153,0,0,0,0,0,0,0,0
26,1762968054169,0,0,218,0,0,0,0,0
27,1762968054185,0,0,0,0,0,0,0,0
28,1762968054203,0,0,0,0,0,0,0,0
29,1762968054236,0,0,0,0,0,0,0,0
30,1762968054270,0,0,0,0,0,0,0,0
31,1762968054270,0,0,0,0,0,0,0,0
32,1762968054286,0,0,65534,0,0,0,0,0
33,1762968054369,0,0,0,0,0,0,0,0
34,1762968054385,0,0,0,0,0,0,0,0
35,1762968054402,0,0,0,0,0,0,0,0
36,1762968054419,0,0,234,0,0,0,0,0
37,1762968054419,0,0,0,0,0,0,0,0
38,1762968054436,0,0,0,0,0,0,0,0
39,1762968054469,0,0,0,0,0,0,0,0
40,1762968054485,0,0,0,0,0,0,0,0
41,1762968054502,0,0,0,0,0,0,0,0
42,1762968054537,0,0,0,0,0,0,0,0
43,1762968054570,0,0,0,0,0,0,0,0
44,1762968054619,0,0,0,0,0,0,0,0
45,1762968054635,0,0,0,0,0,0,0,0
46,1762968054653,0,0,220,0,0,0,0,0
47,1762968054719,0,0,0,0,0,0,0,0
48,1762968054735,0,0,0,0,0,0,0,0
49,1762968054752,0,0,0,0,0,0,0,0
50,1762968054752,0,0,0,0,0,0,0,0
51,1762968054768,0,0,65534,0,0,0,0,0
52,1762968054786,0,0,0,0,0,0,0,0
53,1762968054803,0,0,0,0,0,0,0,0
54,1762968054852,0,0,215,0,0,0,0,0
55,1762968054869,0,0,0,0,0,0,0,0
56,1762968054902,0,0,0,0,0,0,0,0
57,1762968054935,0,0,205,0,0,0,0,0
58,1762968054952,0,0,0,0,0,0,0,0
