index,date,SPEED_L_MOTOR,TORQUE_L_MOTOR,POWER_L_MOTOR,CURRENT_L_MOTOR,1,2,3,4
0,1762968053587,0,0,0,0,0,0,0,0
1,1762968053803,0,0,0,0,0,0,0,0
2,1762968053903,0,0,0,0,0,0,0,0
3,1762968054004,0,0,0,0,0,0,0,0
4,1762968054120,0,0,0,0,0,0,0,0
5,1762968054219,0,0,0,0,0,0,0,0
6,1762968054385,0,0,0,0,0,0,0,0
7,1762968054586,0,0,0,0,0,0,0,0
8,1762968054719,0,0,0,0,0,0,0,0
9,1762968054786,0,0,0,0,0,0,0,0
10,1762968054886,0,0,0,0,0,0,0,0
11,1762968055102,0,0,0,0,0,0,0,0
12,1762968055219,0,0,0,0,0,0,0,0
13,1762968055336,0,0,0,0,0,0,0,0
14,1762968055435,0,0,0,0,0,0,0,0
15,1762968055585,0,0,0,0,0,0,0,0
16,1762968055752,0,0,0,0,0,0,0,0
17,1762968056102,0,0,0,0,0,0,0,0
18,1762968056201,0,0,0,0,0,0,0,0
19,1762968056368,0,0,0,0,0,0,0,0
20,1762968056434,0,0,0,0,0,0,0,0
21,1762968056535,0,0,0,0,0,0,0,0
22,1762968056667,0,0,0,0,0,0,0,0
23,1762968056767,0,0,0,0,0,0,0,0
24,1762968057084,0,0,0,0,0,0,0,0
25,1762968057200,0,0,0,0,0,0,0,0
26,1762968057300,0,0,0,0,0,0,0,0
27,1762968057417,0,0,0,0,0,0,0,0
28,1762968057533,0,0,0,0,0,0,0,0
29,1762968057666,0,0,0,0,0,0,0,0
30,1762968057749,0,0,0,0,0,0,0,0
31,1762968057850,0,0,0,0,0,0,0,0
32,1762968057966,0,0,0,0,0,0,0,0
33,1762968058183,0,0,0,0,0,0,0,0
34,1762968058299,0,0,0,0,0,0,0,0
35,1762968058432,0,0,0,0,0,0,0,0
36,1762968058517,0,0,0,0,0,0,0,0
37,1762968058849,0,0,0,0,0,0,0,0
38,1762968058949,0,0,0,0,0,0,0,0
39,1762968059065,0,0,0,0,0,0,0,0
40,1762968059182,0,0,0,0,0,0,0,0
41,1762968059316,0,0,0,0,0,0,0,0
42,1762968059831,0,0,0,0,0,0,0,0
43,1762968060165,0,0,0,0,0,0,0,0
44,1762968060397,0,0,0,0,0,0,0,0
45,1762968060514,0,0,0,0,0,0,0,0
46,1762968060598,0,0,0,0,0,0,0,0
47,1762968060714,0,0,0,0,0,0,0,0
48,1762968060831,0,0,0,0,0,0,0,0
49,1762968060931,0,0,0,0,0,0,0,0
50,1762968061380,0,0,0,0,0,0,0,0
51,1762968061497,0,0,0,0,0,0,0,0
52,1762968061747,0,0,0,0,0,0,0,0
53,1762968061930,0,0,0,0,0,0,0,0
54,1762968062030,0,0,0,0,0,0,0,0
55,1762968062146,0,0,0,0,0,0,0,0
56,1762968062246,0,0,0,0,0,0,0,0
57,1762968062363,0,0,0,0,0,0,0,0
58,1762968062695,0,0,0,0,0,0,0,0
59,1762968062796,0,0,0,0,0,0,0,0
60,1762968062912,0,0,0,0,0,0,0,0
61,1762968063129,0,0,0,0,0,0,0,0
62,1762968063245,0,0,0,0,0,0,0,0
63,1762968063362,0,0,0,0,0,0,0,0
64,1762968063462,0,0,0,0,0,0,0,0
65,1762968063611,0,0,0,0,0,0,0,0
66,1762968063711,0,0,0,0,0,0,0,0
67,1762968063795,0,0,0,0,0,0,0,0
68,1762968063911,0,0,0,0,0,0,0,0
69,1762968064029,0,0,0,0,0,0,0,0
70,1762968064129,0,0,0,0,0,0,0,0
71,1762968064245,0,0,0,0,0,0,0,0
72,1762968064344,0,0,0,0,0,0,0,0
73,1762968064462,0,0,0,0,0,0,0,0
74,1762968064562,0,0,0,0,0,0,0,0
75,1762968064677,0,0,0,0,0,0,0,0
76,1762968064794,0,0,0,0,0,0,0,0
77,1762968064894,0,0,0,0,0,0,0,0
78,1762968065010,0,0,0,0,0,0,0,0
79,1762968065126,0,0,0,0,0,0,0,0
80,1762968065227,0,0,0,0,0,0,0,0
81,1762968065343,0,0,0,0,0,0,0,0
82,1762968065445,0,0,0,0,0,0,0,0
83,1762968065560,0,0,0,0,0,0,0,0
84,1762968065677,0,0,0,0,0,0,0,0
85,1762968065777,0,0,0,0,0,0,0,0
86,1762968065893,0,0,0,0,0,0,0,0
87,1762968066011,0,0,0,0,0,0,0,0
88,1762968066109,0,0,0,0,0,0,0,0
89,1762968066227,0,0,0,0,0,0,0,0
90,1762968066442,0,0,0,0,0,0,0,0
91,1762968066559,0,0,0,0,0,0,0,0
92,1762968066659,0,0,0,0,0,0,0,0
93,1762968066992,0,0,0,0,0,0,0,0
94,1762968067093,0,0,0,0,0,0,0,0
95,1762968067208,0,0,0,0,0,0,0,0
96,1762968067324,0,0,0,0,0,0,0,0
97,1762968067425,0,0,0,0,0,0,0,0
98,1762968067541,0,0,0,0,0,0,0,0
99,1762968067658,0,0,0,0,0,0,0,0
100,1762968067758,0,0,0,0,0,0,0,0
101,1762968067858,0,0,0,0,0,0,0,0
102,1762968067991,0,0,0,0,0,0,0,0
103,1762968068075,0,0,0,0,0,0,0,0
104,1762968068207,0,0,0,0,0,0,0,0
105,1762968068325,0,0,0,0,0,0,0,0
106,1762968068425,0,0,0,0,0,0,0,0
107,1762968068525,0,0,0,0,0,0,0,0
108,1762968068641,0,0,0,0,0,0,0,0
109,1762968068740,0,0,0,0,0,0,0,0
110,1762968068857,0,0,0,0,0,0,0,0
111,1762968068957,0,0,0,0,0,0,0,0
112,1762968069074,0,0,0,0,0,0,0,0
113,1762968069190,0,0,0,0,0,0,0,0
114,1762968069306,0,0,0,0,0,0,0,0
115,1762968069406,0,0,0,0,0,0,0,0
116,1762968069523,0,0,0,0,0,0,0,0
117,1762968069624,0,0,0,0,0,0,0,0
118,1762968069740,0,0,0,0,0,0,0,0
119,1762968069856,0,0,0,0,0,0,0,0
120,1762968070074,0,0,0,0,0,0,0,0
121,1762968070173,0,0,0,0,0,0,0,0
122,1762968070289,0,0,0,0,0,0,0,0
123,1762968070406,0,0,0,0,0,0,0,0
124,1762968070506,0,0,0,0,0,0,0,0
125,1762968070622,0,0,0,0,0,0,0,0
126,1762968070723,0,0,0,0,0,0,0,0
127,1762968070839,0,0,0,0,0,0,0,0
128,1762968070939,0,0,0,0,0,0,0,0
129,1762968071055,0,0,0,0,0,0,0,0
130,1762968071155,0,0,0,0,0,0,0,0
131,1762968071272,0,0,0,0,0,0,0,0
132,1762968071389,0,0,0,0,0,0,0,0
133,1762968071506,0,0,0,0,0,0,0,0
134,1762968071605,0,0,0,0,0,0,0,0
135,1762968071722,0,0,0,0,0,0,0,0
136,1762968071822,0,0,0,0,0,0,0,0
137,1762968071938,0,0,0,0,0,0,0,0
138,1762968072054,0,0,0,0,0,0,0,0
139,1762968072154,0,0,0,0,0,0,0,0
140,1762968072271,0,0,0,0,0,0,0,0
141,1762968072370,0,0,0,0,0,0,0,0
142,1762968072488,0,0,0,0,0,0,0,0
143,1762968072588,0,0,0,0,0,0,0,0
144,1762968072705,0,0,0,0,0,0,0,0
145,1762968072937,0,0,0,0,0,0,0,0
146,1762968073038,0,0,0,0,0,0,0,0
147,1762968073254,0,0,0,0,0,0,0,0
148,1762968073370,0,0,0,0,0,0,0,0
149,1762968073470,0,0,0,0,0,0,0,0
150,1762968073604,0,0,0,0,0,0,0,0
151,1762968073737,0,0,0,0,0,0,0,0
152,1762968073821,0,0,0,0,0,0,0,0
153,1762968073904,0,0,0,0,0,0,0,0
154,1762968074021,0,0,0,0,0,0,0,0
155,1762968074136,0,0,0,0,0,0,0,0
156,1762968074270,0,0,0,0,0,0,0,0
157,1762968074370,0,0,0,0,0,0,0,0
158,1762968074470,0,0,0,0,0,0,0,0
159,1762968074586,0,0,0,0,0,0,0,0
