index,date,SPEED_AVG,STEERING_WHEEL,THROTTLE,BRAKE,5,6,7,8
0,1762968053687,0,0,0,0,0,0,0,0
1,1762968053769,0,0,0,0,0,0,0,0
2,1762968053869,0,0,0,0,0,0,0,0
3,1762968053969,0,0,0,0,0,0,0,0
4,1762968054086,0,0,0,0,0,0,0,0
5,1762968054203,0,0,0,0,0,0,0,0
6,1762968054319,0,0,0,0,0,0,0,0
7,1762968054419,0,0,0,0,0,0,0,0
8,1762968054537,0,0,0,0,0,0,0,0
9,1762968054686,0,0,0,0,0,0,0,0
10,1762968054869,0,0,0,0,0,0,0,0
11,1762968054969,0,0,0,0,0,0,0,0
12,1762968055086,0,0,0,0,0,0,0,0
13,1762968055185,0,0,0,0,0,0,0,0
14,1762968055418,0,0,0,0,0,0,0,0
15,1762968055552,0,0,0,0,0,0,0,0
16,1762968056068,0,0,0,0,0,0,0,0
17,1762968056334,0,0,0,0,0,0,0,0
18,1762968056418,0,0,0,0,0,0,0,0
19,1762968056651,0,0,0,0,0,0,0,0
20,1762968056850,0,0,0,0,0,0,0,0
21,1762968056950,0,0,0,0,0,0,0,0
22,1762968057067,0,0,0,0,0,0,0,0
23,1762968057167,0,0,0,0,0,0,0,0
24,1762968057283,0,0,0,0,0,0,0,0
25,1762968057383,0,0,0,0,0,0,0,0
26,1762968057516,0,0,0,0,0,0,0,0
27,1762968057650,0,0,0,0,0,0,0,0
28,1762968057717,0,0,0,0,0,0,0,0
29,1762968057833,0,0,0,0,0,0,0,0
30,1762968057949,0,0,0,0,0,0,0,0
31,1762968058049,0,0,0,0,0,0,0,0
32,1762968058166,0,0,0,0,0,0,0,0
33,1762968058399,0,0,0,0,0,0,0,0
34,1762968058499,0,0,0,0,0,0,0,0
35,1762968058716,0,0,0,0,0,0,0,0
36,1762968058816,0,0,0,0,0,0,0,0
37,1762968059032,0,0,0,0,0,0,0,0
38,1762968059148,0,0,0,0,0,0,0,0
39,1762968059265,0,0,0,0,0,0,0,0
40,1762968059382,0,0,0,0,0,0,0,0
41,1762968059582,0,0,0,0,0,0,0,0
42,1762968059732,0,0,0,0,0,0,0,0
43,1762968060031,0,0,0,0,0,0,0,0
44,1762968060131,0,0,0,0,0,0,0,0
45,1762968060247,0,0,0,0,0,0,0,0
46,1762968060497,0,0,0,0,0,0,0,0
47,1762968060582,0,0,0,0,0,0,0,0
48,1762968060797,0,0,0,0,0,0,0,0
49,1762968061013,0,0,0,0,0,0,0,0
50,1762968061230,0,0,0,0,0,0,0,0
51,1762968061347,0,0,0,0,0,0,0,0
52,1762968061463,0,0,0,0,0,0,0,0
53,1762968061713,0,0,0,0,0,0,0,0
54,1762968061797,0,0,0,0,0,0,0,0
55,1762968061896,0,0,0,0,0,0,0,0
56,1762968062013,0,0,0,0,0,0,0,0
57,1762968062129,0,0,0,0,0,0,0,0
58,1762968062230,0,0,0,0,0,0,0,0
59,1762968062346,0,0,0,0,0,0,0,0
60,1762968062895,0,0,0,0,0,0,0,0
61,1762968062995,0,0,0,0,0,0,0,0
62,1762968063212,0,0,0,0,0,0,0,0
63,1762968063346,0,0,0,0,0,0,0,0
64,1762968063428,0,0,0,0,0,0,0,0
65,1762968063562,0,0,0,0,0,0,0,0
66,1762968063661,0,0,0,0,0,0,0,0
67,1762968063778,0,0,0,0,0,0,0,0
68,1762968063878,0,0,0,0,0,0,0,0
69,1762968063995,0,0,0,0,0,0,0,0
70,1762968064096,0,0,0,0,0,0,0,0
71,1762968064211,0,0,0,0,0,0,0,0
72,1762968064327,0,0,0,0,0,0,0,0
73,1762968064427,0,0,0,0,0,0,0,0
74,1762968064546,0,0,0,0,0,0,0,0
75,1762968064644,0,0,0,0,0,0,0,0
76,1762968064762,0,0,0,0,0,0,0,0
77,1762968064860,0,0,0,0,0,0,0,0
78,1762968064977,0,0,0,0,0,0,0,0
79,1762968065077,0,0,0,0,0,0,0,0
80,1762968065211,0,0,0,0,0,0,0,0
81,1762968065310,0,0,0,0,0,0,0,0
82,1762968065427,0,0,0,0,0,0,0,0
83,1762968065527,0,0,0,0,0,0,0,0
84,1762968065647,0,0,0,0,0,0,0,0
85,1762968065760,0,0,0,0,0,0,0,0
86,1762968065860,0,0,0,0,0,0,0,0
87,1762968065977,0,0,0,0,0,0,0,0
88,1762968066077,0,0,0,0,0,0,0,0
89,1762968066192,0,0,0,0,0,0,0,0
90,1762968066325,0,0,0,0,0,0,0,0
91,1762968066409,0,0,0,0,0,0,0,0
92,1762968066509,0,0,0,0,0,0,0,0
93,1762968066626,0,0,0,0,0,0,0,0
94,1762968066743,0,0,0,0,0,0,0,0
95,1762968066858,0,0,0,0,0,0,0,0
96,1762968066958,0,0,0,0,0,0,0,0
97,1762968067058,0,0,0,0,0,0,0,0
98,1762968067176,0,0,0,0,0,0,0,0
99,1762968067291,0,0,0,0,0,0,0,0
100,1762968067408,0,0,0,0,0,0,0,0
101,1762968067508,0,0,0,0,0,0,0,0
102,1762968067624,0,0,0,0,0,0,0,0
103,1762968067742,0,0,0,0,0,0,0,0
104,1762968067842,0,0,0,0,0,0,0,0
105,1762968067958,0,0,0,0,0,0,0,0
106,1762968068059,0,0,0,0,0,0,0,0
107,1762968068174,0,0,0,0,0,0,0,0
108,1762968068291,0,0,0,0,0,0,0,0
109,1762968068393,0,0,0,0,0,0,0,0
