Data/Hora,Variavel,Arquivo,Valor Atingido,Condicao,Descricao
2026-06-27 16:56:35,GVL,AIR_GVL_CURRENT,10.960000000000001,Menor que 13.000000,
2026-06-27 17:07:22,GVL,AIR_GVL_CURRENT,12.800000000000001,Menor que 13.000000,
2026-06-27 17:14:56,MIN_CELL_VOLTAGE,ACCUMULATOR_PARAMS,2.48,Menor que 2.500000,
