index,date,LEFT_MOTOR_CURRENT
515,1782590282639,0
516,1782590284637,0
517,1782590286535,0
518,1782590288401,0
519,1782590290665,0
520,1782590291598,0
521,1782590292031,0
522,1782590292247,0
523,1782590292531,0
524,1782590293180,0
525,1782590293613,0
526,1782590294312,0
527,1782590294545,0
528,1782590294845,0
529,1782590295654,0
530,1782590295811,0
531,1782590296210,0
532,1782590297693,0
533,1782590298775,0
534,1782590299541,0
535,1782590299774,0
536,1782590300341,0
537,1782590302639,0
538,1782590303305,0
539,1782590304037,0
540,1782590304703,0
541,1782590305420,0
542,1782590307335,0
543,1782590307368,0
544,1782590307701,0
545,1782590308376,0
546,1782590308384,0
547,1782590309150,0
548,1782590309501,0
549,1782590309833,0
550,1782590310416,0
551,1782590310965,0
552,1782590311282,0
553,1782590311581,0
554,1782590315111,0
555,1782590315511,0
556,1782590315662,0
557,1782590315961,0
558,1782590316293,0
559,1782590316694,0
560,1782590318475,0
561,1782590322605,1
562,1782590322856,1
563,1782590323687,880
564,1782590324021,898
565,1782590325402,1274
566,1782590325902,1318
567,1782590326336,1354
568,1782590327218,1367
569,1782590327950,1322
570,1782590328151,1333
571,1782590329150,1030
572,1782590329549,1031
573,1782590331314,1032
574,1782590332330,1034
575,1782590333263,1032
576,1782590334296,1032
577,1782590336860,1032
578,1782590337609,1034
579,1782590338758,1039
580,1782590339175,1026
581,1782590339741,1125
582,1782590341473,1053
583,1782590344120,1127
584,1782590345702,1036
585,1782590346351,1038
586,1782590348333,1040
587,1782590349332,1024
588,1782590349632,1037
589,1782590349916,1041
590,1782590350914,1034
591,1782590353196,1030
592,1782590354196,1033
593,1782590354446,1031
594,1782590354645,1034
595,1782590355028,1032
596,1782590356426,1043
597,1782590357276,1053
598,1782590357959,1030
599,1782590358942,1263
600,1782590359291,1107
601,1782590359874,8
602,1782590360523,1
603,1782590361556,551
604,1782590362072,64500
605,1782590362554,64506
606,1782590363471,64508
607,1782590364737,64510
608,1782590365802,1164
609,1782590367384,0
610,1782590368433,0
611,1782590368866,0
612,1782590369066,0
613,1782590369299,0
614,1782590370431,3
615,1782590371531,826
616,1782590371630,281
617,1782590372313,0
618,1782590372763,0
619,1782590373362,16448
