index,date,ACCEL_FL,ACCEL_FR,ACCEL_RL,ACCEL_RR
0,1782589765928,2,0,0,16386
1,1782589766340,2,0,0,16386
2,1782589767056,2,0,0,16386
3,1782589767406,2,0,0,16386
4,1782589767723,2,0,0,16386
5,1782589768022,2,0,0,16386
6,1782589768971,2,0,0,16386
7,1782589769171,2,0,0,16386
8,1782589769554,2,0,0,16386
9,1782589769887,2,0,0,16386
10,1782589772185,2,0,0,16386
11,1782589772552,2,0,0,16386
12,1782589772951,2,0,0,16386
13,1782589774067,2,0,0,16386
14,1782589777614,2,0,0,16386
15,1782589777963,2,0,0,16386
16,1782589778881,2,0,0,16386
17,1782589779195,2,0,0,16386
18,1782589781244,2,0,0,16386
19,1782589781510,2,0,0,16386
20,1782589781777,2,0,0,16386
21,1782589782094,2,0,0,16386
22,1782589782360,2,0,0,16386
23,1782589782594,2,0,0,16386
24,1782589782842,2,0,0,16386
25,1782589783159,2,0,0,16386
26,1782589787506,2,0,0,16386
27,1782589787872,2,0,0,16386
28,1782589788255,2,0,0,16386
29,1782589788421,2,0,0,16386
30,1782589788671,2,0,0,16386
31,1782589789005,2,0,0,16386
32,1782589789304,2,0,0,16386
33,1782589790004,2,0,0,16386
34,1782589791169,2,0,0,16386
35,1782589795582,2,0,0,16386
36,1782589796132,2,0,0,16386
37,1782589796581,2,0,0,16386
38,1782589798496,2,0,0,16386
39,1782589799213,2,0,0,16386
40,1782589800212,2,0,0,16386
41,1782589800595,2,0,0,16386
42,1782589800694,2,0,0,16386
43,1782589801111,2,0,0,16386
44,1782589801711,2,0,0,16386
45,1782589802077,2,0,0,16386
46,1782589802709,2,0,0,16386
47,1782589803576,2,0,0,16386
48,1782589804043,2,0,0,16386
49,1782589804608,2,0,0,16386
50,1782589805042,2,0,0,16386
51,1782589805490,2,0,0,16386
52,1782589805907,2,0,0,16386
53,1782589807255,2,0,0,16386
54,1782589808088,2,0,0,16386
55,1782589809021,2,0,0,16386
56,1782589809437,2,0,0,16386
57,1782589811202,2,0,0,16386
58,1782589811602,2,0,0,16386
59,1782589812235,2,0,0,16386
60,1782589812685,2,0,0,16386
61,1782589812767,2,0,0,16386
62,1782589813185,2,0,0,16386
