index,date,SET_POINT_LONGITUDINAL,SET_POINT_LATERAL
0,1782589765926,0,0
1,1782589765926,0,0
2,1782589765926,0,0
3,1782589765927,0,0
4,1782589766723,0,0
5,1782589770286,0,0
6,1782589770637,0,0
7,1782589771502,0,0
8,1782589771786,0,0
9,1782589773317,0,0
10,1782589773634,0,0
11,1782589775199,0,0
12,1782589775516,0,0
13,1782589776398,0,0
14,1782589776665,0,0
15,1782589778431,0,0
16,1782589779845,0,0
17,1782589780478,0,0
18,1782589780745,0,0
19,1782589783675,0,0
20,1782589783909,0,0
21,1782589784225,0,0
22,1782589784408,0,0
23,1782589784741,0,0
24,1782589785391,0,0
25,1782589785723,0,0
26,1782589785957,0,0
27,1782589786140,0,0
28,1782589786457,0,0
29,1782589786806,0,0
30,1782589787172,0,0
31,1782589787473,0,0
32,1782589790070,0,0
33,1782589790419,0,0
34,1782589790703,0,0
35,1782589791535,0,0
36,1782589791886,0,0
37,1782589792218,0,0
38,1782589792535,0,0
39,1782589792767,0,0
40,1782589793168,0,0
41,1782589793317,0,0
42,1782589793567,0,0
43,1782589794200,0,0
44,1782589794549,0,0
45,1782589794833,0,0
46,1782589795184,0,0
47,1782589795999,0,0
48,1782589796664,0,0
49,1782589797081,0,0
50,1782589797664,0,0
51,1782589798097,0,0
52,1782589798612,0,0
53,1782589799696,0,0
54,1782589801610,0,0
55,1782589802160,0,0
56,1782589802643,0,0
57,1782589803126,0,0
58,1782589803525,0,0
59,1782589804109,0,0
60,1782589804558,0,0
61,1782589805107,0,0
62,1782589806357,0,0
63,1782589806756,0,0
64,1782589807289,0,0
65,1782589807689,0,0
66,1782589808588,0,0
67,1782589809487,0,0
68,1782589809919,0,0
69,1782589810253,0,0
70,1782589810720,0,0
71,1782589811686,0,0
72,1782589813301,0,0
73,1782589813751,0,0
74,1782589814334,0,0
75,1782589814799,0,0
76,1782589815249,0,0
77,1782589816298,0,0
78,1782589817280,0,0
79,1782589817797,0,0
80,1782589818213,0,0
81,1782589818846,0,0
82,1782589819313,0,0
83,1782589820728,0,0
84,1782589821244,0,0
85,1782589821777,0,0
86,1782589822226,0,0
87,1782589822393,0,0
88,1782589822742,0,0
89,1782589823776,0,0
90,1782589824691,0,0
91,1782589825357,0,0
92,1782589826406,0,0
93,1782589828304,0,0
94,1782589829320,0,0
95,1782589829637,0,0
96,1782589830253,0,0
97,1782589830836,0,0
98,1782589831852,0,0
99,1782589833169,0,0
100,1782589834151,0,0
101,1782589834999,0,0
102,1782589836399,0,0
103,1782589837881,0,0
104,1782589838880,0,0
105,1782589839178,0,0
106,1782589839812,0,0
107,1782589840828,0,0
108,1782589842343,0,0
109,1782589843459,0,0
110,1782589844425,0,0
111,1782589845107,0,0
112,1782589845724,0,0
113,1782589847756,0,0
114,1782589848770,0,0
115,1782589848988,0,0
116,1782589849220,0,0
117,1782589849637,0,0
118,1782589850220,0,0
