index,date,SPEED_R_MOTOR,TORQUE_R_MOTOR,POWER_R_MOTOR
0,1782589765926,0,0,0
1,1782589765927,0,0,0
2,1782589765927,0,0,0
3,1782589766190,0,0,0
4,1782589766456,0,0,0
5,1782589766539,0,0,0
6,1782589766856,0,0,0
7,1782589767206,0,0,0
8,1782589767540,0,0,0
9,1782589767889,0,0,0
10,1782589769088,0,0,0
11,1782589769322,0,0,0
12,1782589770786,0,0,0
13,1782589771169,0,0,0
14,1782589771985,0,0,0
15,1782589772302,0,0,0
16,1782589772701,0,0,0
17,1782589775316,0,0,0
18,1782589775582,0,0,0
19,1782589775965,0,0,0
20,1782589776215,0,0,0
21,1782589776748,0,0,0
22,1782589777181,0,0,0
23,1782589777414,0,0,0
24,1782589777730,0,0,0
25,1782589781877,0,0,0
26,1782589782443,0,0,0
27,1782589782942,0,0,0
28,1782589783293,0,0,0
29,1782589783475,0,0,0
30,1782589785207,0,0,0
31,1782589785491,0,0,0
32,1782589786989,0,0,0
33,1782589787256,0,0,0
34,1782589787705,0,0,0
35,1782589788175,0,0,0
36,1782589788538,0,0,0
37,1782589789122,0,0,0
38,1782589795316,1016,65527,0
39,1782589795699,1878,11,0
40,1782589796331,1053,315,4
41,1782589797298,582,1969,15
42,1782589798862,0,0,0
43,1782589799928,0,0,0
44,1782589800829,0,0,0
45,1782589801427,0,0,0
46,1782589801828,0,0,0
47,1782589802826,0,0,0
48,1782589803725,0,0,0
49,1782589804724,0,0,0
50,1782589805590,0,0,0
51,1782589806574,0,0,0
52,1782589808721,0,0,0
53,1782589809171,0,0,0
54,1782589810239,0,0,0
55,1782589810886,0,0,0
56,1782589811286,0,0,0
57,1782589812351,0,0,0
58,1782589812884,0,0,0
59,1782589813900,0,0,0
60,1782589814966,0,0,0
61,1782589815448,0,0,0
62,1782589815899,0,0,0
63,1782589816514,0,0,0
64,1782589818463,0,0,0
65,1782589819062,0,0,0
66,1782589819496,0,0,0
67,1782589820045,0,0,0
68,1782589820396,0,0,0
69,1782589821377,0,0,0
70,1782589822909,0,0,0
71,1782589825540,0,0,0
72,1782589826589,0,0,0
73,1782589827338,0,0,0
74,1782589827572,0,0,0
75,1782589828538,0,0,0
76,1782589829437,0,0,0
77,1782589830054,0,0,0
78,1782589830453,0,0,0
79,1782589831103,0,0,0
80,1782589831486,0,0,0
81,1782589832368,0,0,0
82,1782589833334,0,0,0
83,1782589834266,0,0,0
84,1782589836165,0,0,0
85,1782589836565,0,0,0
86,1782589837447,0,0,0
87,1782589838063,0,0,0
88,1782589838446,0,0,0
89,1782589841012,0,0,0
90,1782589841794,0,0,0
91,1782589841910,0,0,0
92,1782589842625,0,0,0
93,1782589843692,0,0,0
94,1782589844108,0,0,0
95,1782589844224,0,0,0
96,1782589844641,0,0,0
97,1782589845323,0,0,0
98,1782589846356,0,0,0
99,1782589846572,0,0,0
100,1782589846873,0,0,0
101,1782589847889,0,0,0
102,1782589849437,0,0,0
103,1782589849853,0,0,0
104,1782589850903,0,0,0
105,1782589852517,0,0,0
106,1782589853084,0,0,0
107,1782589853916,0,0,0
108,1782589854249,0,0,0
109,1782589855150,0,0,0
110,1782589855765,0,0,0
