index,date,ADDR_CELL_TEMP_MAX,ADDR_STACK_TEMP_MAX,MAX_TEMPERATURE
0,1782590513178,505,3,0.10000000000000001
1,1782590519373,505,3,0.10000000000000001
2,1782590526700,505,3,0.10000000000000001
3,1782590529697,505,3,0.10000000000000001
4,1782590531729,505,3,0.10000000000000001
5,1782590537657,505,3,0.10000000000000001
6,1782590541038,505,3,0.10000000000000001
7,1782590543802,505,3,0.10000000000000001
8,1782590545700,505,3,0.10000000000000001
9,1782590548798,505,3,0.10000000000000001
10,1782590550597,505,3,0.10000000000000001
11,1782591032946,501,3,0.10000000000000001
12,1782591046518,501,3,0.10000000000000001
13,1782591047551,501,3,0.10000000000000001
14,1782591333626,503,3,0.10000000000000001
15,1782591337290,503,3,0.10000000000000001
16,1782591340787,503,3,0.10000000000000001
17,1782591355475,510,3,0.10000000000000001
18,1782591357706,510,3,0.10000000000000001
19,1782591357839,510,3,0.10000000000000001
20,1782591360220,510,3,0.10000000000000001
21,1782591361669,510,3,0.10000000000000001
22,1782591364833,510,3,0.10000000000000001
23,1782591377623,510,3,0.10000000000000001
24,1782592194035,502,3,0.10000000000000001
25,1782592198099,502,3,0.10000000000000001
26,1782592200080,502,3,0.10000000000000001
27,1782592201496,502,3,0.10000000000000001
