index,date,MAX_VOLTAGE,MIN_VOLTAGE,MAX_TEMPERATURE,ACUMULATOR_VOLTAGE
0,1780263789651,0,6.55,0,7870
1,1780263789651,0,6.55,0,7872
2,1780263789668,0,6.55,0,7872
3,1780263845531,0,6.55,0,7918
4,1780263854599,0,6.55,0,7918
5,1780263862563,0,6.55,0,7918
6,1780263876930,0,6.55,0,7917
7,1780263886528,0,6.55,0,7919
8,1780263887695,0,6.55,0,7918
9,1780263905844,0,6.55,0,7918
10,1780263915693,0,6.55,0,7918
11,1780263917227,0,6.55,0,7918
12,1780263927612,0,6.55,0,7918
13,1780263929476,0,6.55,0,7918
14,1780263933059,0,6.55,0,7918
15,1780263941926,0,6.55,0,7918
16,1780263943375,0,6.55,0,7918
17,1780263946759,0,6.55,0,7918
18,1780263948609,0,6.55,0,7918
19,1780263957975,0,6.55,0,7917
20,1780263964574,0,6.55,0,7915
21,1780263971008,0,6.55,0,7914
22,1780263971925,0,6.55,0,7914
23,1780263974673,0,6.55,0,7913
24,1780263977107,0,6.55,0,7913
25,1780263983957,0,6.55,0,7898
26,1780263986923,0,6.55,0,7897
27,1780263991339,0,6.55,0,7897
28,1780264007139,0,6.55,0,7889
29,1780264012289,0,6.55,0,7886
30,1780264014721,0,6.55,0,7885
31,1780264021620,0,6.55,0,7883
32,1780264024138,0,6.55,0,7884
33,1780264030687,0,6.55,0,7883
34,1780264032504,0,6.55,0,7883
35,1780264035020,0,6.55,0,7883
36,1780264044087,0,6.55,0,7884
37,1780264107768,0,6.55,0,7923
38,1780264109966,0,6.55,0,7869
39,1780264110382,0,6.55,0,7869
40,1780264112850,0,6.55,0,7923
41,1780264113633,0,6.55,0,7923
42,1780264121682,0,6.55,0,7923
43,1780264131115,0,6.55,0,7923
44,1780264131615,0,6.55,0,7923
45,1780264133964,0,6.55,0,7923
46,1780264138997,0,6.55,0,7923
47,1780264148398,0,6.55,0,7921
48,1780264152230,0,6.55,0,7921
49,1780264157230,0,6.55,0,7903
