index,date,ALTITUDE,GROUND_SPEED,FIX
0,1780263789650,65144,0,0
1,1780263789650,65146,0,0
2,1780263789651,65154,0,0
3,1780263789651,65148,0,0
4,1780263789651,65145,0,0
5,1780263789651,65145,0,0
6,1780263789651,65151,0,0
7,1780263789668,65140,0,0
8,1780263789668,65142,0,0
9,1780263789668,65147,0,0
10,1780263790935,65107,0,0
11,1780263792033,65099,0,0
12,1780263792517,65095,0,0
13,1780263792735,65095,0,0
14,1780263792851,65097,0,0
15,1780263793217,65091,0,0
16,1780263793968,65097,0,0
17,1780263794467,65103,0,0
18,1780263795817,65097,0,0
19,1780263795867,65097,0,0
20,1780263795901,65103,0,0
21,1780263796267,65091,0,0
22,1780263797134,65095,0,0
23,1780263797218,65105,0,0
24,1780263797534,65101,0,0
25,1780263797833,65091,0,0
26,1780263801850,65099,0,0
27,1780263801883,65105,0,0
28,1780263802350,65109,0,0
29,1780263805467,65088,0,0
30,1780263805966,65093,0,0
31,1780263806699,65093,0,0
32,1780263806832,65093,0,0
33,1780263806867,65101,0,0
34,1780263808617,65101,0,0
35,1780263810117,65095,0,0
36,1780263812267,65095,0,0
37,1780263813083,65086,0,0
38,1780263815065,65091,0,0
39,1780263815799,65095,0,0
40,1780263816783,65086,0,0
41,1780263817482,65091,0,0
42,1780263818049,65101,0,0
43,1780263818215,65099,0,0
44,1780263818365,65088,0,0
45,1780263818449,65091,0,0
46,1780263818499,65095,0,0
47,1780263818716,65086,0,0
48,1780263821166,65088,0,0
49,1780263823099,65091,0,0
50,1780263823798,65097,0,0
51,1780263824415,65088,0,0
52,1780263825032,65088,0,0
53,1780263825066,65088,0,0
54,1780263826132,65086,0,0
55,1780263826699,65088,0,0
56,1780263827233,65097,0,0
57,1780263827649,65091,0,0
58,1780263827932,65097,0,0
59,1780263828016,65083,0,0
60,1780263828183,0,0,65085
61,1780263828433,65091,0,0
62,1780263829232,65102,0,0
63,1780263829365,65083,0,0
64,1780263830049,65084,0,0
65,1780263831415,65080,0,0
66,1780263831615,65083,0,0
67,1780263831866,65078,0,0
68,1780263832031,65089,0,0
69,1780263832648,65083,0,0
70,1780263833233,65088,0,0
71,1780263833981,65089,0,0
72,1780263834881,65085,0,0
73,1780263835232,65073,0,0
74,1780263838998,65088,0,0
75,1780263839165,65082,0,0
76,1780263839282,65092,0,0
77,1780263839914,65086,0,0
78,1780263840798,65086,0,0
79,1780263841149,65080,0,0
80,1780263841431,65084,0,0
81,1780263841631,65080,0,0
82,1780263841797,65088,0,0
83,1780263842415,65079,0,0
84,1780263844632,65080,0,0
85,1780263845298,65078,0,0
86,1780263846065,65080,0,0
87,1780263847148,65080,0,0
88,1780263847348,65074,0,0
89,1780263848265,65074,0,0
90,1780263848748,65074,0,0
91,1780263848999,65076,0,0
92,1780263849081,65076,0,0
93,1780263849498,65074,0,0
94,1780263849682,65074,0,0
95,1780263850548,65072,0,0
96,1780263853680,65079,0,0
97,1780263854464,65080,0,0
98,1780263855930,65072,0,0
99,1780263856514,65066,0,0
100,1780263856897,65076,0,0
101,1780263858431,65074,0,0
