index,date,MODE
0,1780263789651,2
1,1780263789651,2
2,1780263789668,2
3,1780263845215,1
4,1780263845598,1
5,1780263851531,1
6,1780263853732,1
7,1780263867696,1
8,1780263868832,1
9,1780263869781,1
10,1780263873913,1
11,1780263878863,1
12,1780263890162,1
13,1780263906128,1
14,1780263912145,1
15,1780263923076,1
16,1780263925478,1
17,1780263936562,1
18,1780263946175,1
19,1780263969491,1
20,1780263982473,1
21,1780263983224,1
22,1780263987423,1
23,1780263998306,1
24,1780263999139,1
25,1780264004005,1
26,1780264014323,1
27,1780264015055,1
28,1780264018188,1
29,1780264028138,1
30,1780264032054,1
31,1780264032753,1
32,1780264035270,1
33,1780264056253,1
34,1780264113349,1
35,1780264116232,1
36,1780264117883,1
37,1780264122382,1
38,1780264135532,1
39,1780264141599,1
40,1780264148480,1
41,1780264164247,1
