index,date,SPEED,STEERING_WHEEL,THROTTLE,BRAKE
0,1780263789650,0,0,0,0
1,1780263789651,0,0,0,0
2,1780263789651,0,0,0,0
3,1780263789651,0,0,0,0
4,1780263789651,0,0,0,0
5,1780263789651,0,0,0,0
6,1780263789668,0,0,0,0
7,1780263790967,0,0,0,0
8,1780263792886,0,0,0,0
9,1780263792968,0,0,0,0
10,1780263797250,0,0,0,0
11,1780263797617,0,0,0,0
12,1780263798433,0,0,0,0
13,1780263798833,0,0,0,0
14,1780263799567,0,0,0,0
15,1780263800619,0,0,0,0
16,1780263801150,0,0,0,0
17,1780263802650,0,0,0,0
18,1780263803400,0,0,0,0
19,1780263805800,0,0,0,0
20,1780263807133,0,0,0,0
21,1780263807382,0,0,0,0
22,1780263807816,0,0,0,0
23,1780263809567,0,0,0,0
24,1780263810199,0,0,0,0
25,1780263811283,0,0,0,0
26,1780263811800,0,0,0,0
27,1780263811966,0,0,0,0
28,1780263813782,0,0,0,0
29,1780263814083,0,0,0,0
30,1780263814332,0,0,0,0
31,1780263814985,0,0,0,0
32,1780263816116,0,0,0,0
33,1780263816568,0,0,0,0
34,1780263818267,0,0,0,0
35,1780263818616,0,0,0,0
36,1780263818967,0,0,0,0
37,1780263819999,0,0,0,0
38,1780263820799,0,0,0,0
39,1780263822882,0,0,0,0
40,1780263823549,0,0,0,0
41,1780263828131,0,0,0,0
42,1780263828632,0,0,0,0
43,1780263832482,0,0,0,0
44,1780263832599,0,0,0,0
45,1780263834332,0,0,0,0
46,1780263836948,0,0,0,0
47,1780263837483,0,0,0,0
48,1780263838348,0,0,0,0
49,1780263838582,0,0,0,0
50,1780263838915,0,0,0,0
51,1780263839248,0,0,0,0
52,1780263844682,0,0,0,0
53,1780263845447,0,0,0,0
54,1780263845681,0,0,0,0
55,1780263847015,0,0,0,0
56,1780263847314,0,0,0,0
57,1780263851380,0,0,0,0
58,1780263853764,0,0,0,0
59,1780263854347,0,0,0,0
60,1780263854797,0,0,0,0
61,1780263855081,0,0,0,0
62,1780263857563,0,0,0,0
63,1780263858131,0,0,0,0
64,1780263859081,0,0,0,0
65,1780263860363,0,0,0,0
66,1780263861546,0,0,0,0
67,1780263862781,0,0,0,0
68,1780263863148,0,0,0,0
69,1780263865880,0,0,0,0
70,1780263866631,0,0,0,0
71,1780263867197,0,0,0,0
72,1780263867880,0,0,0,0
73,1780263868430,0,0,0,0
74,1780263868547,0,0,0,0
75,1780263869746,0,0,0,0
76,1780263869996,0,0,0,0
77,1780263870779,0,0,0,0
78,1780263871030,0,0,0,0
79,1780263871113,0,0,0,0
80,1780263871514,0,0,0,0
81,1780263872013,0,0,0,0
82,1780263872596,0,0,0,0
83,1780263872796,0,0,0,0
