index,date,ERROR_MASK,ERROR_LOG_1,ERROR_LOG_2,ERROR_LOG_3
0,1780263849331,0,0,0,0
1,1780263851497,0,0,0,0
2,1780263858464,0,0,0,0
3,1780263864263,0,0,0,0
4,1780263867279,0,0,0,0
5,1780263883030,0,0,0,0
6,1780263889045,0,0,0,0
7,1780263891695,0,0,0,0
8,1780263897845,0,0,0,0
9,1780263898412,0,0,0,0
10,1780263900645,0,0,0,0
11,1780263902011,0,0,0,0
12,1780263906828,0,0,0,0
13,1780263911279,0,0,0,0
14,1780263917261,0,0,0,0
15,1780263919326,0,0,0,0
16,1780263922343,0,0,0,0
17,1780263941275,0,0,0,0
18,1780263943960,0,0,0,0
19,1780263950342,0,0,0,0
20,1780263954724,0,0,0,0
21,1780263985973,0,0,0,0
22,1780263989726,0,0,0,0
23,1780263996123,0,0,0,0
24,1780264006722,0,0,0,0
25,1780264020087,0,0,0,0
26,1780264022521,0,0,0,0
27,1780264023670,0,0,0,0
28,1780264024954,0,0,0,0
29,1780264041620,0,0,0,0
30,1780264057969,0,0,0,0
31,1780264107816,0,0,0,0
32,1780264109016,0,0,0,0
33,1780264122332,0,0,0,0
34,1780264123815,0,0,0,0
35,1780264132732,0,0,0,0
36,1780264134466,0,0,0,0
37,1780264134748,0,0,0,0
38,1780264139032,0,0,0,0
39,1780264141515,0,0,0,0
40,1780264144981,0,0,0,0
41,1780264148448,0,0,0,0
42,1780264149097,0,0,0,0
43,1780264149631,0,0,0,0
44,1780264154264,0,0,0,0
45,1780264156447,0,0,0,0
46,1780264158830,0,0,0,0
47,1780264159163,0,0,0,0
48,1780264164196,0,0,0,0
