index,date,TEMPERATURE,1,2,3,4,5,6,7
0,1765902320520,281,0,0,0,0,0,0,0
1,1765902320568,281,0,0,0,0,0,0,0
2,1765902321003,278,0,0,0,0,0,0,0
3,1765902321635,272,0,0,0,0,0,0,0
4,1765902321885,275,0,0,0,0,0,0,0
5,1765902328553,291,0,0,0,0,0,0,0
6,1765902328752,291,0,0,0,0,0,0,0
7,1765902329235,297,0,0,0,0,0,0,0
8,1765902330335,295,0,0,0,0,0,0,0
9,1765902330753,286,0,0,0,0,0,0,0
10,1765902331252,297,0,0,0,0,0,0,0
11,1765902331368,287,0,0,0,0,0,0,0
12,1765902331600,291,0,0,0,0,0,0,0
13,1765902332302,293,0,0,0,0,0,0,0
14,1765902332618,289,0,0,0,0,0,0,0
15,1765902332785,299,0,0,0,0,0,0,0
16,1765902333217,288,0,0,0,0,0,0,0
17,1765902333419,299,0,0,0,0,0,0,0
18,1765902334235,301,0,0,0,0,0,0,0
19,1765902335835,279,0,0,0,0,0,0,0
20,1765902336752,293,0,0,0,0,0,0,0
21,1765902337252,297,0,0,0,0,0,0,0
22,1765902337634,295,0,0,0,0,0,0,0
23,1765902337818,283,0,0,0,0,0,0,0
24,1765902338168,289,0,0,0,0,0,0,0
25,1765902339468,275,0,0,0,0,0,0,0
26,1765902341619,293,0,0,0,0,0,0,0
27,1765902343201,295,0,0,0,0,0,0,0
28,1765902345885,293,0,0,0,0,0,0,0
29,1765902346217,283,0,0,0,0,0,0,0
30,1765902347168,287,0,0,0,0,0,0,0
31,1765902347952,283,0,0,0,0,0,0,0
32,1765902351252,299,0,0,0,0,0,0,0
33,1765902351525,289,0,0,0,0,0,0,0
34,1765902355284,293,0,0,0,0,0,0,0
35,1765902360587,315,0,0,0,0,0,0,0
36,1765902360835,301,0,0,0,0,0,0,0
37,1765902361316,293,0,0,0,0,0,0,0
38,1765902361501,307,0,0,0,0,0,0,0
39,1765902361786,295,0,0,0,0,0,0,0
40,1765902362719,302,0,0,0,0,0,0,0
41,1765902362951,316,0,0,0,0,0,0,0
42,1765902363501,295,0,0,0,0,0,0,0
43,1765902364518,312,0,0,0,0,0,0,0
44,1765902364753,299,0,0,0,0,0,0,0
45,1765902365068,319,0,0,0,0,0,0,0
46,1765902365419,304,0,0,0,0,0,0,0
47,1765902365784,301,0,0,0,0,0,0,0
48,1765902367585,315,0,0,0,0,0,0,0
49,1765902368068,307,0,0,0,0,0,0,0
50,1765902369467,315,0,0,0,0,0,0,0
51,1765902370301,318,0,0,0,0,0,0,0
52,1765902371418,318,0,0,0,0,0,0,0
53,1765902372202,318,0,0,0,0,0,0,0
54,1765902373501,324,0,0,0,0,0,0,0
55,1765902374735,320,0,0,0,0,0,0,0
56,1765902375785,314,0,0,0,0,0,0,0
57,1765902377834,320,0,0,0,0,0,0,0
58,1765902379185,322,0,0,0,0,0,0,0
59,1765902379452,322,0,0,0,0,0,0,0
60,1765902379767,320,0,0,0,0,0,0,0
61,1765902381068,326,0,0,0,0,0,0,0
62,1765902383786,316,0,0,0,0,0,0,0
63,1765902386202,314,0,0,0,0,0,0,0
64,1765902386603,326,0,0,0,0,0,0,0
65,1765902387403,322,0,0,0,0,0,0,0
66,1765902387635,330,0,0,0,0,0,0,0
67,1765902387952,326,0,0,0,0,0,0,0
68,1765902388468,328,0,0,0,0,0,0,0
69,1765902388684,326,0,0,0,0,0,0,0
70,1765902388901,328,0,0,0,0,0,0,0
71,1765902389217,330,0,0,0,0,0,0,0
72,1765902389403,322,0,0,0,0,0,0,0
73,1765902389653,328,0,0,0,0,0,0,0
74,1765902389721,318,0,0,0,0,0,0,0
75,1765902390619,324,0,0,0,0,0,0,0
76,1765902390836,328,0,0,0,0,0,0,0
77,1765902390949,328,0,0,0,0,0,0,0
78,1765902392201,316,0,0,0,0,0,0,0
79,1765902392484,322,0,0,0,0,0,0,0
80,1765902392851,11614,0,0,0,0,0,0,0
81,1765902394468,320,0,0,0,0,0,0,0
82,1765902395070,314,0,0,0,0,0,0,0
83,1765902395235,312,0,0,0,0,0,0,0
84,1765902395519,322,0,0,0,0,0,0,0
85,1765902395735,322,0,0,0,0,0,0,0
86,1765902395968,318,0,0,0,0,0,0,0
87,1765902396119,320,0,0,0,0,0,0,0
88,1765902396368,318,0,0,0,0,0,0,0
89,1765902397902,326,0,0,0,0,0,0,0
90,1765902400701,328,0,0,0,0,0,0,0
91,1765902402535,328,0,0,0,0,0,0,0
92,1765902402969,320,0,0,0,0,0,0,0
