index,date,REGEN_BRAKE_STATE,2,3,4,5,6,7,8
0,1762969984559,0,0,0,0,0,0,0,0
1,1762969984693,0,65529,0,0,0,0,0,0
2,1762969985092,0,3.32,3.32,3.31,0,0,0,0
3,1762969985158,0,0,0,0,0,0,0,0
4,1762969985225,0,0,0,0,0,0,0,0
5,1762969985309,0,0,0,0,0,0,0,0
6,1762969985441,0,3.32,3.32,3.31,0,0,0,0
7,1762969985659,0,0,0,0,0,0,0,0
8,1762969985792,0,0,0,0,0,0,0,0
9,1762969985909,0,0,0,0,0,0,0,0
10,1762969986007,0,0,0,0,0,0,0,0
11,1762969986091,0,0,0,0,0,0,0,0
12,1762969986207,0,0,0,0,0,0,0,0
13,1762969986308,0,0,0,0,0,0,0,0
14,1762969986424,0,0,0,0,0,0,0,0
15,1762969986525,0,0,0,0,0,0,0,0
16,1762969986641,0,0,0,0,0,0,0,0
17,1762969986740,0,0,0,0,0,0,0,0
18,1762969987040,0,0,0,0,0,0,0,0
19,1762969987124,0,0,0,0,0,0,0,0
20,1762969987208,0,65529,65535,0,0,0,0,0
21,1762969987308,0,0,0,0,0,0,0,0
22,1762969987457,0,0,0,0,0,0,0,0
23,1762969987591,0,0,0,0,0,0,0,0
24,1762969987641,0,0,0,0,0,0,0,0
25,1762969987790,0,0,0,0,0,0,0,0
26,1762969987957,0,0,0,0,0,0,0,0
27,1762969988106,0,0,0,0,0,0,0,0
28,1762969988291,0,0,0,0,0,0,0,0
29,1762969988406,0,0,0,0,0,0,0,0
30,1762969988522,0,0,0,0,0,0,0,0
31,1762969988624,0,3.32,3.32,3.31,0,0,0,0
32,1762969988741,0,0,0,0,0,0,0,0
33,1762969988972,0,0,0,0,0,0,0,0
34,1762969989172,0,0,0,0,0,0,0,0
35,1762969989273,0,0,0,0,0,0,0,0
36,1762969989388,0,0,0,0,0,0,0,0
37,1762969989505,0,0,0,0,0,0,0,0
38,1762969989605,0,0,0,0,0,0,0,0
39,1762969989805,0,0,0,0,0,0,0,0
40,1762969990038,0,0,0,0,0,0,0,0
41,1762969990171,0,65529,65535,0,0,0,0,0
42,1762969990272,0,0,0,0,0,0,0,0
43,1762969990390,0,0,0,0,0,0,0,0
