index,date,LOST_MSG_R_MOTOR,BUS_OFF_R_MOTOR,CAN_STATE_R_MOTOR,1,2,3,4,5
0,1762969984593,0,0,2,0,0,0,0,0
1,1762969984759,0,0,2,0,0,0,0,0
2,1762969984893,0,0,2,0,0,0,0,0
3,1762969985009,0,0,2,0,0,0,0,0
4,1762969985259,0,0,2,0,0,0,0,0
5,1762969985359,0,0,2,0,0,0,0,0
6,1762969985474,0,0,2,0,0,0,0,0
7,1762969985575,0,0,2,0,0,0,0,0
8,1762969985692,0,0,2,1,0,0,0,0
9,1762969985841,0,0,2,0,0,0,0,0
10,1762969985975,0,0,2,3.31,0,0,0,0
11,1762969986042,0,0,2,0,0,0,0,0
12,1762969986224,0,0,2,0,0,0,0,0
13,1762969986340,0,0,2,0,0,0,0,0
14,1762969986457,0,0,2,0,0,0,0,0
15,1762969986558,0,0,2,0,0,0,0,0
16,1762969986791,0,0,2,0,0,0,0,0
17,1762969986957,0,0,2,0,0,0,0,0
18,1762969987074,0,0,2,0,0,0,0,0
19,1762969987157,0,0,2,0,0,0,0,0
20,1762969987340,0,0,2,0,0,0,0,0
21,1762969987591,0,0,2,0,0,0,0,0
22,1762969987674,0,0,2,0,0,0,0,0
23,1762969987840,0,0,2,0,0,0,0,0
24,1762969988008,0,0,2,0,0,0,0,0
25,1762969988173,0,0,2,0,0,0,0,0
26,1762969988439,0,0,2,0,0,0,0,0
27,1762969988542,0,0,2,0,0,0,0,0
28,1762969988656,0,0,2,0,0,0,0,0
29,1762969988823,0,0,2,0,0,0,0,0
30,1762969989039,0,0,2,1,0,0,0,0
31,1762969989307,0,0,2,0,0,0,0,0
32,1762969989422,0,0,2,0,0,0,0,0
33,1762969989538,0,0,2,0,0,0,0,0
34,1762969989639,0,0,2,0,0,0,0,0
35,1762969989888,0,0,2,0,0,0,0,0
36,1762969989988,0,0,2,0,0,0,0,0
37,1762969990055,0,0,2,0,0,0,0,0
38,1762969990188,0,0,2,0,0,0,0,0
39,1762969990304,0,0,2,0,0,0,0,0
40,1762969990405,0,0,2,0,0,0,0,0
41,1762969990570,0,0,2,0,0,0,0,0
42,1762969990688,0,0,2,0,0,0,0,0
43,1762969990871,0,0,2,0,0,0,0,0
44,1762969991271,0,0,2,0,0,0,0,0
45,1762969991521,0,0,2,0,0,0,0,0
46,1762969991771,0,0,2,0,0,0,0,0
47,1762969992004,0,0,2,0,0,0,0,0
48,1762969992122,0,0,2,1,0,0,0,0
49,1762969992188,0,0,2,0,0,0,0,0
50,1762969992304,0,0,2,3.31,0,0,0,0
51,1762969992404,0,0,2,0,0,0,0,0
52,1762969992521,0,0,2,0,0,0,0,0
53,1762969992619,0,0,2,0,0,0,0,0
54,1762969992719,0,0,2,0,0,0,0,0
55,1762969992870,0,0,2,0,0,0,0,0
56,1762969993003,0,0,2,0,0,0,0,0
57,1762969993103,0,0,2,0,0,0,0,0
58,1762969993202,0,0,2,0,0,0,0,0
59,1762969993318,0,0,2,0,0,0,0,0
60,1762969993453,0,0,2,0,0,0,0,0
61,1762969993518,0,0,2,0,0,0,0,0
62,1762969993619,0,0,2,0,0,0,0,0
63,1762969993719,0,0,2,0,0,0,0,0
64,1762969993869,0,0,2,0,0,0,0,0
65,1762969993953,0,0,2,0,0,0,0,0
66,1762969994151,0,0,2,0,0,0,0,0
67,1762969994272,0,0,2,0,0,0,0,0
68,1762969994586,0,0,2,0,0,0,0,0
69,1762969994702,0,0,2,0,0,0,0,0
70,1762969994885,0,0,2,0,0,0,0,0
71,1762969995003,0,0,2,0,0,0,0,0
72,1762969995169,0,0,2,0,0,0,0,0
73,1762969995685,0,0,2,0,0,0,0,0
74,1762969995866,0,0,2,0,0,0,0,0
75,1762969995983,0,0,2,0,0,0,0,0
76,1762969996118,0,0,2,0,0,0,0,0
77,1762969996351,0,0,2,0,0,0,0,0
78,1762969996466,0,0,2,0,0,0,0,0
79,1762969996684,0,0,2,0,0,0,0,0
80,1762969996833,0,0,2,0,0,0,0,0
81,1762969997050,0,0,2,0,0,0,0,0
82,1762969997149,0,0,2,0,0,0,0,0
83,1762969997450,0,0,2,0,0,0,0,0
84,1762969997566,0,0,2,0,0,0,0,0
