index,date,1,2,3,4,5,6,7,8
0,1762969984508,0,0,0,0,0,0,0,0
1,1762969984544,0,0,32508,32570,0,0,0,0
2,1762969984560,0,0,0,0,0,0,0,0
3,1762969984576,0,0,241,0,0,0,0,0
4,1762969984609,0,0,207,0,0,0,0,0
5,1762969984609,0,0,0,0,0,0,0,0
6,1762969984626,0,0,0,0,0,0,0,0
7,1762969984676,0,0,0,0,0,0,0,0
8,1762969984726,0,0,0,0,0,0,0,0
9,1762969984760,0,0,0,0,0,0,0,0
10,1762969984792,0,0,1,0,0,0,0,0
11,1762969984792,0,0,0,0,0,0,0,0
12,1762969984808,0,0,0,0,0,0,0,0
13,1762969984859,0,0,0,0,0,0,0,0
14,1762969984893,0,0,247,0,0,0,0,0
15,1762969984909,0,0,202,0,0,0,0,0
16,1762969984926,0,0,0,0,0,0,0,0
17,1762969984926,0,0,0,0,0,0,0,0
18,1762969984976,0,0,0,0,0,0,0,0
19,1762969985009,0,0,0,0,0,0,0,0
20,1762969985025,0,0,198,0,0,0,0,0
21,1762969985042,0,0,0,0,0,0,0,0
22,1762969985075,0,0,0,0,0,0,0,0
23,1762969985142,0,0,0,0,0,0,0,0
24,1762969985158,0,0,0,0,0,0,0,0
25,1762969985176,0,0,0,0,0,0,0,0
26,1762969985176,0,0,0,0,0,0,0,0
27,1762969985209,0,0,0,0,0,0,0,0
28,1762969985225,0,0,0,0,0,0,0,0
29,1762969985259,0,0,247,0,0,0,0,0
30,1762969985276,0,0,0,0,0,0,0,0
31,1762969985276,0,0,1,0,0,0,0,0
32,1762969985309,0,0,0,0,0,0,0,0
33,1762969985341,0,0,0,0,0,0,0,0
34,1762969985359,0,0,0,0,0,0,0,0
35,1762969985375,0,0,0,0,0,0,0,0
36,1762969985375,0,0,0,0,0,0,0,0
37,1762969985408,0,0,0,0,0,0,0,0
38,1762969985458,0,0,247,0,0,0,0,0
39,1762969985474,0,0,199,0,0,0,0,0
40,1762969985491,0,0,0,0,0,0,0,0
41,1762969985524,0,0,0,0,0,0,0,0
42,1762969985591,0,0,0,0,0,0,0,0
43,1762969985591,0,0,200,0,0,0,0,0
44,1762969985607,0,0,0,0,0,0,0,0
45,1762969985626,0,0,0,0,0,0,0,0
46,1762969985659,0,0,0,0,0,0,0,0
47,1762969985692,0,0,1,1,0,0,0,0
48,1762969985708,0,0,0,0,0,0,0,0
49,1762969985725,0,0,0,0,0,0,0,0
50,1762969985725,0,0,0,0,0,0,0,0
51,1762969985777,0,0,0,0,0,0,0,0
52,1762969985825,0,0,0,0,0,0,0,0
53,1762969985858,0,0,0,0,0,0,0,0
54,1762969985858,0,0,207,0,0,0,0,0
55,1762969985875,0,0,0,0,0,0,0,0
56,1762969985892,0,0,0,0,0,0,0,0
57,1762969985924,0,0,0,0,0,0,0,0
58,1762969985958,0,0,247,0,0,0,0,0
59,1762969985975,0,0,65535,0,0,0,0,0
60,1762969986007,0,0,0,0,0,0,0,0
61,1762969986025,0,0,0,0,0,0,0,0
62,1762969986058,0,0,205,0,0,0,0,0
63,1762969986075,0,0,0,0,0,0,0,0
64,1762969986108,0,0,0,0,0,0,0,0
65,1762969986142,0,0,1,1,0,0,0,0
66,1762969986158,0,0,0,0,0,0,0,0
67,1762969986158,0,0,201,0,0,0,0,0
68,1762969986191,0,0,0,0,0,0,0,0
69,1762969986224,0,0,0,0,0,0,0,0
70,1762969986241,0,0,0,0,0,0,0,0
71,1762969986257,0,0,0,0,0,0,0,0
72,1762969986257,0,0,0,0,0,0,0,0
73,1762969986291,0,0,1,0,0,0,0,0
74,1762969986324,0,0,0,0,0,0,0,0
75,1762969986340,0,0,247,0,0,0,0,0
76,1762969986374,0,0,208,0,0,0,0,0
77,1762969986391,0,0,0,0,0,0,0,0
78,1762969986424,0,0,0,0,0,0,0,0
79,1762969986442,0,0,0,0,0,0,0,0
80,1762969986474,0,0,207,0,0,0,0,0
81,1762969986491,0,0,0,0,0,0,0,0
82,1762969986508,0,0,0,0,0,0,0,0
83,1762969986540,0,0,0,0,0,0,0,0
84,1762969986558,0,0,247,0,0,0,0,0
85,1762969986574,0,0,0,0,0,0,0,0
86,1762969986592,0,0,0,0,0,0,0,0
87,1762969986607,0,0,0,0,0,0,0,0
88,1762969986641,0,0,0,0,0,0,0,0
89,1762969986658,0,0,0,0,0,0,0,0
90,1762969986692,0,0,0,0,0,0,0,0
91,1762969986692,0,0,0,0,0,0,0,0
92,1762969986707,0,0,0,0,0,0,0,0
93,1762969986724,0,0,0,0,0,0,0,0
94,1762969986757,0,0,0,0,0,0,0,0
95,1762969986775,0,0,252,0,0,0,0,0
96,1762969986808,0,0,33199,33143,0,0,0,0
97,1762969986841,0,0,32507,32570,0,0,0,0
98,1762969986857,0,0,0,0,0,0,0,0
99,1762969986957,0,0,0,0,0,0,0,0
100,1762969986990,0,0,0,0,0,0,0,0
101,1762969987006,0,0,0,0,0,0,0,0
102,1762969987006,0,0,0,0,0,0,0,0
103,1762969987024,0,0,0,0,0,0,0,0
104,1762969987057,0,0,0,0,0,0,0,0
105,1762969987074,0,0,252,0,0,0,0,0
106,1762969987091,0,0,65535,0,0,0,0,0
107,1762969987091,0,0,0,0,0,0,0,0
108,1762969987091,0,0,1,1,0,0,0,0
109,1762969987123,0,0,0,0,0,0,0,0
110,1762969987141,0,0,0,0,0,0,0,0
111,1762969987157,0,0,0,0,0,0,0,0
112,1762969987174,0,0,0,0,0,0,0,0
113,1762969987174,0,0,0,0,0,0,0,0
114,1762969987208,0,0,198,0,0,0,0,0
115,1762969987224,0,0,0,0,0,0,0,0
116,1762969987240,0,0,209,0,0,0,0,0
117,1762969987257,0,0,0,0,0,0,0,0
118,1762969987274,0,0,33222,33196,0,0,0,0
119,1762969987307,0,0,0,0,0,0,0,0
120,1762969987325,0,0,0,0,0,0,0,0
121,1762969987357,0,0,0,0,0,0,0,0
122,1762969987357,0,0,0,0,0,0,0,0
123,1762969987357,0,0,202,0,0,0,0,0
124,1762969987440,0,0,0,0,0,0,0,0
125,1762969987457,0,0,0,0,0,0,0,0
126,1762969987490,0,0,252,0,0,0,0,0
127,1762969987490,0,0,0,0,0,0,0,0
128,1762969987506,0,0,0,0,0,0,0,0
129,1762969987524,0,0,0,0,0,0,0,0
130,1762969987574,0,0,0,0,0,0,0,0
131,1762969987624,0,0,0,0,0,0,0,0
132,1762969987641,0,0,0,0,0,0,0,0
133,1762969987674,0,0,252,0,0,0,0,0
134,1762969987707,0,0,65535,0,0,0,0,0
135,1762969987724,0,0,33219,33158,0,0,0,0
136,1762969987773,0,0,0,0,0,0,0,0
137,1762969987806,0,0,0,0,0,0,0,0
138,1762969987873,0,0,0,0,0,0,0,0
139,1762969987873,0,0,193,0,0,0,0,0
140,1762969987890,0,0,0,0,0,0,0,0
141,1762969987924,0,0,0,0,0,0,0,0
142,1762969987974,0,0,0,0,0,0,0,0
143,1762969987991,0,0,252,0,0,0,0,0
144,1762969988008,0,0,0,0,0,0,0,0
145,1762969988057,0,0,65535,0,0,0,0,0
146,1762969988073,0,0,0,0,0,0,0,0
147,1762969988106,0,0,0,0,0,0,0,0
148,1762969988156,0,0,0,0,0,0,0,0
149,1762969988190,0,0,0,0,0,0,0,0
150,1762969988190,0,0,0,0,0,0,0,0
151,1762969988206,0,0,0,0,0,0,0,0
152,1762969988223,0,0,252,0,0,0,0,0
153,1762969988223,0,0,0,0,0,0,0,0
154,1762969988240,0,0,0,0,0,0,0,0
