index,date,CONTROL_EVENT_FLAG_1,CONTROL_EVENT_FLAG_2,REF_TORQUE_R_MOTOR,REF_TORQUE_L_MOTOR,5,6,7,8
0,1762969984676,0,4,0,0,0,0,0,0
1,1762969984825,0,4,0,0,0,0,0,0
2,1762969985092,0,4,0,0,0,0,0,0
3,1762969985142,0,4,0,0,0,0,0,0
4,1762969985209,0,4,0,0,0,0,0,0
5,1762969985309,0,4,0,0,0,0,0,0
6,1762969985426,0,4,0,0,0,0,0,0
7,1762969985542,0,4,0,0,0,0,0,0
8,1762969985642,0,4,0,0,0,0,0,0
9,1762969985759,0,4,0,0,0,0,0,0
10,1762969985892,0,4,0,0,0,0,0,0
11,1762969985992,0,4,0,0,0,0,0,0
12,1762969986091,0,4,0,0,0,0,0,0
13,1762969986191,0,4,0,0,0,0,0,0
14,1762969986308,0,4,0,0,0,0,0,0
15,1762969986408,0,4,0,0,0,0,0,0
16,1762969986524,0,4,0,0,0,0,0,0
17,1762969986624,0,4,0,0,0,0,0,0
18,1762969986740,0,4,0,0,0,0,0,0
19,1762969986874,0,4,0,0,0,0,0,0
20,1762969987040,0,4,0,0,0,0,0,0
21,1762969987291,0,4,0,0,0,0,0,0
22,1762969987457,0,4,0,0,0,0,0,0
23,1762969987574,0,4,0,0,0,0,0,0
24,1762969987624,0,4,0,0,0,0,0,0
25,1762969987773,0,4,0,0,0,0,0,0
26,1762969987924,0,4,0,0,0,0,0,0
27,1762969988090,0,4,0,0,0,0,0,0
28,1762969988291,0,4,0,0,0,0,0,0
29,1762969988389,0,4,0,0,0,0,0,0
30,1762969988506,0,4,0,0,0,0,0,0
31,1762969988606,0,4,0,0,0,0,0,0
32,1762969988723,0,4,0,0,0,0,0,0
33,1762969988906,0,4,0,0,0,0,0,0
34,1762969989123,0,4,0,0,0,0,0,0
35,1762969989172,0,4,0,0,0,0,0,0
36,1762969989258,0,4,0,0,0,0,0,0
37,1762969989372,0,4,0,0,0,0,0,0
38,1762969989488,0,4,0,0,0,0,0,0
39,1762969989605,0,4,0,0,0,0,0,0
40,1762969989754,0,4,0,0,0,0,0,0
41,1762969990038,0,4,0,0,0,0,0,0
42,1762969990255,0,4,0,0,0,0,0,0
43,1762969990372,0,4,0,0,0,0,0,0
44,1762969990522,0,4,0,0,0,0,0,0
45,1762969990620,0,4,0,0,0,0,0,0
46,1762969990754,0,4,0,0,0,0,0,0
47,1762969990970,0,4,0,0,0,0,0,0
48,1762969991171,0,4,0,0,0,0,0,0
49,1762969991304,0,4,0,0,0,0,0,0
50,1762969991372,0,4,0,0,0,0,0,0
51,1762969991471,0,4,0,0,0,0,0,0
52,1762969991587,0,4,0,0,0,0,0,0
53,1762969991687,0,4,0,0,0,0,0,0
54,1762969991823,0,4,0,0,0,0,0,0
55,1762969991988,0,4,0,0,0,0,0,0
56,1762969992071,0,4,0,0,0,0,0,0
57,1762969992238,0,4,0,0,0,0,0,0
58,1762969992337,0,4,0,0,0,0,0,0
59,1762969992453,0,4,0,0,0,0,0,0
60,1762969992570,0,4,0,0,0,0,0,0
61,1762969992686,0,4,0,0,0,0,0,0
62,1762969992804,0,4,0,0,0,0,0,0
63,1762969992954,0,4,0,0,0,0,0,0
64,1762969993053,0,4,0,0,0,0,0,0
65,1762969993152,0,4,0,0,0,0,0,0
66,1762969993236,0,4,0,0,0,0,0,0
67,1762969993402,0,4,0,0,0,0,0,0
68,1762969993486,0,4,0,0,0,0,0,0
69,1762969993669,0,4,0,0,0,0,0,0
70,1762969993803,0,4,0,0,0,0,0,0
71,1762969993920,0,4,0,0,0,0,0,0
72,1762969994002,0,4,0,0,0,0,0,0
73,1762969994118,0,4,0,0,0,0,0,0
74,1762969994235,0,4,0,0,0,0,0,0
75,1762969994319,0,4,0,0,0,0,0,0
76,1762969994436,0,4,0,0,0,0,0,0
77,1762969994552,0,4,0,0,0,0,0,0
78,1762969994653,0,4,0,0,0,0,0,0
79,1762969994785,0,4,0,0,0,0,0,0
80,1762969994968,0,4,0,0,0,0,0,0
81,1762969995086,0,4,0,0,0,0,0,0
82,1762969995203,0,4,0,0,0,0,0,0
83,1762969995235,0,4,0,0,0,0,0,0
84,1762969995319,0,4,0,0,0,0,0,0
85,1762969995434,0,4,0,0,0,0,0,0
86,1762969995533,0,4,0,0,0,0,0,0
87,1762969995652,0,4,0,0,0,0,0,0
88,1762969995783,0,4,0,0,0,0,0,0
89,1762969995899,0,4,0,0,0,0,0,0
90,1762969996084,0,4,0,0,0,0,0,0
91,1762969996168,0,4,0,0,0,0,0,0
92,1762969996218,0,4,0,0,0,0,0,0
93,1762969996302,0,4,0,0,0,0,0,0
94,1762969996434,0,4,0,0,0,0,0,0
95,1762969996533,0,4,0,0,0,0,0,0
96,1762969996634,0,4,0,0,0,0,0,0
97,1762969996750,0,4,0,0,0,0,0,0
98,1762969996965,0,4,0,0,0,0,0,0
99,1762969997033,0,4,0,0,0,0,0,0
100,1762969997117,0,4,0,0,0,0,0,0
101,1762969997232,0,4,0,0,0,0,0,0
102,1762969997316,0,4,0,0,0,0,0,0
103,1762969997415,0,4,0,0,0,0,0,0
104,1762969997532,0,4,0,0,0,0,0,0
105,1762969997800,0,4,0,0,0,0,0,0
106,1762969997983,0,4,0,0,0,0,0,0
107,1762969998116,0,4,0,0,0,0,0,0
108,1762969998217,0,4,0,0,0,0,0,0
109,1762969998283,0,4,0,0,0,0,0,0
110,1762969998398,0,4,0,0,0,0,0,0
111,1762969998515,0,4,0,0,0,0,0,0
112,1762969998614,0,4,0,0,0,0,0,0
113,1762969998733,0,4,0,0,0,0,0,0
114,1762969998865,0,4,0,0,0,0,0,0
115,1762969999015,0,4,0,0,0,0,0,0
116,1762969999348,0,4,0,0,0,0,0,0
117,1762969999516,0,4,0,0,0,0,0,0
118,1762969999616,0,4,0,0,0,0,0,0
119,1762969999716,0,4,0,0,0,0,0,0
120,1762969999947,0,4,0,0,0,0,0,0
121,1762970000032,0,4,0,0,0,0,0,0
122,1762970000116,0,4,0,0,0,0,0,0
123,1762970000282,0,4,0,0,0,0,0,0
124,1762970000380,0,4,0,0,0,0,0,0
125,1762970000598,0,4,0,0,0,0,0,0
126,1762970000715,0,4,0,0,0,0,0,0
127,1762970000898,0,4,0,0,0,0,0,0
128,1762970001035,0,4,0,0,0,0,0,0
129,1762970001114,0,4,0,0,0,0,0,0
130,1762970001263,0,4,0,0,0,0,0,0
131,1762970001481,0,4,0,0,0,0,0,0
132,1762970001580,0,4,0,0,0,0,0,0
133,1762970001696,0,4,0,0,0,0,0,0
134,1762970001914,0,4,0,0,0,0,0,0
135,1762970002130,0,4,0,0,0,0,0,0
136,1762970002180,0,4,0,0,0,0,0,0
137,1762970002247,0,4,0,0,0,0,0,0
138,1762970002345,0,4,0,0,0,0,0,0
139,1762970002463,0,4,0,0,0,0,0,0
140,1762970002680,0,4,0,0,0,0,0,0
141,1762970002880,0,4,0,0,0,0,0,0
142,1762970003178,0,4,0,0,0,0,0,0
143,1762970003263,0,4,0,0,0,0,0,0
144,1762970003345,0,4,0,0,0,0,0,0
145,1762970003462,0,4,0,0,0,0,0,0
146,1762970003562,0,4,0,0,0,0,0,0
147,1762970003795,0,4,0,0,0,0,0,0
148,1762970004245,0,4,0,0,0,0,0,0
149,1762970004346,0,4,0,0,0,0,0,0
150,1762970004461,0,4,0,0,0,0,0,0
151,1762970004561,0,4,0,0,0,0,0,0
152,1762970004678,0,4,0,0,0,0,0,0
153,1762970004879,0,4,0,0,0,0,0,0
154,1762970004995,0,4,0,0,0,0,0,0
155,1762970005128,0,4,0,0,0,0,0,0
156,1762970005210,0,4,0,0,0,0,0,0
157,1762970005344,0,4,0,0,0,0,0,0
158,1762970005444,0,4,0,0,0,0,0,0
159,1762970005543,0,4,0,0,0,0,0,0
160,1762970005676,0,4,0,0,0,0,0,0
161,1762970005811,0,4,0,0,0,0,0,0
162,1762970005962,0,4,0,0,0,0,0,0
163,1762970006311,0,4,0,0,0,0,0,0
164,1762970006443,0,4,0,0,0,0,0,0
165,1762970006542,0,4,0,0,0,0,0,0
166,1762970006659,0,4,0,0,0,0,0,0
167,1762970006809,0,4,0,0,0,0,0,0
168,1762970006976,0,4,0,0,0,0,0,0
169,1762970007125,0,4,0,0,0,0,0,0
170,1762970007308,0,4,0,0,0,0,0,0
171,1762970007425,0,4,0,0,0,0,0,0
172,1762970007542,0,4,0,0,0,0,0,0
173,1762970007675,0,4,0,0,0,0,0,0
174,1762970007775,0,4,0,0,0,0,0,0
175,1762970007958,0,4,0,0,0,0,0,0
176,1762970008058,0,4,0,0,0,0,0,0
177,1762970008158,0,4,0,0,0,0,0,0
178,1762970008208,0,4,0,0,0,0,0,0
179,1762970008308,0,4,0,0,0,0,0,0
180,1762970008407,0,4,0,0,0,0,0,0
181,1762970008523,0,4,0,0,0,0,0,0
182,1762970008624,0,4,0,0,0,0,0,0
183,1762970008774,0,4,0,0,0,0,0,0
184,1762970008925,0,4,0,0,0,0,0,0
185,1762970009025,0,4,0,0,0,0,0,0
186,1762970009208,0,4,0,0,0,0,0,0
187,1762970009408,0,4,0,0,0,0,0,0
188,1762970009508,0,4,0,0,0,0,0,0
189,1762970009623,0,4,0,0,0,0,0,0
190,1762970009744,0,4,0,0,0,0,0,0
191,1762970010074,0,4,0,0,0,0,0,0
192,1762970010259,0,4,0,0,0,0,0,0
193,1762970010356,0,4,0,0,0,0,0,0
194,1762970010390,0,4,0,0,0,0,0,0
195,1762970010506,0,4,0,0,0,0,0,0
196,1762970010607,0,4,0,0,0,0,0,0
197,1762970010740,0,4,0,0,0,0,0,0
198,1762970010857,0,4,0,0,0,0,0,0
199,1762970011039,0,4,0,0,0,0,0,0
200,1762970011205,0,4,0,0,0,0,0,0
201,1762970011338,0,4,0,0,0,0,0,0
202,1762970011489,0,4,0,0,0,0,0,0
203,1762970011589,0,4,0,0,0,0,0,0
204,1762970011705,0,4,0,0,0,0,0,0
205,1762970011854,0,4,0,0,0,0,0,0
206,1762970012037,0,4,0,0,0,0,0,0
207,1762970012190,0,4,0,0,0,0,0,0
208,1762970012271,0,4,0,0,0,0,0,0
209,1762970012371,0,4,0,0,0,0,0,0
210,1762970012471,0,4,0,0,0,0,0,0
211,1762970012587,0,4,0,0,0,0,0,0
212,1762970012705,0,4,0,0,0,0,0,0
213,1762970012870,0,4,0,0,0,0,0,0
214,1762970013037,0,4,0,0,0,0,0,0
215,1762970013187,0,4,0,0,0,0,0,0
216,1762970013388,0,4,0,0,0,0,0,0
217,1762970013504,0,4,0,0,0,0,0,0
218,1762970013620,0,4,0,0,0,0,0,0
219,1762970013703,0,4,0,0,0,0,0,0
220,1762970013869,0,4,0,0,0,0,0,0
221,1762970014120,0,4,0,0,0,0,0,0
222,1762970014237,0,4,0,0,0,0,0,0
223,1762970014353,0,4,0,0,0,0,0,0
224,1762970014386,0,4,0,0,0,0,0,0
225,1762970014469,0,4,0,0,0,0,0,0
226,1762970014569,0,4,0,0,0,0,0,0
227,1762970014685,0,4,0,0,0,0,0,0
228,1762970014821,0,4,0,0,0,0,0,0
229,1762970015053,0,4,0,0,0,0,0,0
230,1762970015302,0,4,0,0,0,0,0,0
231,1762970015351,0,4,0,0,0,0,0,0
232,1762970015451,0,4,0,0,0,0,0,0
233,1762970015569,0,4,0,0,0,0,0,0
234,1762970015652,0,4,0,0,0,0,0,0
235,1762970015785,0,4,0,0,0,0,0,0
236,1762970015935,0,4,0,0,0,0,0,0
237,1762970016036,0,4,0,0,0,0,0,0
238,1762970016136,0,4,0,0,0,0,0,0
239,1762970016236,0,4,0,0,0,0,0,0
240,1762970016351,0,4,0,0,0,0,0,0
241,1762970016451,0,4,0,0,0,0,0,0
242,1762970016551,0,4,0,0,0,0,0,0
243,1762970016668,0,4,0,0,0,0,0,0
244,1762970016784,0,4,0,0,0,0,0,0
245,1762970016985,0,4,0,0,0,0,0,0
246,1762970017269,0,4,0,0,0,0,0,0
247,1762970017434,0,4,0,0,0,0,0,0
248,1762970017534,0,4,0,0,0,0,0,0
249,1762970017650,0,4,0,0,0,0,0,0
250,1762970017768,0,4,0,0,0,0,0,0
251,1762970018049,0,4,0,0,0,0,0,0
252,1762970018149,0,4,0,0,0,0,0,0
253,1762970018250,0,4,0,0,0,0,0,0
254,1762970018417,0,4,0,0,0,0,0,0
255,1762970018533,0,4,0,0,0,0,0,0
256,1762970018633,0,4,0,0,0,0,0,0
257,1762970018767,0,4,0,0,0,0,0,0
258,1762970018933,0,4,0,0,0,0,0,0
259,1762970019050,0,4,0,0,0,0,0,0
260,1762970019166,0,4,0,0,0,0,0,0
261,1762970019300,0,4,0,0,0,0,0,0
262,1762970019399,0,4,0,0,0,0,0,0
263,1762970019516,0,4,0,0,0,0,0,0
264,1762970019650,0,4,0,0,0,0,0,0
265,1762970019733,0,4,0,0,0,0,0,0
266,1762970019915,0,4,0,0,0,0,0,0
267,1762970019965,0,4,0,0,0,0,0,0
268,1762970020099,0,4,0,0,0,0,0,0
269,1762970020216,0,4,0,0,0,0,0,0
270,1762970020299,0,4,0,0,0,0,0,0
271,1762970020398,0,4,0,0,0,0,0,0
272,1762970020515,0,4,0,0,0,0,0,0
273,1762970020730,0,4,0,0,0,0,0,0
274,1762970020849,0,4,0,0,0,0,0,0
275,1762970021014,0,4,0,0,0,0,0,0
276,1762970021182,0,4,0,0,0,0,0,0
277,1762970021282,0,4,0,0,0,0,0,0
278,1762970021381,0,4,0,0,0,0,0,0
279,1762970021618,0,4,0,0,0,0,0,0
280,1762970021731,0,4,0,0,0,0,0,0
281,1762970021881,0,4,0,0,0,0,0,0
282,1762970022031,0,4,0,0,0,0,0,0
283,1762970022330,0,4,0,0,0,0,0,0
284,1762970022397,0,4,0,0,0,0,0,0
285,1762970023115,0,4,0,0,0,0,0,0
286,1762970023296,0,4,0,0,0,0,0,0
287,1762970023363,0,4,0,0,0,0,0,0
288,1762970024862,0,4,0,0,0,0,0,0
289,1762970024995,0,4,0,0,0,0,0,0
290,1762970025178,0,4,0,0,0,0,0,0
291,1762970025412,0,4,0,0,0,0,0,0
292,1762970025461,0,4,0,0,0,0,0,0
293,1762970025578,0,4,0,0,0,0,0,0
294,1762970025694,0,4,0,0,0,0,0,0
295,1762970025861,0,4,0,0,0,0,0,0
296,1762970026077,0,4,0,0,0,0,0,0
297,1762970026293,0,4,0,0,0,0,0,0
298,1762970026460,0,4,0,0,0,0,0,0
299,1762970026560,0,4,0,0,0,0,0,0
300,1762970026677,0,4,0,0,0,0,0,0
301,1762970026793,0,4,0,0,0,0,0,0
302,1762970026894,0,4,0,0,0,0,0,0
303,1762970027010,0,4,0,0,0,0,0,0
