index,date,MIN_VOLTAGE,MAX_VOLTAGE,TOTAL_VOLTAGE,SHUNT_CURRENT,1,2,3,4
0,1762969984825,3.32,3.16,79.1,0,0,0,0,0
1,1762969985242,3.32,3.24,79.2,0,0,0,0,0
2,1762969985675,3.32,3.16,79.1,0,0,0,0,0
3,1762969986142,3.32,3.24,79.2,0,0,0,0,0
4,1762969986592,3.32,3.15,79.1,0,0,0,0,0
5,1762969987540,3.32,3.16,79.1,0,0,0,0,0
6,1762969988090,3.32,3.25,79.2,0,0,0,0,0
7,1762969989022,3.32,3.16,79.1,0,0,0,0,0
8,1762969989322,3.32,3.16,79.1,0,0,0,0,0
9,1762969989921,3.32,3.16,79.1,0,0,0,0,0
10,1762969990222,3.32,3.25,79.2,0,0,0,0,0
11,1762969990721,3.32,3.16,79.1,0,0,0,0,0
12,1762969991604,3.32,3.16,79.1,0,0,0,0,0
13,1762969992105,3.32,3.25,79.2,0,0,0,0,0
14,1762969992521,3.32,3.16,79.1,0,0,0,0,0
15,1762969993486,3.32,3.16,79.1,0,0,0,0,0
16,1762969993901,3.32,3.25,79.2,0,0,0,0,0
17,1762969994336,3.32,3.16,79.1,0,0,0,0,0
18,1762969994852,3.32,3.16,79.1,0,0,0,0,0
19,1762969995702,3.32,3.16,79.1,0,0,0,0,0
20,1762969996616,3.32,3.16,79.1,0,0,0,0,0
21,1762969997099,3.32,3.24,79.2,0,0,0,0,0
22,1762969997517,3.32,3.16,79.1,0,0,0,0,0
23,1762969998134,3.32,3.16,79.1,0,0,0,0,0
24,1762969998432,3.32,3.15,79.1,0,0,0,0,0
25,1762969998949,3.32,3.25,79.2,0,0,0,0,0
26,1762969999464,3.32,3.16,79.1,0,0,0,0,0
27,1762969999865,3.32,3.16,79.1,0,0,0,0,0
28,1762970000248,3.32,3.16,79.1,0,0,0,0,0
29,1762970000698,3.32,3.25,79.2,0,0,0,0,0
30,1762970001214,3.32,3.16,79.1,0,0,0,0,0
31,1762970002530,3.32,3.16,79.1,0,0,0,0,0
32,1762970003046,3.32,3.18,79.1,0,0,0,0,0
33,1762970003447,3.32,3.25,79.2,0,0,0,0,0
34,1762970004378,3.32,3.24,79.2,0,0,0,0,0
35,1762970005743,3.32,3.16,79.1,0,0,0,0,0
36,1762970006627,3.32,3.24,79.2,0,0,0,0,0
37,1762970007575,3.32,3.25,79.2,0,0,0,0,0
38,1762970008474,3.32,3.16,79.1,0,0,0,0,0
39,1762970008991,3.32,3.16,79.1,0,0,0,0,0
40,1762970009358,3.32,3.24,79.2,0,0,0,0,0
41,1762970009940,3.32,3.16,79.1,0,0,0,0,0
42,1762970010339,3.32,3.24,79.2,0,0,0,0,0
43,1762970011305,3.32,3.16,79.1,0,0,0,0,0
44,1762970012170,3.32,3.24,79.2,0,0,0,0,0
45,1762970012554,3.32,3.16,79.1,0,0,0,0,0
46,1762970013154,3.32,3.24,79.2,0,0,0,0,0
47,1762970013470,3.32,3.16,79.1,0,0,0,0,0
48,1762970013987,3.32,3.16,79.1,0,0,0,0,0
49,1762970014402,3.32,3.16,79.1,0,0,0,0,0
