index,date,LOST_MSG_L_MOTOR,BUS_OFF_L_MOTOR,CAN_STATE_L_MOTOR,1,2,3,4,5
0,1762969984576,0,0,2,0,0,0,0,0
1,1762969984709,0,0,2,0,0,0,0,0
2,1762969984875,0,0,2,0,0,0,0,0
3,1762969984959,0,0,2,0,0,0,0,0
4,1762969985325,0,0,2,0,0,0,0,0
5,1762969985441,0,0,2,3.27,0,0,0,0
6,1762969985558,0,0,2,0,0,0,0,0
7,1762969985809,0,0,2,0,0,0,0,0
8,1762969985924,0,0,2,0,0,0,0,0
9,1762969986025,0,0,2,0,0,0,0,0
10,1762969986108,0,0,2,0,0,0,0,0
11,1762969986207,0,0,2,0,0,0,0,0
12,1762969986324,0,0,2,0,0,0,0,0
13,1762969986442,0,0,2,0,0,0,0,0
14,1762969986541,0,0,2,0,0,0,0,0
15,1762969986658,0,0,2,0,0,0,0,0
16,1762969986775,0,0,2,0,0,0,0,0
17,1762969986874,0,0,2,0,0,0,0,0
18,1762969987057,0,0,2,0,0,0,0,0
19,1762969987325,0,0,2,0,0,0,0,0
20,1762969987657,0,0,2,0,0,0,0,0
21,1762969987790,0,0,2,0,0,0,0,0
22,1762969987974,0,0,2,0,0,0,0,0
23,1762969988123,0,0,2,0,0,0,0,0
24,1762969988207,0,0,2,0,0,0,0,0
25,1762969988306,0,0,2,0,0,0,0,0
26,1762969988406,0,0,2,0,0,0,0,0
27,1762969988522,0,0,2,0,0,0,0,0
28,1762969988641,0,0,2,3.31,0,0,0,0
29,1762969988773,0,0,2,0,0,0,0,0
30,1762969988990,0,0,2,0,0,0,0,0
31,1762969989155,0,0,2,0,0,0,0,0
32,1762969989289,0,0,2,0,0,0,0,0
33,1762969989405,0,0,2,0,0,0,0,0
34,1762969989505,0,0,2,0,0,0,0,0
35,1762969989639,0,0,2,0,0,0,0,0
36,1762969989838,0,0,2,0,0,0,0,0
37,1762969990122,0,0,2,0,0,0,0,0
38,1762969990287,0,0,2,0,0,0,0,0
39,1762969990390,0,0,2,0,0,0,0,0
40,1762969990537,0,0,2,0,0,0,0,0
41,1762969990654,0,0,2,0,0,0,0,0
42,1762969990837,0,0,2,0,0,0,0,0
43,1762969990987,0,0,2,0,0,0,0,0
44,1762969991070,0,0,2,3.32,0,0,0,0
45,1762969991238,0,0,2,0,0,0,0,0
46,1762969991505,0,0,2,0,0,0,0,0
47,1762969991622,0,0,2,1,0,0,0,0
48,1762969991704,0,0,2,0,0,0,0,0
49,1762969991888,0,0,2,3.31,0,0,0,0
50,1762969992105,0,0,2,0,0,0,0,0
51,1762969992171,0,0,2,0,0,0,0,0
52,1762969992272,0,0,2,0,0,0,0,0
53,1762969992370,0,0,2,0,0,0,0,0
54,1762969992487,0,0,2,0,0,0,0,0
