index,date,SPEED_AVG,STEERING_WHEEL,THROTTLE,BRAKE,5,6,7,8
927,1762970112555,0,0,0,0,0,0,0,0
928,1762970112688,0,0,0,0,0,0,0,0
929,1762970112804,0,0,0,0,0,0,0,0
930,1762970112922,0,0,0,0,0,0,0,0
931,1762970113120,0,0,0,0,0,0,0,0
932,1762970113221,0,0,0,0,0,0,0,0
933,1762970113336,0,0,0,0,0,0,0,0
934,1762970113455,0,0,0,0,0,0,0,0
935,1762970113570,0,0,0,0,0,0,0,0
936,1762970113671,0,0,0,0,0,0,0,0
937,1762970113789,0,0,0,0,0,0,0,0
938,1762970113920,0,0,0,0,0,0,0,0
939,1762970114020,0,0,0,0,0,0,0,0
940,1762970114103,0,0,0,0,0,0,0,0
941,1762970114220,0,0,0,0,0,0,0,0
942,1762970114337,0,0,0,0,0,0,0,0
943,1762970114436,0,0,0,0,0,0,0,0
944,1762970114536,0,0,0,0,0,0,0,0
945,1762970114653,0,0,0,0,0,0,0,0
946,1762970114836,0,0,0,0,0,0,0,0
947,1762970115104,0,0,0,0,0,0,0,0
948,1762970115204,0,0,0,0,0,0,0,0
949,1762970115336,0,0,0,0,0,0,0,0
950,1762970115435,0,0,0,0,0,0,0,0
951,1762970115536,0,0,0,0,0,0,0,0
952,1762970115651,0,0,0,0,0,0,0,0
953,1762970115768,0,0,0,0,0,0,0,0
954,1762970115885,0,0,0,0,0,0,0,0
955,1762970116086,0,0,0,0,0,0,0,0
956,1762970116202,0,0,0,0,0,0,0,0
957,1762970116302,0,0,0,0,0,0,0,0
958,1762970116419,0,0,0,0,0,0,0,0
959,1762970116520,0,0,0,0,0,0,0,0
960,1762970116653,0,0,0,0,0,0,0,0
961,1762970116753,0,0,0,0,0,0,0,0
962,1762970116935,0,0,0,0,0,0,0,0
963,1762970116985,0,0,0,0,0,0,0,0
964,1762970117070,0,0,0,0,0,0,0,0
965,1762970117185,0,0,0,0,0,0,0,0
966,1762970117318,0,0,0,0,0,0,0,0
967,1762970117401,0,0,0,0,0,0,0,0
968,1762970117534,0,0,0,0,0,0,0,0
969,1762970117618,0,0,0,0,0,0,0,0
970,1762970117734,0,0,0,0,0,0,0,0
971,1762970117917,0,0,0,0,0,0,0,0
972,1762970118067,0,0,0,0,0,0,0,0
973,1762970118185,0,0,0,0,0,0,0,0
974,1762970118283,0,0,0,0,0,0,0,0
975,1762970118401,0,0,0,0,0,0,0,0
976,1762970118501,0,0,0,0,0,0,0,0
977,1762970118617,0,0,0,0,0,0,0,0
978,1762970118734,0,0,0,0,0,0,0,0
979,1762970118849,0,0,0,0,0,0,0,0
980,1762970119001,0,0,0,0,0,0,0,0
981,1762970119066,0,0,0,0,0,0,0,0
982,1762970119166,0,0,0,0,0,0,0,0
983,1762970119318,0,0,0,0,0,0,0,0
984,1762970119499,0,0,0,0,0,0,0,0
985,1762970119618,0,0,0,0,0,0,0,0
986,1762970119732,0,0,0,0,0,0,0,0
987,1762970119833,0,0,0,0,0,0,0,0
988,1762970119949,0,0,0,0,0,0,0,0
989,1762970120050,0,0,0,0,0,0,0,0
990,1762970120165,0,0,0,0,0,0,0,0
991,1762970120281,0,0,0,0,0,0,0,0
992,1762970120382,0,0,0,0,0,0,0,0
993,1762970120499,0,0,0,0,0,0,0,0
994,1762970120599,0,0,0,0,0,0,0,0
995,1762970120834,0,0,0,0,0,0,0,0
996,1762970121015,0,0,0,0,0,0,0,0
