index,date,SPEED_R_MOTOR,TORQUE_R_MOTOR,POWER_R_MOTOR
189,1782579642148,72,779,0
190,1782579642964,8,361,0
191,1782579643380,14,346,0
192,1782579644229,17,277,0
193,1782579644630,0,0,0
194,1782579645461,0,0,0
195,1782579646660,0,0,0
196,1782579648093,0,0,0
197,1782579648442,0,0,0
198,1782579648792,0,0,0
199,1782579649908,0,0,0
200,1782579651390,0,0,0
201,1782579652073,0,0,0
202,1782579652539,0,0,0
203,1782579652922,2,65535,0
204,1782579654104,2007,4,0
205,1782579654504,626,5,0
206,1782579655053,713,401,3
207,1782579656253,26,774,0
208,1782579656602,0,0,0
209,1782579657052,0,0,0
210,1782579658001,0,0,0
211,1782579658417,0,0,0
212,1782579660182,820,65528,0
213,1782579660565,1929,65534,0
214,1782579662614,145,869,1
215,1782579662980,250,911,3
216,1782579663863,608,1020,8
217,1782579665045,965,959,12
218,1782579665428,1027,927,12
219,1782579665977,1243,953,15
220,1782579666378,1308,904,16
221,1782579666627,1380,847,15
222,1782579666811,1435,801,15
223,1782579667260,1482,809,16
224,1782579668193,1537,783,16
225,1782579670258,1733,772,18
226,1782579670674,1754,748,17
227,1782579672405,1889,764,19
228,1782579672789,1911,759,19
229,1782579675638,2168,745,21
230,1782579676077,2190,731,21
231,1782579676253,2262,689,21
232,1782579676752,2427,736,24
233,1782579677152,2453,733,24
234,1782579677518,2483,745,25
235,1782579678317,2402,799,26
236,1782579679483,2475,912,30
237,1782579679833,2495,943,32
238,1782579681931,2465,921,30
239,1782579682314,2488,911,30
240,1782579683130,2484,888,30
241,1782579683463,2444,879,29
242,1782579684379,2286,899,27
243,1782579685611,2331,879,28
244,1782579685878,2371,925,29
245,1782579686427,2381,889,28
246,1782579686810,2381,921,29
247,1782579687693,2493,965,32
248,1782579688042,2583,970,34
249,1782579688293,2611,927,32
250,1782579688826,2607,930,33
251,1782579689208,2624,902,32
252,1782579690124,2747,978,36
253,1782579690507,2694,942,34
254,1782579690807,2704,950,34
255,1782579691356,2868,887,34
256,1782579692222,2897,961,37
257,1782579692655,2844,835,32
258,1782579693338,2709,699,25
259,1782579693388,2644,807,29
