index,date,LOST_MSG_R_MOTOR,BUS_OFF_R_MOTOR,CAN_STATE_R_MOTOR
0,1782579299187,0,0,2
1,1782579299520,0,0,2
2,1782579300502,0,0,2
3,1782579300852,0,0,2
4,1782579301268,0,0,2
5,1782579302101,0,0,2
6,1782579302267,0,0,2
7,1782579302485,0,0,2
8,1782579302916,0,0,2
9,1782579303150,0,0,2
10,1782579303500,0,0,2
11,1782579303818,0,0,2
12,1782579304049,0,0,2
13,1782579304349,0,0,2
14,1782579307363,0,0,2
15,1782579308179,0,0,2
16,1782579308562,0,0,2
17,1782579309644,0,0,2
18,1782579310061,0,0,2
19,1782579310877,0,0,2
20,1782579311877,0,0,2
21,1782579312126,0,0,2
22,1782579313359,0,0,2
23,1782579315192,0,0,2
24,1782579315556,0,0,2
25,1782579316405,0,0,2
26,1782579517937,0,0,0
27,1782579518502,0,0,0
28,1782579519118,0,0,0
29,1782579520300,0,0,0
30,1782579520933,0,0,0
31,1782579525680,0,0,2
32,1782579531158,0,0,2
33,1782579531408,0,0,2
34,1782579533672,0,0,2
35,1782579533972,0,0,2
36,1782579536137,0,0,2
37,1782579536503,0,0,2
38,1782579536803,0,0,2
39,1782579537086,0,0,2
40,1782579538385,0,0,2
41,1782579538618,0,0,2
42,1782579538934,0,0,2
43,1782579539550,0,0,2
44,1782579539835,0,0,2
45,1782579540083,0,0,2
46,1782579540383,0,0,2
47,1782579540583,0,0,2
48,1782579543264,0,0,2
49,1782579543581,0,0,2
50,1782579543897,0,0,2
51,1782579544147,0,0,2
52,1782579544447,0,0,2
53,1782579544730,0,0,2
54,1782579545046,0,0,2
55,1782579545895,0,0,2
56,1782579546162,0,0,2
57,1782579546445,0,0,2
58,1782579546628,0,0,2
59,1782579546945,0,0,2
60,1782579547261,0,0,2
61,1782579547544,0,0,2
62,1782579549759,0,0,2
63,1782579550092,0,0,2
64,1782579550491,0,0,2
65,1782579550559,0,0,2
66,1782579550891,0,0,2
67,1782579552156,0,0,2
68,1782579552490,0,0,2
69,1782579552956,0,0,2
70,1782579553405,0,0,2
71,1782579554288,0,0,2
72,1782579554671,0,0,2
73,1782579555488,0,0,2
74,1782579556803,0,0,2
75,1782579558801,0,0,2
76,1782579560932,0,0,2
77,1782579561300,0,0,2
78,1782579562181,0,0,2
79,1782579563047,0,0,2
80,1782579563464,0,0,2
81,1782579564030,0,0,2
82,1782579564464,0,0,2
83,1782579565112,0,0,2
84,1782579565246,0,0,2
85,1782579566163,0,0,2
86,1782579566594,0,0,2
87,1782579567693,0,0,2
88,1782579568942,0,0,2
89,1782579569858,0,0,2
90,1782579569992,0,0,2
91,1782579570342,0,0,2
92,1782579571857,0,0,2
93,1782579572123,0,0,2
94,1782579573006,0,0,2
95,1782579573389,0,0,2
96,1782579575387,0,0,2
97,1782579575737,0,0,2
98,1782579576653,0,0,2
99,1782579576970,0,0,2
100,1782579577885,0,0,2
101,1782579579085,0,0,2
102,1782579579384,0,0,2
103,1782579580284,0,0,2
104,1782579580616,0,0,2
105,1782579581765,0,0,2
106,1782579582664,0,0,2
107,1782579583032,0,0,2
108,1782579585079,0,0,2
109,1782579585495,0,0,2
110,1782579586411,0,0,2
111,1782579586711,0,0,2
112,1782579587294,0,0,2
113,1782579588260,0,0,2
114,1782579588626,0,0,2
115,1782579589442,0,0,2
116,1782579590325,0,0,2
117,1782579590758,0,0,2
118,1782579592423,0,0,2
