index,date,INV_STATE_R_MOTOR,FAILURE_R_MOTOR,ALARM_R_MOTOR
0,1782579299203,0,0,110
1,1782579299537,0,0,110
2,1782579300220,0,0,110
3,1782579300536,0,0,110
4,1782579300869,0,0,110
5,1782579301285,0,0,110
6,1782579302135,0,0,110
7,1782579302284,0,0,110
8,1782579302501,0,0,110
9,1782579302916,0,0,110
10,1782579303183,0,0,110
11,1782579303533,0,0,110
12,1782579304083,0,0,110
13,1782579304349,0,0,110
14,1782579308196,1,0,110
15,1782579308579,1,0,110
16,1782579309462,1,0,110
17,1782579309694,1,0,110
18,1782579310911,0,0,110
19,1782579311893,0,0,110
20,1782579312126,0,0,110
21,1782579313375,0,0,110
22,1782579315192,0,0,110
23,1782579315573,0,0,110
24,1782579316422,0,0,110
25,1782579517937,0,0,0
26,1782579518535,0,0,0
27,1782579518568,0,0,0
28,1782579519151,0,0,0
29,1782579519734,0,0,0
30,1782579520333,0,0,0
31,1782579520967,0,0,0
32,1782579522849,0,0,0
33,1782579523115,0,0,0
34,1782579525096,0,0,110
35,1782579525380,0,0,110
36,1782579525696,0,0,110
37,1782579531424,0,0,110
38,1782579536153,0,0,110
39,1782579536819,0,0,110
40,1782579538418,0,0,110
41,1782579538652,0,0,110
42,1782579538968,0,0,110
43,1782579539151,0,0,110
44,1782579539584,0,0,110
45,1782579539850,0,0,110
46,1782579540117,0,0,110
47,1782579540416,0,0,110
48,1782579540600,0,0,110
49,1782579543247,0,0,110
50,1782579543314,0,0,110
51,1782579543913,0,0,110
52,1782579544147,0,0,110
53,1782579544481,0,0,110
54,1782579544763,0,0,110
55,1782579545062,0,0,110
56,1782579546178,0,0,110
57,1782579546478,0,0,110
58,1782579546678,0,0,110
59,1782579546962,0,0,110
60,1782579547261,0,0,110
61,1782579547560,0,0,110
62,1782579547811,0,0,110
63,1782579549109,1,0,110
64,1782579549392,1,0,110
65,1782579549775,1,0,110
66,1782579550109,1,0,110
67,1782579550559,1,0,110
68,1782579550941,1,0,110
69,1782579552156,1,0,110
70,1782579552523,1,0,110
71,1782579552973,1,0,110
