index,date,DISTANCE_P_ODOM,DISTANCE_T_ODOM
0,1782579299020,0,0
1,1782579299320,0,0
2,1782579299637,0,0
3,1782579299686,0,0
4,1782579300019,0,0
5,1782579300319,0,0
6,1782579300619,0,0
7,1782579300968,0,0
8,1782579302385,0,0
9,1782579302683,0,0
10,1782579304549,0,0
11,1782579304832,0,0
12,1782579305082,0,0
13,1782579305398,0,0
14,1782579305681,0,0
15,1782579305965,0,0
16,1782579307946,7,0
17,1782579308363,9,0
18,1782579310627,40,0
19,1782579311010,42,0
20,1782579313077,44,0
21,1782579314894,44,0
22,1782579315307,44,0
23,1782579316206,44,0
24,1782579316522,44,0
25,1782579518052,0,0
26,1782579518668,0,0
27,1782579519252,0,0
28,1782579519834,0,0
29,1782579520417,0,0
30,1782579521066,0,0
31,1782579521149,0,0
32,1782579521732,0,0
33,1782579522048,0,0
34,1782579522332,0,0
35,1782579522632,0,0
36,1782579522982,0,0
37,1782579523247,0,0
38,1782579523481,0,0
39,1782579524313,0,0
40,1782579524630,0,0
41,1782579524946,0,0
42,1782579525196,0,0
43,1782579525479,0,0
44,1782579525830,0,0
45,1782579525995,0,0
46,1782579527394,0,0
47,1782579527711,0,0
48,1782579527994,0,0
49,1782579528276,0,0
50,1782579533089,0,0
51,1782579538518,0,0
52,1782579538736,0,0
53,1782579539051,0,0
54,1782579539268,0,0
55,1782579539684,0,0
56,1782579539950,0,0
57,1782579540233,0,0
58,1782579540550,0,0
59,1782579540699,0,0
60,1782579543681,0,0
61,1782579544014,0,0
62,1782579544281,0,0
63,1782579544613,0,0
64,1782579544879,0,0
65,1782579545146,0,0
66,1782579545379,0,0
67,1782579546796,0,0
68,1782579547061,0,0
69,1782579547910,0,0
70,1782579548027,0,0
71,1782579548294,0,0
72,1782579548909,0,0
73,1782579549209,0,0
74,1782579549559,0,0
75,1782579550658,0,0
76,1782579551890,2,0
77,1782579552256,2,0
78,1782579553090,4,0
79,1782579553988,7,0
80,1782579554388,7,0
81,1782579556104,13,0
