index,date,ERROR_ID,STACk_ERROR_OVER,CELL_ERROR_OVER,MAX_CELL_VOLTAGE,1,2,3,4
0,1765895626084,41120,0,0,0.87,0,0,0,0
1,1765895667651,33293,32985,23513,2.57,0,0,0,0
2,1765895911691,13104,14849,0,0.15,0,0,0,0
3,1765896281647,0,0,0,0,0,0,0,0
4,1765896412336,96,1280,17414,1.33,0,0,0,0
5,1765896472620,34983,34237,33046,1.99,0,0,0,0
6,1765897965657,0,0,0,0,0,0,0,0
7,1765898078511,3072,0,0,0,0,0,0,0
