index,date,TEMPERATURE,1,2,3,4,5,6,7
0,1765895323037,-815,0,0,0,0,0,0,0
1,1765895323087,-808,0,0,0,0,0,0,0
2,1765895323137,-816,0,0,0,0,0,0,0
3,1765895323187,-796,0,0,0,0,0,0,0
4,1765895323236,-804,0,0,0,0,0,0,0
5,1765895323286,-800,0,0,0,0,0,0,0
6,1765895323336,-790,0,0,0,0,0,0,0
7,1765895323386,-792,0,0,0,0,0,0,0
8,1765895323436,-794,0,0,0,0,0,0,0
9,1765895323486,-796,0,0,0,0,0,0,0
10,1765895323536,-792,0,0,0,0,0,0,0
11,1765895323586,-796,0,0,0,0,0,0,0
12,1765895323636,-790,0,0,0,0,0,0,0
13,1765895323686,-790,0,0,0,0,0,0,0
14,1765895323736,-790,0,0,0,0,0,0,0
15,1765895323786,-792,0,0,0,0,0,0,0
16,1765895323836,-780,0,0,0,0,0,0,0
17,1765895323886,-784,0,0,0,0,0,0,0
18,1765895323938,-782,0,0,0,0,0,0,0
19,1765895325068,-773,0,0,0,0,0,0,0
20,1765895326400,-757,0,0,0,0,0,0,0
21,1765895459355,-798,0,0,0,0,0,0,0
22,1765895459523,-794,0,0,0,0,0,0,0
23,1765895459588,-790,0,0,0,0,0,0,0
24,1765895459758,-792,0,0,0,0,0,0,0
25,1765895459821,-792,0,0,0,0,0,0,0
26,1765895460004,-788,0,0,0,0,0,0,0
27,1765895460055,-786,0,0,0,0,0,0,0
28,1765895460237,-781,0,0,0,0,0,0,0
29,1765895460274,-782,0,0,0,0,0,0,0
30,1765895464769,-734,0,0,0,0,0,0,0
31,1765895479022,-707,0,0,0,0,0,0,0
32,1765895481952,-695,0,0,0,0,0,0,0
33,1765895483650,-697,0,0,0,0,0,0,0
34,1765895485732,-689,0,0,0,0,0,0,0
35,1765895490895,-676,0,0,0,0,0,0,0
36,1765895492326,-684,0,0,0,0,0,0,0
37,1765895494492,-660,0,0,0,0,0,0,0
38,1765895496224,-668,0,0,0,0,0,0,0
39,1765895499221,-666,0,0,0,0,0,0,0
40,1765895500170,-662,0,0,0,0,0,0,0
41,1765895505882,-652,0,0,0,0,0,0,0
42,1765895509781,-645,0,0,0,0,0,0,0
43,1765895517223,-645,0,0,0,0,0,0,0
44,1765895518339,-633,0,0,0,0,0,0,0
45,1765895522753,-629,0,0,0,0,0,0,0
46,1765895544768,-592,0,0,0,0,0,0,0
47,1765895545117,-592,0,0,0,0,0,0,0
48,1765895552562,-588,0,0,0,0,0,0,0
49,1765895553643,-594,0,0,0,0,0,0,0
50,1765895555725,-586,0,0,0,0,0,0,0
51,1765895556808,-587,0,0,0,0,0,0,0
52,1765895562119,-582,0,0,0,0,0,0,0
53,1765895564285,-575,0,0,0,0,0,0,0
54,1765895570246,-557,0,0,0,0,0,0,0
55,1765895573027,-566,0,0,0,0,0,0,0
56,1765895584803,-538,0,0,0,0,0,0,0
57,1765895586717,-534,0,0,0,0,0,0,0
58,1765895587051,-532,0,0,0,0,0,0,0
59,1765895591813,-519,0,0,0,0,0,0,0
60,1765895595941,-519,0,0,0,0,0,0,0
61,1765895596940,-524,0,0,0,0,0,0,0
62,1765895598206,-524,0,0,0,0,0,0,0
63,1765895600288,-526,0,0,0,0,0,0,0
64,1765895600637,-520,0,0,0,0,0,0,0
65,1765895601503,-509,0,0,0,0,0,0,0
66,1765895602536,-517,0,0,0,0,0,0,0
67,1765895603352,-509,0,0,0,0,0,0,0
68,1765895603943,-516,0,0,0,0,0,0,0
69,1765895616088,-503,0,0,0,0,0,0,0
70,1765895617008,-495,0,0,0,0,0,0,0
71,1765895623569,-3559,0,0,0,0,0,0,0
72,1765895628896,-497,0,0,0,0,0,0,0
73,1765895635925,-487,0,0,0,0,0,0,0
74,1765895639973,-478,0,0,0,0,0,0,0
75,1765895644132,-472,0,0,0,0,0,0,0
76,1765895644998,-478,0,0,0,0,0,0,0
77,1765895646997,-464,0,0,0,0,0,0,0
78,1765895649128,-466,0,0,0,0,0,0,0
79,1765895650344,-472,0,0,0,0,0,0,0
80,1765895651409,-466,0,0,0,0,0,0,0
81,1765895651792,-462,0,0,0,0,0,0,0
82,1765895655374,-462,0,0,0,0,0,0,0
83,1765895657837,-464,0,0,0,0,0,0,0
84,1765895659436,-460,0,0,0,0,0,0,0
85,1765895661151,-458,0,0,0,0,0,0,0
86,1765895662300,-462,0,0,0,0,0,0,0
87,1765895662717,-462,0,0,0,0,0,0,0
88,1765895664283,-458,0,0,0,0,0,0,0
89,1765895667917,-458,0,0,0,0,0,0,0
90,1765895673624,-454,0,0,0,0,0,0,0
91,1765895676956,-450,0,0,0,0,0,0,0
92,1765895677153,-444,0,0,0,0,0,0,0
93,1765895677586,-452,0,0,0,0,0,0,0
94,1765895695742,-452,0,0,0,0,0,0,0
95,1765895696558,-437,0,0,0,0,0,0,0
96,1765895698190,-430,0,0,0,0,0,0,0
97,1765895703187,-435,0,0,0,0,0,0,0
98,1765895707264,-425,0,0,0,0,0,0,0
99,1765895707615,-423,0,0,0,0,0,0,0
100,1765895711911,-419,0,0,0,0,0,0,0
101,1765895717922,-402,0,0,0,0,0,0,0
102,1765895729361,-402,0,0,0,0,0,0,0
103,1765895732708,-402,0,0,0,0,0,0,0
104,1765895734272,-400,0,0,0,0,0,0,0
105,1765895735489,-402,0,0,0,0,0,0,0
106,1765895737537,-402,0,0,0,0,0,0,0
107,1765895740252,-395,0,0,0,0,0,0,0
108,1765895756954,-397,0,0,0,0,0,0,0
109,1765895758869,-384,0,0,0,0,0,0,0
110,1765895770809,-390,0,0,0,0,0,0,0
111,1765895772407,-382,0,0,0,0,0,0,0
112,1765895772774,-379,0,0,0,0,0,0,0
113,1765895776354,-377,0,0,0,0,0,0,0
114,1765895778821,-384,0,0,0,0,0,0,0
115,1765895780137,-379,0,0,0,0,0,0,0
116,1765895782053,-375,0,0,0,0,0,0,0
117,1765895785017,-384,0,0,0,0,0,0,0
118,1765895786416,-369,0,0,0,0,0,0,0
119,1765895789613,-365,0,0,0,0,0,0,0
120,1765895790778,-371,0,0,0,0,0,0,0
121,1765895794209,-367,0,0,0,0,0,0,0
122,1765895794559,-357,0,0,0,0,0,0,0
123,1765895798089,-361,0,0,0,0,0,0,0
124,1765895803084,-353,0,0,0,0,0,0,0
125,1765895804383,-355,0,0,0,0,0,0,0
