index,date,ERROR_MASK,ERROR_LOG_1,ERROR_LOG_2,ERROR_LOG_3
196,1780261908124,0,0,0,7916
197,1780261909325,0,0,0,0
198,1780261912208,0,0,0,0
199,1780261915958,0,0,0,0
200,1780261920707,0,0,0,0
201,1780261921607,0,0,0,0
202,1780261921893,0,0,0,0
203,1780261925325,0,0,0,0
204,1780261929940,0,0,0,0
205,1780261934107,0,0,0,0
206,1780261934273,0,0,0,0
207,1780261936623,0,0,0,0
208,1780261937115,0,0,0,0
209,1780261939056,0,0,0,0
210,1780261940840,0,0,0,0
211,1780261942156,0,0,0,0
212,1780261947806,0,0,0,0
213,1780261948124,0,0,0,0
214,1780261949457,0,0,0,0
215,1780261956539,0,0,0,0
216,1780261965622,2,2,0,0
217,1780261975937,2,2,0,0
218,1780261976470,2,2,0,0
219,1780261982321,2,2,0,0
220,1780261983721,2,2,0,0
221,1780262050216,0,0,0,0
222,1780262051450,0,0,0,0
223,1780262060333,0,0,0,0
224,1780262062349,0,0,0,0
225,1780262064250,0,0,0,0
226,1780262067216,0,0,0,0
227,1780262074332,0,0,0,0
228,1780262082898,0,0,0,0
229,1780262083349,0,0,0,0
230,1780262094831,0,0,0,0
231,1780262098763,0,0,0,0
232,1780262099096,0,0,0,0
233,1780262100715,0,0,0,0
234,1780262102363,0,0,0,0
235,1780262104747,0,0,0,0
236,1780262106396,0,0,0,0
237,1780262106981,0,0,0,0
238,1780262108796,0,0,0,0
239,1780262111130,0,0,0,0
240,1780262114313,0,0,0,0
241,1780262117329,0,0,0,0
242,1780262119597,0,0,0,0
243,1780262120698,0,0,0,0
244,1780262121564,0,0,0,0
245,1780262121979,0,0,0,0
246,1780262125247,0,0,0,0
247,1780262126730,0,0,0,0
248,1780262128662,0,0,0,0
249,1780262137696,0,0,0,0
250,1780262140828,0,0,0,0
251,1780262140961,0,0,0,0
252,1780262141945,0,0,0,0
253,1780262144010,0,0,0,0
254,1780262144712,0,0,0,0
255,1780262146361,0,0,0,0
256,1780262166727,0,0,0,0
257,1780262172510,0,0,0,0
258,1780262173009,0,0,0,0
259,1780262173909,0,0,0,0
260,1780262175143,0,0,0,0
261,1780262175642,0,0,0,0
262,1780262177659,0,0,0,0
263,1780262184009,0,0,0,0
264,1780262184225,0,0,0,0
265,1780262184643,0,0,0,0
266,1780262185959,0,0,0,0
267,1780262189410,0,0,0,0
268,1780262192641,0,0,0,0
269,1780262282069,0,0,0,0
270,1780262284686,0,0,0,0
271,1780262285186,0,0,0,0
272,1780262286707,0,0,0,0
273,1780262286871,0,0,0,0
