index,date,CELL1,CELL2,CELL3,CELL4
0,1782582856910,50,32,34,31
1,1782582864603,50,32,34,31
2,1782582866484,50,32,34,31
3,1782582879175,50,32,34,31
4,1782582883886,50,32,34,31
5,1782582894494,50,32,34,31
