index,date,DESIRED_YAW,MAX_YAW
842,1782583002353,0,0
843,1782583002637,0,0
844,1782583003136,0,0
845,1782583003719,0,0
846,1782583004085,0,0
847,1782583004451,0,0
848,1782583005700,0,0
849,1782583131812,0,0
850,1782583132127,0,0
851,1782583132810,0,0
852,1782583134209,0,0
853,1782583134609,0,0
854,1782583138389,0,0
855,1782583138706,0,0
856,1782583139571,0,0
857,1782583139904,0,0
858,1782583142019,0,0
859,1782583145799,0,0
860,1782583146149,0,0
861,1782583147015,0,0
862,1782583147365,0,0
863,1782583147749,0,0
864,1782583148947,0,0
865,1782583149147,0,0
866,1782583151478,0,0
867,1782583151811,0,0
868,1782583152111,0,0
869,1782583156490,0,0
870,1782583156740,0,0
871,1782583160270,0,0
872,1782583160620,0,0
873,1782583160870,0,0
874,1782583161702,0,0
875,1782583162037,0,0
876,1782583162419,0,0
877,1782583162685,0,0
878,1782583163085,0,0
879,1782583163334,0,0
880,1782583164334,0,0
881,1782583164750,0,0
882,1782583165100,0,0
883,1782583166282,0,0
884,1782583170046,0,0
885,1782583170379,0,0
886,1782583170612,0,0
887,1782583171527,0,0
888,1782583171911,0,0
889,1782583172260,0,0
890,1782583172576,0,0
891,1782583173359,0,0
892,1782583173709,0,0
893,1782583177223,0,0
894,1782583177856,0,0
895,1782583178688,0,0
896,1782583179088,0,0
897,1782583179371,0,0
898,1782583179754,0,0
899,1782583180154,0,0
900,1782583180503,0,0
901,1782583181036,0,0
902,1782583181919,0,0
903,1782583182335,0,0
904,1782583182968,0,0
905,1782583183218,0,0
906,1782583183767,0,0
907,1782583184218,0,0
908,1782583184899,0,0
909,1782583185283,0,0
910,1782583185399,0,0
911,1782583185798,0,0
912,1782583186399,0,0
913,1782583186848,0,0
914,1782583187497,0,0
915,1782583188047,0,0
916,1782583189163,0,0
917,1782583189762,0,0
918,1782583190029,0,0
919,1782583190729,0,0
920,1782583191344,0,0
921,1782583191794,0,0
922,1782583193259,0,0
923,1782583194392,0,0
924,1782583195890,0,0
925,1782583196989,0,0
926,1782583197573,0,0
927,1782583198221,0,0
928,1782583198638,0,0
929,1782583199637,0,0
930,1782583200103,0,0
931,1782583200553,0,0
932,1782583201552,0,0
933,1782583202501,0,0
934,1782583203034,0,0
935,1782583203434,0,0
936,1782583203800,0,0
937,1782583204367,0,0
938,1782583206532,0,0
939,1782583206898,0,0
940,1782583207796,0,0
941,1782583208762,0,0
942,1782583209128,0,0
943,1782583209528,0,0
944,1782583210628,0,0
945,1782583211660,0,0
946,1782583212678,0,0
947,1782583213259,0,0
948,1782583214940,0,0
949,1782583216039,0,0
950,1782583217555,0,0
951,1782583217971,0,0
952,1782583218921,0,0
953,1782583219220,0,0
954,1782583219470,0,0
955,1782583220486,0,0
956,1782583221419,0,0
957,1782583222468,0,0
958,1782583223117,0,0
959,1782583224700,0,0
960,1782583225748,0,0
961,1782583226664,0,0
962,1782583227264,0,0
963,1782583227713,0,0
964,1782583228379,0,0
965,1782583229012,0,0
966,1782583230011,0,0
967,1782583231010,0,0
968,1782583231277,0,0
969,1782583231493,0,0
970,1782583231944,0,0
971,1782583232925,0,0
972,1782583233892,0,0
973,1782583235107,0,0
974,1782583235456,0,0
975,1782583237338,0,0
976,1782583238404,0,0
977,1782583238571,0,0
978,1782583238921,0,0
979,1782583241485,0,0
980,1782583241868,0,0
981,1782583242518,0,0
982,1782583242934,0,0
983,1782583244083,0,0
984,1782583244532,0,0
985,1782583245149,0,0
986,1782583245582,0,0
987,1782583245865,0,0
988,1782583247829,0,0
989,1782583248645,0,0
990,1782583249562,0,0
991,1782583250377,0,0
992,1782583252576,0,0
993,1782583252908,0,0
994,1782583253226,0,0
995,1782583254390,0,0
996,1782583254707,0,0
997,1782583254990,0,0
998,1782583255357,0,0
999,1782583255689,0,0
1000,1782583255906,0,0
1001,1782583256389,0,0
1002,1782583256972,0,0
1003,1782583257321,0,0
1004,1782583257655,0,0
1005,1782583258021,0,0
1006,1782583258570,0,0
1007,1782583258837,0,0
1008,1782583260669,0,0
1009,1782583262068,0,0
1010,1782583262417,0,0
1011,1782583263067,0,0
1012,1782583263366,0,0
1013,1782583263916,0,0
1014,1782583264199,0,0
1015,1782583264566,0,0
1016,1782583265165,0,0
1017,1782583265798,0,0
1018,1782583266747,0,0
1019,1782583267080,0,0
1020,1782583267379,0,0
1021,1782583267697,0,0
