index,date,ERROR_ID,STACK_ERROR_UNDER,CELL_ERROR_UNDER,MIN_CELL_VOLTAGE,5,6,7,8
0,1765568974633,0,5,4,3.26,0,0,0,0
1,1765568979664,0,5,4,3.26,0,0,0,0
2,1765568981381,0,5,4,3.26,0,0,0,0
3,1765568991764,0,5,4,3.26,0,0,0,0
4,1765568993597,0,5,4,3.26,0,0,0,0
5,1765568995448,0,5,4,3.26,0,0,0,0
6,1765569004182,0,5,4,3.26,0,0,0,0
7,1765569005981,0,5,4,3.26,0,0,0,0
8,1765569007682,0,5,4,3.26,0,0,0,0
9,1765569021097,0,5,4,3.26,0,0,0,0
10,1765569022830,0,5,4,3.26,0,0,0,0
11,1765569024598,0,5,4,3.26,0,0,0,0
12,1765569026164,0,5,4,3.26,0,0,0,0
13,1765569028230,0,5,4,3.26,0,0,0,0
14,1765569031980,0,5,4,3.26,0,0,0,0
15,1765569033848,0,5,4,3.26,0,0,0,0
16,1765569035564,0,5,4,3.26,0,0,0,0
17,1765569050681,0,5,4,3.26,0,0,0,0
18,1765569053997,0,5,4,3.26,0,0,0,0
19,1765569059314,0,5,4,3.26,0,0,0,0
20,1765569061097,0,5,4,3.26,0,0,0,0
21,1765569066664,0,5,4,3.26,0,0,0,0
22,1765569068513,0,5,4,3.26,0,0,0,0
23,1765569071965,0,5,4,3.26,0,0,0,0
