index,date,MAX_VOLTAGE,MIN_VOLTAGE,TOTAL_VOLTAGE,SHUNT_VOLTAGE,1,2,3,4
0,1765568974633,3.29,3.26,78.7,0,0,0,0,0
1,1765568976365,3.29,3.26,78.7,0,0,0,0,0
2,1765568978099,3.29,3.26,78.7,0,0,0,0,0
3,1765568979648,3.29,3.26,78.7,0,0,0,0,0
4,1765568979847,3.29,3.26,78.7,0,0,0,0,0
5,1765568981365,3.29,3.26,78.7,0,0,0,0,0
6,1765568983181,3.29,3.26,78.7,0,0,0,0,0
7,1765568984698,3.29,3.26,78.7,0,0,0,0,0
8,1765568984831,3.29,3.26,78.7,0,0,0,0,0
9,1765568986481,3.29,3.26,78.7,0,0,0,0,0
10,1765568988181,3.29,3.26,78.7,0,0,0,0,0
11,1765568989997,3.29,3.26,78.7,0,0,0,0,0
12,1765568991514,3.29,3.26,78.7,0,0,0,0,0
13,1765568991714,3.29,3.26,78.7,0,0,0,0,0
14,1765568993597,3.29,3.26,78.7,0,0,0,0,0
15,1765568995448,3.29,3.26,78.7,0,0,0,0,0
16,1765568997281,3.29,3.26,78.7,0,0,0,0,0
17,1765568999147,3.29,3.26,78.7,0,0,0,0,0
18,1765569000881,3.29,3.26,78.7,0,0,0,0,0
19,1765569002498,3.29,3.26,78.7,0,0,0,0,0
20,1765569002631,3.29,3.26,78.7,0,0,0,0,0
21,1765569004164,3.29,3.26,78.7,0,0,0,0,0
22,1765569005965,3.29,3.26,78.7,0,0,0,0,0
23,1765569007514,3.29,3.26,78.7,0,0,0,0,0
24,1765569007714,3.29,3.26,78.7,0,0,0,0,0
25,1765569009298,3.29,3.26,78.7,0,0,0,0,0
26,1765569009464,3.29,3.26,78.7,0,0,0,0,0
27,1765569011014,3.29,3.26,78.7,0,0,0,0,0
28,1765569012787,3.29,3.26,78.7,0,0,0,0,0
29,1765569014364,3.29,3.26,78.7,0,0,0,0,0
30,1765569014498,3.29,3.26,78.7,0,0,0,0,0
31,1765569016063,3.29,3.26,78.7,0,0,0,0,0
32,1765569017798,3.29,3.26,78.7,0,0,0,0,0
33,1765569019331,3.29,3.26,78.7,0,0,0,0,0
34,1765569019480,3.29,3.26,78.7,0,0,0,0,0
35,1765569021081,3.29,3.26,78.7,0,0,0,0,0
36,1765569022781,3.29,3.26,78.7,0,0,0,0,0
37,1765569024630,3.29,3.26,78.7,0,0,0,0,0
38,1765569026131,3.29,3.26,78.7,0,0,0,0,0
39,1765569026381,3.29,3.26,78.7,0,0,0,0,0
40,1765569028064,3.29,3.26,78.7,0,0,0,0,0
41,1765569028230,3.29,3.26,78.7,0,0,0,0,0
42,1765569030081,3.29,3.26,78.7,0,0,0,0,0
43,1765569031930,3.29,3.26,78.7,0,0,0,0,0
44,1765569033830,3.29,3.26,78.7,0,0,0,0,0
45,1765569035513,3.29,3.26,78.7,0,0,0,0,0
46,1765569037164,3.29,3.26,78.7,0,0,0,0,0
47,1765569037314,3.29,3.26,78.7,0,0,0,0,0
48,1765569038864,3.29,3.26,78.7,0,0,0,0,0
49,1765569040614,3.29,3.26,78.7,0,0,0,0,0
50,1765569042130,3.29,3.26,78.7,0,0,0,0,0
51,1765569042297,3.29,3.26,78.7,0,0,0,0,0
52,1765569043897,3.29,3.26,78.7,0,0,0,0,0
53,1765569045630,3.29,3.26,78.7,0,0,0,0,0
54,1765569047380,3.29,3.26,78.7,0,0,0,0,0
55,1765569048964,3.29,3.26,78.7,0,0,0,0,0
56,1765569049131,3.29,3.26,78.7,0,0,0,0,0
57,1765569050681,3.29,3.26,78.7,0,0,0,0,0
58,1765569052463,3.29,3.26,78.7,0,0,0,0,0
59,1765569053981,3.29,3.26,78.7,0,0,0,0,0
60,1765569054146,3.29,3.26,78.7,0,0,0,0,0
61,1765569055730,3.29,3.26,78.7,0,0,0,0,0
62,1765569057447,3.29,3.26,78.7,0,0,0,0,0
63,1765569059296,3.29,3.26,78.7,0,0,0,0,0
64,1765569061079,3.29,3.26,78.7,0,0,0,0,0
65,1765569062963,3.29,3.26,78.7,0,0,0,0,0
66,1765569064797,3.29,3.26,78.7,0,0,0,0,0
67,1765569066630,3.29,3.26,78.7,0,0,0,0,0
68,1765569068497,3.29,3.26,78.7,0,0,0,0,0
69,1765569070230,3.29,3.26,78.7,0,0,0,0,0
70,1765569071814,3.29,3.26,78.7,0,0,0,0,0
71,1765569071965,3.29,3.26,78.7,0,0,0,0,0
