index,date,INVERSOR_STATE,FAILURE,ALARM,1,2,3,4,5
0,1765223565778,1,0,0,0,0,0,0,0
1,1765223565927,1,0,0,0,0,0,0,0
2,1765223566210,1,0,0,0,0,0,0,0
3,1765223566693,0,0,0,0,0,0,0,0
4,1765223567129,0,0,0,0,0,0,0,0
5,1765223567428,0,0,0,0,0,0,0,0
6,1765223567845,0,0,0,0,0,0,0,0
7,1765223568128,0,0,0,0,0,0,0,0
8,1765223568561,1,0,0,0,0,0,0,0
9,1765223568827,1,0,0,0,0,0,0,0
10,1765223568944,1,0,0,0,0,0,0,0
11,1765223569243,1,0,0,0,0,0,0,0
12,1765223569626,1,0,0,0,0,0,0,0
13,1765223569943,1,0,0,0,0,0,0,0
14,1765223570327,1,0,0,0,0,0,0,0
15,1765223570628,1,0,0,0,0,0,0,0
16,1765223571042,1,0,0,0,0,0,0,0
17,1765223571327,1,0,0,0,0,0,0,0
18,1765223571760,1,0,0,0,0,0,0,0
19,1765223572026,1,0,0,0,0,0,0,0
20,1765223572143,1,0,0,0,0,0,0,0
21,1765223572460,1,0,0,0,0,0,0,0
22,1765223572861,1,0,0,0,0,0,0,0
23,1765223573176,1,0,0,0,0,0,0,0
24,1765223573610,1,0,0,0,0,0,0,0
25,1765223573877,1,0,0,0,0,0,0,0
26,1765223573993,1,0,0,0,0,0,0,0
27,1765223574278,1,0,0,0,0,0,0,0
28,1765223574577,1,0,0,0,0,0,0,0
29,1765223574678,1,0,0,0,0,0,0,0
30,1765223575026,1,0,0,0,0,0,0,0
31,1765223575411,1,0,0,0,0,0,0,0
32,1765223575727,1,0,0,0,0,0,0,0
33,1765223576126,1,0,0,0,0,0,0,0
34,1765223576427,1,0,0,0,0,0,0,0
35,1765223576509,1,0,0,0,0,0,0,0
36,1765223576843,1,0,0,0,0,0,0,0
37,1765223577228,1,0,0,0,0,0,0,0
38,1765223577576,1,0,0,0,0,0,0,0
39,1765223577962,1,0,0,0,0,0,0,0
40,1765223578276,1,0,0,0,0,0,0,0
41,1765223578393,1,0,0,0,0,0,0,0
42,1765223578677,1,0,0,0,0,0,0,0
43,1765223578961,1,0,0,0,0,0,0,0
44,1765223579059,1,0,0,0,0,0,0,0
45,1765223579375,1,0,0,0,0,0,0,0
46,1765223579777,1,0,0,0,0,0,0,0
47,1765223580112,1,0,0,0,0,0,0,0
48,1765223580493,1,0,0,0,0,0,0,0
49,1765223580827,1,0,0,0,0,0,0,0
50,1765223580927,1,0,0,0,0,0,0,0
51,1765223581228,1,0,0,0,0,0,0,0
52,1765223581677,1,0,0,0,0,0,0,0
53,1765223581943,1,0,0,0,0,0,0,0
54,1765223582360,1,0,0,0,0,0,0,0
55,1765223582660,1,0,0,0,0,0,0,0
56,1765223582776,1,0,0,0,0,0,0,0
57,1765223583044,1,0,0,0,0,0,0,0
58,1765223583511,1,0,0,0,0,0,0,0
59,1765223583794,1,0,0,0,0,0,0,0
60,1765223584210,1,0,0,0,0,0,0,0
61,1765223584495,1,0,0,0,0,0,0,0
62,1765223584926,1,0,0,0,0,0,0,0
63,1765223585225,1,0,0,0,0,0,0,0
64,1765223585326,1,0,0,0,0,0,0,0
65,1765223585610,1,0,0,0,0,0,0,0
66,1765223586044,1,0,0,0,0,0,0,0
67,1765223586310,1,0,0,0,0,0,0,0
68,1765223586776,1,0,0,0,0,0,0,0
69,1765223587060,1,0,0,0,0,0,0,0
70,1765223587177,1,0,0,0,0,0,0,0
71,1765223587493,1,0,0,0,0,0,0,0
72,1765223587777,1,0,0,0,0,0,0,0
73,1765223587877,1,0,0,0,0,0,0,0
74,1765223588227,1,0,0,0,0,0,0,0
75,1765223588625,1,0,0,0,0,0,0,0
76,1765223588910,1,0,0,0,0,0,0,0
77,1765223589310,1,0,0,0,0,0,0,0
78,1765223589594,1,0,0,0,0,0,0,0
79,1765223589710,1,0,0,0,0,0,0,0
80,1765223590042,1,0,0,0,0,0,0,0
81,1765223590459,1,0,0,0,0,0,0,0
82,1765223590760,1,0,0,0,0,0,0,0
83,1765223591158,1,0,0,0,0,0,0,0
84,1765223591494,1,0,0,0,0,0,0,0
85,1765223591594,1,0,0,0,0,0,0,0
86,1765223591877,1,0,0,0,0,0,0,0
87,1765223592161,1,0,0,0,0,0,0,0
88,1765223592276,1,0,0,0,0,0,0,0
89,1765223592610,1,0,0,0,0,0,0,0
90,1765223592992,1,0,0,0,0,0,0,0
91,1765223593344,1,0,0,0,0,0,0,0
92,1765223593477,1,0,0,0,0,0,0,0
93,1765223593743,1,0,0,0,0,0,0,0
94,1765223594211,1,0,0,0,0,0,0,0
95,1765223594493,1,0,0,0,0,0,0,0
96,1765223594927,1,0,0,0,0,0,0,0
97,1765223595261,1,0,0,0,0,0,0,0
98,1765223595377,1,0,0,0,0,0,0,0
99,1765223595662,1,0,0,0,0,0,0,0
100,1765223596110,1,0,0,0,0,0,0,0
101,1765223596394,1,0,0,0,0,0,0,0
102,1765223596510,1,0,0,0,0,0,0,0
103,1765223596859,1,0,0,0,0,0,0,0
104,1765223597295,1,0,0,0,0,0,0,0
105,1765223597610,1,0,0,0,0,0,0,0
106,1765223597726,1,0,0,0,0,0,0,0
107,1765223598045,1,0,0,0,0,0,0,0
108,1765223598460,0,0,0,0,0,0,0,0
109,1765223598810,0,0,0,0,0,0,0,0
110,1765223598944,0,0,0,0,0,0,0,0
111,1765223599243,0,0,0,0,0,0,0,0
112,1765223599709,0,0,0,0,0,0,0,0
113,1765223599994,0,0,0,0,0,0,0,0
114,1765223600461,1,0,0,0,0,0,0,0
115,1765223600742,1,0,0,0,0,0,0,0
116,1765223600875,1,0,0,0,0,0,0,0
117,1765223601143,1,0,0,0,0,0,0,0
118,1765223601610,1,0,0,0,0,0,0,0
119,1765223601877,1,0,0,0,0,0,0,0
120,1765223602310,1,0,0,0,0,0,0,0
121,1765223602611,1,0,0,0,0,0,0,0
122,1765223602709,1,0,0,0,0,0,0,0
123,1765223603027,1,0,0,0,0,0,0,0
124,1765223603410,1,0,0,0,0,0,0,0
125,1765223603727,1,0,0,0,0,0,0,0
126,1765223604110,1,0,0,0,0,0,0,0
127,1765223604412,1,0,0,0,0,0,0,0
