index,date,CONTROL_EVENT_FLAG_1,CONTROL_EVENT_FLAG_2
0,1782666859017,192,0
1,1782666859018,192,0
2,1782666859018,192,0
3,1782666859100,192,0
4,1782666859435,192,0
5,1782666859832,192,0
6,1782666861547,192,0
7,1782666865032,192,0
8,1782666865365,192,0
9,1782666865732,192,0
10,1782666866031,192,0
11,1782666866564,192,0
12,1782666866914,192,0
13,1782666867264,192,0
14,1782666868715,192,0
15,1782666868865,192,0
16,1782666869182,192,0
17,1782666869866,192,0
18,1782666870215,192,0
19,1782666871198,192,0
20,1782666871599,192,0
21,1782666871849,192,0
22,1782666872199,192,0
23,1782666872532,192,0
24,1782666873150,192,0
25,1782666873432,192,0
26,1782666873532,192,0
27,1782666874198,192,0
28,1782666874566,192,0
29,1782666876333,192,0
30,1782666878033,192,0
31,1782666879800,192,0
32,1782666880148,192,0
33,1782666880549,192,0
34,1782666880765,192,0
35,1782666880997,192,0
36,1782666881298,192,0
37,1782666881631,192,0
38,1782666881931,192,0
39,1782666882282,192,0
40,1782666882632,192,0
41,1782666883448,192,0
42,1782666884915,192,0
43,1782666885265,192,0
44,1782666885582,192,0
45,1782666886050,192,0
46,1782666886482,192,0
47,1782666886765,192,0
48,1782666887115,192,0
49,1782666887365,192,0
50,1782666887649,192,0
51,1782666888049,192,0
52,1782666888182,192,0
53,1782666888531,192,0
54,1782666888831,192,0
55,1782666889165,192,0
56,1782666889482,192,0
57,1782666892099,192,0
58,1782666892448,192,0
59,1782666892815,192,0
60,1782666893049,192,0
61,1782666893799,192,0
62,1782666894448,192,0
63,1782666894716,192,0
64,1782666895066,192,0
65,1782666897599,192,0
66,1782666899948,192,0
67,1782666902016,192,0
68,1782666902383,192,0
69,1782666902682,192,0
70,1782666902933,192,0
71,1782666903448,192,0
72,1782666903900,192,0
73,1782666907399,192,0
74,1782666908866,192,0
75,1782666909216,192,0
76,1782666909532,192,0
77,1782666909898,192,0
78,1782666910149,192,0
79,1782666910582,192,0
80,1782666911232,192,0
81,1782666911566,192,0
82,1782666911966,192,0
83,1782666912549,192,0
84,1782666912815,192,0
85,1782666913033,192,0
86,1782666913350,192,0
87,1782666916583,192,0
88,1782666916917,192,0
89,1782666917217,192,0
90,1782666917634,192,0
91,1782666918365,192,0
92,1782666919249,192,0
93,1782666919649,192,0
94,1782666919832,192,0
95,1782666925350,192,0
96,1782666927149,192,0
97,1782666928866,192,0
98,1782666929149,192,0
99,1782666929533,192,0
100,1782666929799,192,0
101,1782666930932,192,0
102,1782666931533,192,0
103,1782666931833,192,0
104,1782666932149,192,0
105,1782666933249,192,0
106,1782666933616,192,0
107,1782666933950,192,0
108,1782666934216,192,0
109,1782666934516,192,0
110,1782666934849,192,0
111,1782666935366,192,0
112,1782666935683,192,0
113,1782666936000,192,0
114,1782666936299,192,0
115,1782666936549,192,0
116,1782666936884,192,0
117,1782666937199,192,0
118,1782666937366,192,0
119,1782666937649,192,0
120,1782666938017,192,0
121,1782666941534,192,0
122,1782666941933,192,0
123,1782666942150,192,0
124,1782666943316,192,0
125,1782666943666,192,0
126,1782666943934,192,0
127,1782666944282,192,0
128,1782666944549,192,0
129,1782666947416,192,0
130,1782666947716,192,0
131,1782666948333,192,0
132,1782666949716,192,0
133,1782666950249,192,0
134,1782666950500,192,0
135,1782666950850,192,0
136,1782666951249,192,0
137,1782666952117,192,0
138,1782666952333,192,0
139,1782666952650,192,0
140,1782666954133,192,0
141,1782666955583,192,0
142,1782666955916,192,0
143,1782666956285,192,0
144,1782666956582,192,0
145,1782666956883,192,0
146,1782666957350,192,0
147,1782666957750,192,0
148,1782666958033,192,0
149,1782666965351,192,0
150,1782666965667,192,0
151,1782666965934,192,0
152,1782666966350,192,0
153,1782666966700,192,0
154,1782666966850,192,0
155,1782666967167,192,0
156,1782666967468,192,0
157,1782666967750,192,0
158,1782666968169,192,0
159,1782666969617,192,0
160,1782666976852,192,0
161,1782666977235,192,0
162,1782666977516,192,0
163,1782666981003,192,0
164,1782666981370,192,0
165,1782666982184,192,0
166,1782666982584,192,0
167,1782666984302,192,0
168,1782666986084,192,0
169,1782666987551,192,0
170,1782666987900,192,0
171,1782666988269,192,0
172,1782666988519,192,0
173,1782666988866,192,0
174,1782666989317,192,0
175,1782666989634,192,0
176,1782666989969,192,0
177,1782666990301,192,0
178,1782666990651,192,0
179,1782666991835,192,0
180,1782666996767,192,0
181,1782666997034,192,0
182,1782666998851,192,0
183,1782666998934,192,0
184,1782666999317,192,0
185,1782666999587,192,0
186,1782666999919,192,0
187,1782667000167,192,0
188,1782667000835,192,0
189,1782667001118,192,0
190,1782667001253,192,0
191,1782667001868,192,0
192,1782667002218,192,0
193,1782667002502,192,0
194,1782667002869,192,0
195,1782667003217,192,0
196,1782667003787,192,0
197,1782667004034,192,0
198,1782667009602,192,0
199,1782667009868,192,0
200,1782667010250,192,0
201,1782667010568,192,0
202,1782667011001,192,0
203,1782667011117,192,0
204,1782667011484,192,0
205,1782667011851,192,0
206,1782667012068,192,0
207,1782667433941,192,0
208,1782667434676,192,0
209,1782667435475,192,0
210,1782667436225,192,0
211,1782667436358,192,0
212,1782667437225,192,0
213,1782667437340,192,0
214,1782667438156,192,0
215,1782667438907,192,0
216,1782667439057,192,0
217,1782667439823,192,0
218,1782667440706,192,0
219,1782667442757,192,0
220,1782667444507,192,0
221,1782667444891,192,0
222,1782667445192,192,0
223,1782667445342,192,0
224,1782667445607,0,0
225,1782667445957,0,0
226,1782667446323,0,0
227,1782667446607,0,0
228,1782667448109,0,0
229,1782667449540,0,0
230,1782667449941,0,0
231,1782667450257,0,0
232,1782667451024,0,0
233,1782667451341,0,0
234,1782667451724,0,0
235,1782667452074,0,0
236,1782667452890,0,0
237,1782667453141,0,0
238,1782667453425,0,0
239,1782667453824,0,0
240,1782667455791,0,0
241,1782667456158,0,0
242,1782667456391,0,0
243,1782667456757,0,0
244,1782667457058,0,0
245,1782667457774,0,0
246,1782667458108,0,0
247,1782667458391,0,0
248,1782667459108,0,4
249,1782667459657,0,4
250,1782667460192,0,4
251,1782667460458,0,4
252,1782667460775,0,4
253,1782667461108,0,4
254,1782667461423,0,4
255,1782667474991,192,0
256,1782667475707,192,0
257,1782667476424,192,0
258,1782667477158,192,0
259,1782667477974,192,0
260,1782667478141,192,0
261,1782667478491,192,0
262,1782667478741,192,0
263,1782667480874,192,0
264,1782667484359,192,0
265,1782667485025,192,0
266,1782667485258,192,0
267,1782667486175,192,0
268,1782667486524,192,0
269,1782667486841,192,0
270,1782667490024,192,0
271,1782667491491,192,0
272,1782667491874,192,0
273,1782667492174,192,0
274,1782667492558,192,0
275,1782667492741,192,0
276,1782667492924,192,0
277,1782667493325,192,0
278,1782667493591,192,0
279,1782667495758,128,0
280,1782667500425,0,0
281,1782667501291,0,0
282,1782667502475,0,0
283,1782667502908,0,0
284,1782667503225,0,0
285,1782667503591,0,0
286,1782667503891,0,0
287,1782667505008,0,0
288,1782667505359,0,0
289,1782667509459,0,4
290,1782667511225,0,4
291,1782667511558,0,4
292,1782667511974,0,4
293,1782667512225,0,4
294,1782667512425,0,4
295,1782667512808,0,4
296,1782667513124,0,4
297,1782667516025,0,4
298,1782667516424,0,4
299,1782667516758,0,4
300,1782667517074,0,4
301,1782667517209,0,4
302,1782667517658,0,4
303,1782667520808,0,5
304,1782667521108,0,5
305,1782667521458,0,5
306,1782667521808,0,5
307,1782667521992,0,5
308,1782667523458,0,5
309,1782667523841,0,5
310,1782667524042,0,5
311,1782667526358,0,5
312,1782667528191,0,5
313,1782667528476,0,5
314,1782667529560,0,5
315,1782667529858,0,5
316,1782667532842,0,5
317,1782667533159,0,5
318,1782667533810,0,5
319,1782667534158,0,5
320,1782667534843,0,5
321,1782667535459,0,5
322,1782667537025,0,5
323,1782667538475,0,5
324,1782667538960,0,5
325,1782667539125,0,5
326,1782667539526,0,5
327,1782667540175,0,5
328,1782667541225,0,5
329,1782667541442,0,5
330,1782667541743,0,5
331,1782667542827,0,5
332,1782667543458,0,5
333,1782667543861,0,5
334,1782667544493,0,5
335,1782667545510,0,5
336,1782667546126,0,5
337,1782667547109,0,5
338,1782667547709,0,5
339,1782667549976,0,5
340,1782667550994,0,5
341,1782667551791,0,5
342,1782667552242,0,5
343,1782667553177,0,5
344,1782667553542,0,5
345,1782667554125,0,5
346,1782667554992,0,5
347,1782667555458,0,5
348,1782667556960,0,5
349,1782667558027,0,5
350,1782667558426,0,5
351,1782667558542,0,5
352,1782667559592,0,5
353,1782667560225,0,5
354,1782667560708,0,5
355,1782667560892,0,5
356,1782667561209,0,5
357,1782667561860,0,5
358,1782667562309,0,5
359,1782667563792,0,5
360,1782667564892,0,5
361,1782667566444,0,5
362,1782667567476,0,5
363,1782667568209,0,5
364,1782667568426,0,5
365,1782667569010,0,5
366,1782667569426,0,5
367,1782667570893,0,5
368,1782667571342,0,5
369,1782667571911,0,5
370,1782667700095,192,0
371,1782667700828,192,0
372,1782667701627,192,0
373,1782667702529,0,0
374,1782667705345,0,0
375,1782667706878,0,0
376,1782667707261,0,0
377,1782667707527,0,0
378,1782667707878,0,0
379,1782667708061,0,0
380,1782667708294,0,0
381,1782667708644,0,0
382,1782667708978,0,0
383,1782667712495,0,0
384,1782667713678,0,0
385,1782667714028,0,0
386,1782667714379,0,0
387,1782667714662,0,0
388,1782667715011,0,0
389,1782667715312,0,0
390,1782667715478,0,4
391,1782667715795,0,4
392,1782667716128,0,4
393,1782667719361,0,4
394,1782667719678,0,4
395,1782667720011,0,4
396,1782667721445,0,4
397,1782667721761,0,4
398,1782667722112,0,4
399,1782667722362,0,4
400,1782667722694,0,4
401,1782667723761,0,5
402,1782667724045,0,5
403,1782667729978,0,5
404,1782667731045,0,5
405,1782667731429,0,5
406,1782667731729,0,5
407,1782667732046,0,5
408,1782667732445,0,5
409,1782667732646,0,5
410,1782667732845,0,5
411,1782667733212,0,5
412,1782667733528,0,5
413,1782667733778,0,5
414,1782667734145,0,5
415,1782667734428,0,5
416,1782667735062,0,5
417,1782667735195,0,5
418,1782667735512,0,5
419,1782667735845,0,5
420,1782667736145,0,5
421,1782667738778,0,5
422,1782667739194,0,5
423,1782667739478,0,5
424,1782667739795,0,5
425,1782667740261,0,5
426,1782667740645,0,5
427,1782667740996,0,5
428,1782667744045,0,5
429,1782667744362,0,5
430,1782667744661,0,5
431,1782667744828,0,5
432,1782667745145,0,5
433,1782667745495,0,5
434,1782667745828,0,5
435,1782667747546,0,5
436,1782667747896,0,5
437,1782667748178,0,5
438,1782667748728,0,5
439,1782667749862,0,5
440,1782667750112,0,5
441,1782667750412,0,5
442,1782667750679,0,5
443,1782667750929,0,5
444,1782667751213,0,5
445,1782667751545,0,5
446,1782667751863,0,5
447,1782667768046,192,0
