index,date,TIMESTAMP
0,1782579299420,17825684977
1,1782579299952,17825684977
2,1782579300780,17825684977
3,1782579301518,17825685002
4,1782579303467,17825685017
5,1782579304666,17825685025
6,1782579305965,17825685045
7,1782579306714,17825685051
8,1782579308097,17825685070
9,1782579308845,17825685078
10,1782579309478,17825685081
11,1782579311093,17825685090
12,1782579311809,17825685090
13,1782579312542,17825685110
14,1782579314240,17825685121
15,1782579315042,17825685136
16,1782579315973,17825685143
17,1782579518168,17764149214
18,1782579519950,17764149214
19,1782579520616,17825684867
20,1782579523731,17825684887
21,1782579524413,17825684887
22,1782579525796,17825684887
23,1782579526361,17825684887
24,1782579526978,17825684887
25,1782579527711,17825684887
26,1782579528426,17825684887
27,1782579530375,17825684887
28,1782579530891,17825684887
29,1782579531607,17825684887
30,1782579532290,17825684887
31,1782579533589,17825684887
32,1782579534272,17825684887
33,1782579534971,17825684887
34,1782579535654,17825687337
35,1782579536903,17825687342
36,1782579539567,17825687382
37,1782579540266,17825687390
38,1782579540883,17825687390
39,1782579541416,17825687400
40,1782579542648,17825687416
41,1782579544564,17825687435
42,1782579546911,17825687460
43,1782579548177,17825687464
44,1782579549592,17825687483
45,1782579550375,17825687488
46,1782579550958,17825687496
47,1782579551740,17825687503
48,1782579552673,17825687516
49,1782579553306,17825687516
50,1782579555087,17825687540
51,1782579557568,17825687562
52,1782579558051,17825687567
53,1782579559917,17825687572
54,1782579560450,17825687572
55,1782579561366,17825687600
56,1782579562265,17825687612
57,1782579562848,17825687617
58,1782579563882,17825687626
59,1782579564763,17825687633
60,1782579566311,17825687646
61,1782579567677,17825687666
62,1782579568544,17825687667
63,1782579572323,17825687710
64,1782579573838,17825687722
65,1782579574588,17825687722
66,1782579575354,17825687737
67,1782579576136,17825687750
68,1782579576952,17825687760
69,1782579577652,17825687760
70,1782579579900,17825687785
71,1782579580766,17825687795
72,1782579581715,17825687795
73,1782579582265,17825687812
74,1782579583980,17825687825
75,1782579584530,17825687825
76,1782579585462,17825687825
77,1782579586378,17825687825
78,1782579586927,17825687825
79,1782579588010,17825687825
80,1782579588893,17825687825
81,1782579589458,17825687825
82,1782579590391,17825687825
83,1782579591857,17825687825
84,1782579592706,17825687825
85,1782579593505,17825687825
86,1782579594937,17825687825
87,1782579595803,17825687825
88,1782579597152,17825687825
89,1782579598018,17825687825
90,1782579598801,17825687825
91,1782579599451,17825687825
92,1782579600383,17825687825
93,1782579601165,17825687825
94,1782579601798,17825687825
95,1782579602631,17825687825
96,1782579603481,17825687825
97,1782579604080,17825687825
98,1782579605062,17825687825
99,1782579605946,17825687825
100,1782579606545,17825687825
101,1782579607427,17825687825
102,1782579608359,17825687825
103,1782579608876,17825687825
104,1782579609825,17825687825
105,1782579610791,17825687825
106,1782579611390,17825687825
107,1782579612239,17825687825
108,1782579613239,17825687825
109,1782579613805,17825687825
110,1782579614837,17825687825
111,1782579615803,17825687825
112,1782579616353,17825687825
113,1782579617302,17825687825
114,1782579618252,17825687825
115,1782579619666,17825687825
116,1782579620516,17825687825
117,1782579621082,17825687825
118,1782579621865,17825687825
119,1782579624097,17825687825
120,1782579624912,17825687825
121,1782579625612,17825687825
122,1782579626212,17825687825
123,1782579627160,17825687825
124,1782579627943,17825687825
125,1782579628643,17825687825
126,1782579630291,17825687825
127,1782579631040,17825687825
128,1782579631873,17825687825
129,1782579632706,17825687825
130,1782579633405,17825687825
131,1782579634338,17825687825
132,1782579635170,17825687825
133,1782579635836,17825687825
134,1782579636769,17825687825
135,1782579638184,17825687825
136,1782579641382,17825687825
137,1782579642315,17825687825
138,1782579643813,17825687825
139,1782579645245,17825687825
140,1782579646145,17825687825
141,1782579647460,17825687825
142,1782579649108,17825687825
143,1782579650391,17825687825
144,1782579652073,17825687825
145,1782579652689,17825687825
146,1782579653522,17825687825
147,1782579654371,17825687825
148,1782579655020,17825687825
149,1782579655920,17825687825
150,1782579656785,17825687825
151,1782579657385,17825687825
152,1782579658334,17825687825
153,1782579659267,17825687825
154,1782579659850,17825687825
155,1782579660732,17825687825
156,1782579664014,17825687825
157,1782579664645,17825687825
158,1782579665511,17825687825
159,1782579666444,17825687825
160,1782579667027,17825687825
161,1782579667993,17825687825
162,1782579668875,17825687825
163,1782579669525,17825687825
164,1782579671290,17825687825
165,1782579671939,17825687825
166,1782579672773,17825687825
167,1782579673572,17825687825
168,1782579674923,17825687825
169,1782579675721,17825687825
170,1782579676436,17825688154
171,1782579677052,17825687825
172,1782579677884,17825687825
173,1782579678067,17825687825
174,1782579678617,17825687825
175,1782579679333,17825687825
176,1782579680233,17825687825
177,1782579681698,17825687825
178,1782579682481,17825687825
179,1782579684912,17825687825
180,1782579686377,17825687825
181,1782579687343,17825687825
182,1782579688725,17825687825
183,1782579689608,17825687825
184,1782579690474,17825687825
185,1782579691057,17825687825
186,1782579691956,17825687825
187,1782579691973,17825687825
188,1782579692905,17825687825
189,1782579693422,17825687825
190,1782579695270,17825687825
191,1782579695836,17825687825
192,1782579697618,17825687825
193,1782579698151,17825687825
194,1782579699966,17825687825
195,1782579701248,17825687825
196,1782579703596,17825687825
197,1782579704445,17825687825
198,1782579705178,17825687825
199,1782579705844,17825687825
200,1782579706710,17825687825
201,1782579707659,17825687825
202,1782579708292,17825687825
203,1782579709142,17825687825
204,1782579710040,17825687825
205,1782579710524,17825687825
206,1782579713005,17825687825
207,1782579718817,17825687825
208,1782579721265,17825687825
209,1782579782399,17764149214
210,1782579784180,17764149214
211,1782579784496,17825689104
212,1782579786079,17825689120
213,1782579787395,17825689130
214,1782579788594,17825689144
215,1782579789308,17825689147
216,1782579790373,17825689157
217,1782579791124,17825689157
218,1782579792538,17825689157
219,1782579793704,17825689190
220,1782579794969,17825689204
221,1782579795536,17825689204
222,1782579796270,17825689204
223,1782579796951,17825689958
224,1782579797551,17825689960
225,1782579798117,17825689960
226,1782579798883,17825689960
227,1782579799515,17825689960
228,1782579800782,17825689960
229,1782579802148,17825689960
230,1782579804078,17825689960
231,1782579804796,17825689960
232,1782579805278,17825689960
233,1782579806544,17825689960
234,1782579807210,17825689960
235,1782579807676,17825689960
236,1782579808392,17825689960
237,1782579810174,17825689960
238,1782579811539,17825689960
239,1782579812255,17825689960
240,1782579812754,17825689960
241,1782579814054,17825689960
242,1782579815285,17825689960
243,1782579815886,17825689960
