index,date,LATITUDE
0,1782579299869,-19.864258
1,1782579300669,-19.864258
2,1782579301501,-19.864261299999999
3,1782579302151,-19.864261299999999
4,1782579303383,-19.8642626
5,1782579304616,-19.8642626
6,1782579305915,-19.864265400000001
7,1782579307929,-19.864266099999998
8,1782579308729,-19.864266099999998
9,1782579309411,-19.864266000000001
10,1782579310111,-19.864264599999998
11,1782579310178,178256.85089999999
12,1782579311076,-19.864264599999998
13,1782579311743,-19.864264599999998
14,1782579312493,-19.864264299999999
15,1782579313442,-19.864264299999999
16,1782579314156,-19.864264299999999
17,1782579314992,-19.864273000000001
18,1782579315939,-19.864273000000001
19,1782579518152,0
20,1782579520583,-19.864266600000001
21,1782579521649,-19.864266600000001
22,1782579523098,-19.864266600000001
23,1782579523680,-19.864266600000001
24,1782579524347,-19.864266600000001
25,1782579525713,-19.864266600000001
26,1782579526295,-19.864266600000001
27,1782579526928,-19.864266600000001
28,1782579528393,-19.864266600000001
29,1782579529609,-19.864266600000001
30,1782579530291,-19.864266600000001
31,1782579530858,-19.864266600000001
32,1782579531524,-19.864266600000001
33,1782579532989,-19.864266600000001
34,1782579533506,-19.864266600000001
35,1782579534904,-19.864266600000001
36,1782579536204,-19.864274500000001
37,1782579537636,-19.864274500000001
38,1782579539467,-19.864274500000001
39,1782579540200,-19.864275500000002
40,1782579540833,-19.864275500000002
41,1782579541316,-19.864275299999999
42,1782579541999,-19.864275299999999
43,1782579544481,-19.8642748
44,1782579545213,-19.8642748
45,1782579546845,-19.864274999999999
46,1782579547627,-19.864274999999999
47,1782579548128,-19.864274999999999
48,1782579548776,-19.864275500000002
49,1782579549509,-19.864274999999999
50,1782579550292,-19.864274999999999
51,1782579550874,-19.864272
52,1782579551707,-19.864267099999999
53,1782579553239,-19.8642626
54,1782579554121,-19.8642626
55,1782579555055,-19.8642401
56,1782579556587,-19.864257599999998
57,1782579557519,-19.864270600000001
58,1782579558002,-19.864288299999998
59,1782579558951,-19.864300100000001
60,1782579559833,-19.864300100000001
61,1782579560384,-19.864300100000001
62,1782579561283,-19.864405999999999
63,1782579562198,-19.864457099999999
64,1782579562781,-19.86448
65,1782579563814,-19.864508499999999
66,1782579564714,-19.8645323
67,1782579565362,-19.8645323
68,1782579567144,-19.864528
69,1782579567593,-19.864509099999999
70,1782579568476,-19.864501600000001
71,1782579570725,-19.864412000000002
72,1782579571524,-19.8643815
73,1782579572240,-19.864381000000002
74,1782579572906,-19.864394000000001
75,1782579573772,-19.864402999999999
76,1782579574538,-19.864402999999999
77,1782579575287,-19.864451599999999
78,1782579576054,-19.864489299999999
79,1782579577585,-19.8645171
80,1782579578468,-19.8645566
81,1782579579850,-19.8645961
82,1782579581648,-19.864613800000001
83,1782579582165,-19.864612600000001
84,1782579583081,-19.864600800000002
85,1782579585395,-19.864577100000002
86,1782579587877,-19.864577100000002
87,1782579588826,-19.864577100000002
88,1782579589392,-19.864577100000002
89,1782579590325,-19.864577100000002
90,1782579591224,-19.864577100000002
91,1782579591773,-19.864577100000002
92,1782579592689,-19.864577100000002
93,1782579594887,-19.864577100000002
94,1782579595754,-19.864577100000002
95,1782579597085,-19.864577100000002
96,1782579597985,-19.864577100000002
97,1782579598734,-19.864577100000002
98,1782579599367,-19.864577100000002
99,1782579600283,-19.864577100000002
100,1782579601715,-19.864577100000002
101,1782579602532,-19.864577100000002
102,1782579603997,-19.864577100000002
103,1782579604063,-19.864577100000002
104,1782579605013,-19.864577100000002
105,1782579605911,-19.864577100000002
106,1782579606428,-19.864577100000002
107,1782579607393,-19.864577100000002
108,1782579608326,-19.864577100000002
109,1782579608826,-19.864577100000002
110,1782579610741,-19.864577100000002
111,1782579611324,-19.864577100000002
112,1782579613156,-19.864577100000002
113,1782579613788,-19.864577100000002
114,1782579615754,-19.864577100000002
115,1782579616303,-19.864577100000002
116,1782579617269,-19.864577100000002
117,1782579618185,-19.864577100000002
118,1782579618785,-19.864577100000002
119,1782579619616,-19.864577100000002
120,1782579620449,-19.864577100000002
121,1782579620982,-19.864577100000002
122,1782579621782,-19.864577100000002
123,1782579622598,-19.864577100000002
124,1782579623996,-19.864577100000002
125,1782579624829,-19.864577100000002
126,1782579625529,-19.864577100000002
127,1782579627127,-19.864577100000002
128,1782579627876,-19.864577100000002
129,1782579628593,-19.864577100000002
130,1782579629476,-19.864577100000002
131,1782579630208,-19.864577100000002
132,1782579631806,-19.864577100000002
133,1782579632639,-19.864577100000002
134,1782579633355,-19.864577100000002
