index,date,MAX_CELL_VOLTAGE,MIN_CELL_VOLTAGE,MAX_CELL_TEMP,TRACTIVE_VOLTAGE
0,1782579301102,3.3199999999999998,3.2799999999999998,29.100000000000001,78.930000000000007
1,1782579305832,3.3100000000000001,3.2799999999999998,29.100000000000001,78.930000000000007
2,1782579307414,3.3100000000000001,3.2400000000000002,29.100000000000001,78.560000000000002
3,1782579307846,3.29,2.9399999999999999,29.100000000000001,76.310000000000002
4,1782579308745,3.29,2.8700000000000001,29.100000000000001,76.480000000000004
5,1782579310827,3.3100000000000001,3.27,29.100000000000001,78.709999999999994
6,1782579312159,3.3100000000000001,3.27,29.100000000000001,78.719999999999999
7,1782579312676,3.3100000000000001,3.27,29.100000000000001,78.760000000000005
8,1782579313780,3.3100000000000001,3.27,29.100000000000001,78.810000000000002
9,1782579314773,3.3100000000000001,3.27,29.199999999999999,78.819999999999993
10,1782579315789,3.3100000000000001,3.2799999999999998,29.199999999999999,78.819999999999993
11,1782579315906,3.3100000000000001,3.2799999999999998,29.199999999999999,78.819999999999993
12,1782579316373,3.3100000000000001,3.2799999999999998,29.199999999999999,78.819999999999993
13,1782579522048,3.3100000000000001,3.2799999999999998,29.199999999999999,78.879999999999995
14,1782579523298,3.3100000000000001,3.2799999999999998,29.199999999999999,78.879999999999995
15,1782579524164,3.3100000000000001,3.2799999999999998,29,78.890000000000001
16,1782579524980,3.3100000000000001,3.2799999999999998,29,78.900000000000006
17,1782579527144,3.3100000000000001,3.2799999999999998,29,78.900000000000006
18,1782579527594,3.3100000000000001,3.2799999999999998,29,78.900000000000006
19,1782579529726,3.3100000000000001,3.2799999999999998,29,78.900000000000006
20,1782579530075,3.3100000000000001,3.2799999999999998,29,78.900000000000006
21,1782579530641,3.3100000000000001,3.2799999999999998,29,78.900000000000006
22,1782579533989,3.3100000000000001,3.2799999999999998,29,78.900000000000006
23,1782579534472,3.3100000000000001,3.2799999999999998,29,78.900000000000006
24,1782579535171,3.3100000000000001,3.2799999999999998,29,78.900000000000006
25,1782579537219,3.3100000000000001,3.2799999999999998,29,78.900000000000006
26,1782579537785,3.3100000000000001,3.2799999999999998,29,78.900000000000006
27,1782579541116,3.3100000000000001,3.2799999999999998,29,78.900000000000006
28,1782579541332,3.3100000000000001,3.2799999999999998,29,78.900000000000006
29,1782579541532,3.3100000000000001,3.2799999999999998,29,78.900000000000006
30,1782579542748,3.3100000000000001,3.2799999999999998,29,78.890000000000001
31,1782579544180,3.3100000000000001,3.2799999999999998,29,78.900000000000006
32,1782579545029,3.3100000000000001,3.2799999999999998,29,78.900000000000006
33,1782579546412,3.3100000000000001,3.2799999999999998,29,78.900000000000006
34,1782579548276,3.3100000000000001,3.2799999999999998,29,78.879999999999995
35,1782579548693,3.3100000000000001,3.2799999999999998,29,78.879999999999995
36,1782579549676,3.3100000000000001,3.25,29,78.579999999999998
37,1782579550825,3.2999999999999998,3.2400000000000002,29,78.510000000000005
38,1782579551357,3.2999999999999998,3.23,29,78.359999999999999
39,1782579551873,3.2999999999999998,3.23,29,78.329999999999998
40,1782579554455,3.29,3.1400000000000001,29,77.629999999999995
41,1782579555853,3.29,3.1400000000000001,29,77.650000000000006
42,1782579556486,3.29,3.1400000000000001,29,77.620000000000005
43,1782579556936,3.29,3.1400000000000001,29,77.560000000000002
44,1782579557985,3.2799999999999998,3.0899999999999999,29,77.230000000000004
45,1782579558451,3.2799999999999998,3.0899999999999999,29,77.230000000000004
