index,date,KP,TI,SLIP
227,1782579650557,0,0,0
228,1782579650908,0,0,0
229,1782579651290,0,0,0
230,1782579652356,0,0,0
231,1782579653605,0,0,0
232,1782579654771,0,0,0
233,1782579655753,0,0,0
234,1782579657851,0,0,0
235,1782579658217,0,0,0
236,1782579659150,0,0,0
237,1782579659983,0,0,0
238,1782579661331,0,0,0
239,1782579661864,0,0,0
240,1782579662514,0,0,0
241,1782579663297,0,0,0
242,1782579663713,0,0,0
243,1782579664112,0,0,0
244,1782579664212,0,0,0
245,1782579664929,0,0,0
246,1782579665811,0,0,0
247,1782579667593,0,0,0
248,1782579668010,0,0,0
249,1782579668859,0,0,0
250,1782579669792,0,0,0
251,1782579670158,0,0,0
252,1782579671007,0,0,0
253,1782579671390,0,0,0
254,1782579671856,0,0,0
255,1782579672289,0,0,0
256,1782579673723,0,0,0
257,1782579674837,0,0,0
258,1782579675227,0,0,0
259,1782579675570,0,0,0
260,1782579676968,0,0,0
261,1782579677784,0,0,0
262,1782579678517,0,0,0
263,1782579678767,0,0,0
264,1782579678933,0,0,0
265,1782579679316,0,0,0
266,1782579680215,0,0,0
267,1782579680599,0,0,0
268,1782579680948,1536,0,0
269,1782579681165,0,0,0
270,1782579681365,0,0,0
271,1782579681798,0,0,0
272,1782579682664,0,0,0
273,1782579683030,0,0,0
274,1782579683680,0,0,0
275,1782579683863,0,0,0
276,1782579685095,0,0,0
277,1782579685511,0,0,0
278,1782579686077,0,0,0
279,1782579686277,0,0,0
280,1782579687194,0,0,0
281,1782579687560,0,0,0
282,1782579688509,0,0,0
283,1782579688708,0,0,0
284,1782579689591,0,0,0
285,1782579689991,0,0,0
286,1782579692072,0,0,0
287,1782579692439,0,0,0
288,1782579692988,0,0,0
289,1782579694221,0,0,0
290,1782579695520,0,0,0
291,1782579696302,0,0,0
292,1782579696702,0,0,0
293,1782579697935,0,0,0
294,1782579698750,0,0,0
295,1782579699949,0,0,0
296,1782579700299,0,0,0
297,1782579701782,0,0,0
298,1782579702664,0,0,0
