index,date,LEFT_MOTOR_SPEED,RIGHT_MOTOR_SPEED,1,2,3,4,5,6
0,1765895685880,0,0,296,0,0,0,0,0
1,1765896108293,3,0,0,0,0,0,0,0
2,1765896191691,3,12288,16384,24576,0,0,0,0
3,1765896301657,3,12296,16544,0,0,0,0,0
4,1765897933268,0,14848,16384,24576,0,0,0,0
