index,date,ACCEL_X,ACCEL_Y,ACCEL_Z
204,1780261087888,-57,415,-541
205,1780261088438,44,152,-172
206,1780261090405,-124,-119,5
207,1780261090455,-182,190,23
208,1780261090904,39,172,-538
209,1780261091188,30,501,-769
210,1780261091271,-395,831,-891
211,1780261091771,-132,561,-547
212,1780261092804,-231,368,-436
213,1780261093171,48,208,-342
214,1780261095039,-14,113,-140
215,1780261095188,25,79,-126
216,1780261095888,37,21,1
217,1780261096507,42,86,-66
218,1780261097087,-6,120,-125
219,1780261098004,-25,107,-98
220,1780261098254,162,201,-87
221,1780261099270,48,24,-56
222,1780261100103,45,18,-143
223,1780261100720,-62,147,-81
224,1780261100970,-87,15,-62
225,1780261101470,-78,-37,-138
226,1780261102904,148,-343,344
227,1780261103604,157,-432,554
228,1780261104021,-151,-134,211
229,1780261105471,158,-226,217
230,1780261106120,132,90,-160
231,1780261106171,78,7,-188
232,1780261106571,177,51,-45
233,1780261107320,-246,-328,369
234,1780261107821,25,-467,466
235,1780261108437,65,-335,330
236,1780261109137,-310,60,86
237,1780261110654,183,-293,388
238,1780261111120,77,-496,578
239,1780261111687,64,-516,608
240,1780261112020,141,-652,617
241,1780261112305,62,-561,560
242,1780261113253,-43,-285,502
243,1780261113388,205,-437,522
244,1780261113503,18,-368,457
245,1780261114286,95,-232,289
246,1780261115202,-23,183,-129
247,1780261116803,-86,235,-278
248,1780261117670,-326,476,-478
249,1780261118204,72,228,-281
250,1780261118952,-241,362,-330
251,1780261119570,27,149,-530
252,1780261120969,103,82,-160
253,1780261122136,-92,77,-135
254,1780261123035,89,-75,-135
255,1780261123785,-41,51,-287
256,1780261124019,293,96,-150
257,1780261125019,61,498,-668
258,1780261125419,-288,562,-720
259,1780261125886,81,360,-461
260,1780261126252,27,396,-553
261,1780261128185,-19,196,-276
262,1780261128721,11,280,-268
263,1780261129635,100,14,-84
264,1780261130952,-57,0,25
265,1780261131069,-2,-53,100
266,1780261132069,-41,-58,110
267,1780261132152,121,-171,122
268,1780261133752,70,-427,467
269,1780261133885,-5,-430,498
270,1780261134668,-57,-291,404
271,1780261136485,17,406,-592
272,1780261136820,-71,615,-681
273,1780261136936,-106,518,-715
274,1780261139484,26,-455,460
275,1780261139985,-30,-406,560
276,1780261140737,127,-465,439
277,1780261141352,-133,-49,94
278,1780261142302,-82,-34,57
279,1780261142336,89,-105,121
280,1780261142752,91,-168,248
281,1780261143284,89,-94,210
282,1780261144068,-89,-127,134
283,1780261144402,-238,-11,106
284,1780261144851,-106,-201,147
285,1780261145518,-170,-94,150
286,1780261145551,26,-158,255
287,1780261146251,-16,-261,385
288,1780261148151,-61,-508,529
289,1780261148318,63,-452,517
290,1780261148434,20,-538,597
291,1780261151418,-26,-127,248
292,1780261151902,28,-124,123
293,1780261152484,-17,-23,39
294,1780261154001,2,-8,5
295,1780261154501,11,5,9
296,1780261155817,6,-13,-7
297,1780261156067,5,-9,-2
298,1780261156317,20,-3,2
299,1780261157384,4,-5,-2
300,1780261158002,247,-16,-6
301,1780261159367,-10,-20,4
302,1780261160617,18,-64,35
303,1780261162750,59,30,-118
304,1780261162952,1,48,-126
305,1780261163166,47,297,-284
306,1780261163335,76,237,-341
307,1780261163783,37,190,-301
308,1780261164067,-10,297,-416
309,1780261164317,24,327,-449
310,1780261164900,-110,450,-476
311,1780261165600,12,300,-449
312,1780261165800,52,208,-480
313,1780261166633,-68,-270,428
314,1780261167700,-77,-326,489
315,1780261167833,29,-244,410
316,1780261168816,44,221,-303
317,1780261169550,35,220,-180
318,1780261171668,-74,33,-203
319,1780261172733,121,106,-245
320,1780261174467,-70,-29,-97
321,1780261174550,109,117,-14
322,1780261174833,-16,77,-52
323,1780261175166,-87,-21,-22
324,1780261175367,-262,93,-49
325,1780261176001,22,30,-41
326,1780261176033,10,42,-57
327,1780261176200,175,-97,-26
328,1780261176649,44,-149,123
329,1780261177066,-86,-304,504
330,1780261177433,1,-580,665
331,1780261178466,135,-516,703
332,1780261178999,-79,-294,406
333,1780261180317,211,-479,292
334,1780261180782,132,-304,321
335,1780261181432,-461,5,136
336,1780261181965,239,-142,13
337,1780261183499,8,-276,390
338,1780261183616,-32,-297,319
339,1780261185849,-94,79,165
340,1780261185966,-135,123,-309
341,1780261186517,-101,-196,45
342,1780261187249,-51,-72,241
343,1780261188083,45,-544,601
344,1780261188700,23,-117,222
345,1780261188816,26,-109,250
346,1780261189017,-154,-29,282
347,1780261189315,-15,-134,306
348,1780261189899,-21,-102,111
349,1780261190632,478,0,1
350,1780261190965,-511,592,-2664
351,1780261191616,189,-35,313
352,1780261192083,-659,-265,189
353,1780261192198,-208,-647,711
354,1780261192415,145,-527,614
355,1780261192566,-58,-432,625
356,1780261193682,12,-507,467
357,1780261193818,-62,-506,501
358,1780261193967,91,-586,694
359,1780261194215,-48,-419,785
360,1780261195833,153,-451,448
361,1780261196198,61,-243,337
362,1780261196448,12,-326,378
363,1780261196566,75,-168,257
364,1780261197148,143,250,-167
365,1780261197566,-46,-51,-106
366,1780261198099,44,412,-488
367,1780261198431,787,-369,-402
368,1780261198766,-446,718,-589
369,1780261200365,146,217,-274
370,1780261200615,-135,178,-211
371,1780261200865,-53,143,-115
372,1780261202148,122,107,-281
373,1780261203131,24,97,-334
374,1780261203414,-79,331,-291
375,1780261203632,-9,174,-256
376,1780261204165,-22,78,-217
377,1780261204198,83,78,-158
378,1780261204450,86,47,-57
379,1780261205350,-5,209,-248
380,1780261205433,107,98,-239
381,1780261207914,-46,-88,122
382,1780261208114,58,-36,61
383,1780261208281,6,148,-268
384,1780261208364,-8,236,-397
385,1780261209114,380,257,-525
386,1780261209565,-70,427,-565
387,1780261210514,-123,492,-437
388,1780261210765,-347,554,-618
389,1780261212130,111,43,-225
390,1780261212415,-68,241,-301
391,1780261213981,-45,-108,335
392,1780261214431,119,-300,268
393,1780261214764,-143,-172,310
394,1780261216832,100,-331,209
395,1780261217230,91,-599,566
396,1780261218466,-64,121,-53
397,1780261219014,-327,119,-64
398,1780261219714,-187,-287,378
399,1780261220047,171,-19,42
400,1780261220665,-103,-112,188
401,1780261221647,133,-51,138
402,1780261222064,-339,157,450
403,1780261223053,40,-533,575
404,1780261223631,29,-355,420
405,1780261223913,37,-473,387
406,1780261225613,23,-223,276
407,1780261226346,25,-190,240
408,1780261226513,-52,-128,217
409,1780261226715,229,0,386
410,1780261227213,-50,-143,126
411,1780261227512,-23,-78,133
412,1780261229480,4,-6,-2
413,1780261229813,7,-10,-7
414,1780261230680,8,-5,0
415,1780261231514,-4,-7,-1
416,1780261231746,4,-9,1
417,1780261233079,6,-8,-1
418,1780261233314,7,-8,0
419,1780261233446,7,-6,1
420,1780261233529,4,-8,-2
421,1780261234679,7,-9,-2
422,1780261234930,39,-35,51
423,1780261235095,50,-86,-30
424,1780261235213,-14,-48,-32
425,1780261235747,53,-32,48
426,1780261238279,-112,110,-81
427,1780261238395,12,71,-109
428,1780261238513,-68,85,-199
429,1780261238595,-24,106,-173
430,1780261238679,71,67,-140
431,1780261239379,34,15,-62
432,1780261239763,-21,19,-17
433,1780261240662,1,-9,-4
434,1780261240746,10,-9,5
435,1780261241163,4,-9,-2
436,1780261241246,6,-9,0
437,1780261241612,5,-8,-1
