index,date,GYRO_X,GYRO_Y,GYRO_Z
179,1780261070072,-1366,-5663,9284
180,1780261070239,-456,-9136,5246
181,1780261072672,69,-6122,6041
182,1780261074039,-329,-6858,6901
183,1780261074239,-1766,-8253,8320
184,1780261074855,-710,-4311,5710
185,1780261074905,-303,-7069,5319
186,1780261075323,1026,-4278,7552
187,1780261075772,-824,-5276,6434
188,1780261076638,-148,-5823,4009
189,1780261077872,-464,-6207,3512
190,1780261078072,-433,-8854,3412
191,1780261081055,-1307,-5802,5160
192,1780261082372,-623,-2772,7043
193,1780261082821,-425,-5560,6010
194,1780261083105,1190,-3986,6891
195,1780261083271,957,-3928,7732
196,1780261083605,1047,-3090,8944
197,1780261084104,2342,206,10628
198,1780261084505,1456,628,9706
199,1780261085455,-954,94,11426
200,1780261086371,1433,-3575,7599
201,1780261086538,2511,-3016,13141
202,1780261086939,572,-3164,6136
203,1780261087688,2515,-2273,6966
204,1780261088189,383,-1696,8911
205,1780261089421,404,-3462,4859
206,1780261089504,5007,-3291,10387
207,1780261089672,3104,-6867,6885
208,1780261090322,-80,-4532,8851
209,1780261091405,4664,-1704,8292
210,1780261091488,3002,-2170,9159
211,1780261091723,3540,-1362,9776
212,1780261092303,1586,-900,6270
213,1780261092388,1822,-2710,8680
214,1780261095404,1513,-5222,6129
215,1780261095438,981,-5100,6333
216,1780261096355,-1190,-4951,7145
217,1780261096838,-1851,-3553,6869
218,1780261098704,-647,-5300,6810
219,1780261099520,-1140,-4660,6248
220,1780261100187,-146,-4458,6098
221,1780261100887,-356,-3895,7122
222,1780261101420,14,-4078,7306
223,1780261101587,-820,-4486,5448
224,1780261101953,-1734,-9443,4179
225,1780261102037,-1532,-7792,4198
226,1780261102287,-1850,-10014,4572
227,1780261102871,-1410,-4995,5884
228,1780261103438,-991,-7126,3507
229,1780261103988,-1192,-9533,5716
230,1780261104271,-1524,-7344,7634
231,1780261104938,-33,-5150,5540
232,1780261105004,-257,-4604,5711
233,1780261105253,-688,-7229,5728
234,1780261105871,9783,0,-1
235,1780261106537,280,-4748,6901
236,1780261107273,-642,-10426,4567
237,1780261108020,-3026,-9306,1747
238,1780261108270,-1825,-6535,4234
239,1780261108970,-353,-5186,3851
240,1780261109021,-2068,-5218,4252
241,1780261109503,10387,130,1404
242,1780261109639,-3544,0,0
243,1780261110737,6470,-21564,5564
244,1780261111486,-101,-2002,2546
245,1780261111819,-228,-11874,4662
246,1780261113186,-1216,-8858,4372
247,1780261114336,-1132,-6687,3687
248,1780261114786,-180,-3466,8665
249,1780261115153,-64,-3446,8168
250,1780261115369,-1106,-3472,5500
251,1780261115653,1099,-1160,11514
252,1780261116153,200,-1511,9104
253,1780261116769,1689,-2952,9506
254,1780261117187,1897,-332,6948
255,1780261118286,-1290,-6426,6580
256,1780261118669,150,-3287,7776
257,1780261119536,1092,-2474,10158
258,1780261120355,-311,-3185,9821
259,1780261120638,1534,-1854,9061
260,1780261120803,19,-2859,8702
261,1780261121026,1406,-4417,7282
262,1780261121803,-557,-4331,6666
263,1780261122086,334,-1867,7464
264,1780261122336,2352,-3502,7052
265,1780261122619,2807,-4627,7074
266,1780261122786,2127,-3393,6896
267,1780261123236,3741,-6810,8889
268,1780261123402,3136,-4992,1960
269,1780261123735,965,-6496,8420
270,1780261124568,5298,-1370,5733
271,1780261124969,1900,-2399,10309
272,1780261125103,5829,-4568,5516
273,1780261125386,4358,-2156,13534
274,1780261125503,1847,541,8783
275,1780261127569,1059,-5300,6804
276,1780261127902,723,-3150,5304
277,1780261128518,678,-2728,7968
278,1780261129018,1064,-4537,6597
279,1780261129135,655,-3210,8717
280,1780261130302,-505,-5702,7103
281,1780261132485,153,-6520,5192
282,1780261133219,-892,-6202,4333
283,1780261133352,-490,-8248,3620
284,1780261133519,122,-8952,4859
285,1780261135536,3,-6029,4658
286,1780261136435,3626,-2104,8943
287,1780261137052,1967,-3434,9911
288,1780261137435,2033,-1620,8526
289,1780261139035,365,-7433,4100
290,1780261139168,-346,-3830,4735
291,1780261139818,-1094,-9130,4008
292,1780261140768,-274,-7306,5334
293,1780261140935,-288,-4587,5539
294,1780261141752,76,-5362,5904
295,1780261143252,-1847,-6845,6164
296,1780261143368,-854,-5384,6500
297,1780261144236,-672,-5466,7022
298,1780261144318,566,-5234,7912
299,1780261145101,-135,-6941,4302
300,1780261146417,2404,2322,191
301,1780261146951,2482,260,7593
302,1780261147118,901,-4017,9533
303,1780261147618,159,-7552,4419
304,1780261147652,-2599,-12185,3814
305,1780261148117,-906,-10946,902
306,1780261150384,614,-5980,5634
307,1780261150551,1040,-6901,4717
308,1780261155501,-186,-4754,6733
309,1780261155785,-157,-4921,6894
310,1780261156436,80,-4894,6628
311,1780261156518,106,-4973,6754
312,1780261158418,-1108,-5372,6219
313,1780261158802,-749,-4570,6651
314,1780261160533,-1032,-3978,7663
315,1780261160734,-1374,-5365,6972
316,1780261161068,-1527,-3744,6951
317,1780261161468,-1833,-5413,6080
318,1780261161851,-1583,-3941,5666
319,1780261161967,-1384,-6034,6736
320,1780261162551,-1064,-4660,6288
321,1780261163000,-411,-3418,7754
322,1780261163117,1326,-1952,6765
323,1780261163200,-428,-2380,9258
324,1780261163750,1396,-3662,7637
325,1780261163867,1071,-3262,8468
326,1780261164650,1897,-1606,7666
327,1780261164734,1546,-1623,8601
328,1780261164983,1126,-3032,7778
329,1780261165235,835,-2816,7147
330,1780261165434,993,-2478,9130
331,1780261165551,1296,-3810,7194
332,1780261165767,863,-3131,7635
333,1780261166133,848,-5260,8053
334,1780261166550,734,-8370,3174
335,1780261166667,225,-8018,4195
336,1780261167584,-201,-7498,5384
337,1780261167617,1094,-7102,4776
338,1780261167984,428,-5238,7264
339,1780261168734,880,-4005,7159
340,1780261169067,121,-4355,5820
341,1780261169516,-393,-4242,7418
342,1780261171333,-1359,-3695,6460
343,1780261171500,-1656,-4521,6642
344,1780261171917,-858,-3311,6274
345,1780261172367,-832,-4068,6904
346,1780261172934,-743,-2354,7742
347,1780261173150,-878,-3246,9195
348,1780261174636,660,-2398,5696
349,1780261174800,18,-5540,7511
350,1780261175333,1091,-660,10666
351,1780261175533,1476,-4909,4386
352,1780261176482,380,-6839,4185
353,1780261176899,370,-12702,3630
354,1780261176949,-1041,-14489,4636
355,1780261177316,1043,-11875,2179
356,1780261177717,-1602,-9093,2960
357,1780261177816,-1441,-10196,2418
358,1780261178749,-645,-7307,4982
359,1780261178832,-1852,-7129,5388
360,1780261178966,-2078,-3400,3844
361,1780261179082,-2528,-10310,4638
362,1780261182216,-1283,-6256,7607
363,1780261182501,-968,-5070,6794
364,1780261182632,-1222,-5685,6526
365,1780261182916,-1643,-5250,6069
366,1780261183533,3562,0,1
367,1780261183833,-1929,-7313,3717
368,1780261185066,-1208,-7653,5075
369,1780261185101,-1651,-7280,5961
370,1780261186466,504,-6295,4504
371,1780261186549,-1164,-4979,5960
372,1780261186750,-641,-5498,5286
373,1780261188282,40,-9275,3162
374,1780261188448,881,-9693,5097
375,1780261188532,-730,-5308,4161
376,1780261189116,-1268,-9119,3347
377,1780261190465,57,2999,5516
378,1780261190598,2016,-6563,5300
379,1780261190682,1012,-11064,3317
380,1780261191415,3376,-6174,5650
381,1780261191466,2012,-5552,3941
382,1780261191749,-256,-8866,4799
383,1780261192248,276,-9874,1592
384,1780261192533,-221,-8541,3158
385,1780261192698,616,-9208,4964
386,1780261193065,-121,-8713,3173
387,1780261194298,-1282,-6420,4804
388,1780261194767,-1905,-5655,5584
389,1780261194998,-2390,-8526,3074
390,1780261195332,-1874,-7299,4412
391,1780261195617,-2091,-7186,5152
392,1780261195949,-2114,-7485,3764
393,1780261196499,-1409,-7515,5156
394,1780261197065,-130,-6458,7066
395,1780261198382,-535,-4240,16832
396,1780261198681,4165,-1006,9050
397,1780261199414,2309,-2878,9792
398,1780261200114,757,-5432,9680
399,1780261200331,-1268,-4332,5564
400,1780261200852,-815,-2797,5021
401,1780261203048,-412,-3327,11472
402,1780261203215,74,-1739,7852
403,1780261205848,2777,-2198,8758
404,1780261206264,2845,-3531,6525
405,1780261206299,1826,-3028,7176
406,1780261208331,2212,318,5694
407,1780261208614,4424,-5274,8340
408,1780261209147,1406,-3133,12424
409,1780261209815,-600,-1563,11444
410,1780261211015,2463,-406,10747
411,1780261213397,-54,-4974,7387
412,1780261213731,-2080,-7314,4876
413,1780261214180,-1400,-6719,5511
414,1780261214564,-1492,-6230,4341
415,1780261214964,-2487,-6815,3296
416,1780261215381,-2265,-9214,2956
417,1780261217447,-372,-7455,3180
418,1780261218097,-255,-5002,6220
419,1780261218314,1200,-5918,7962
420,1780261218597,-78,-7859,2981
421,1780261218880,-1602,-7554,4859
422,1780261219047,-2452,-11684,5270
423,1780261219631,-2449,-8048,3692
424,1780261220414,-1592,-11461,3720
425,1780261220997,-238,-9180,3128
426,1780261221147,2432,-9844,4182
427,1780261222430,1593,-8918,2830
428,1780261223380,-192,-7506,3688
429,1780261224130,-1280,-7680,4197
430,1780261224780,-344,-8270,5167
431,1780261226929,666,-5485,6743
432,1780261227748,6074,0,110
433,1780261228047,1008,-4994,7115
434,1780261228296,404,-5073,6840
435,1780261228413,416,-5080,6816
436,1780261229113,446,-5005,6674
437,1780261229979,-340,-4824,6787
438,1780261230029,-224,-4825,6882
439,1780261230398,-773,-4801,6885
440,1780261230480,-766,-4658,6835
441,1780261231963,-237,-4853,6756
442,1780261232212,-152,-4921,6783
443,1780261233414,-217,-4880,6811
444,1780261234146,-252,-4876,6842
445,1780261234813,-8,-4926,6756
446,1780261237362,-730,-4364,6991
447,1780261237696,-410,-4898,6413
448,1780261237812,-463,-5001,7189
449,1780261238229,72,-2788,7330
450,1780261238479,-623,-4177,6588
451,1780261239680,1911,-5275,6623
452,1780261240296,242,-4946,6518
